03_hivemind/num_clients,04_peers/peer_1_samples_per_second,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/global_samples_accumulated,03_hivemind/epoch_s,04_peers/peer_2_samples_accumulated,03_hivemind/overshot_TBS,03_hivemind/epoch_based_sps,03_hivemind/num_peers,03_hivemind/global_epoch,03_hivemind/estimated_current_samples,_step,_timestamp,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,_runtime,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos
0,725.2,,1435.1215965140234,2.0,2.0,0.0,0.0,16416,,8096.0,,,2,2,29373,62,1680690033.0,,,117,0.5,709.93,8320.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,2.0,2.0,0.0,11.2,0,,8096.0,,,2,3,317,63,1680690034.0,,,118,4.48,709.93,8320.0,1435.1215965140234,,0.0
0,725.2,16416.0,1435.1215965140234,3.0,3.0,0.0,10.01,0,22.64016641303897,0.0,3.0,725.0830095730067,2,3,2024,64,1680690035.0,0.0,49280.0,119,4.0,709.93,0.0,1435.1215965140234,0.0,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,8.82,0,,0.0,,,2,3,3731,65,1680690037.0,,,121,3.53,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,7.62,0,,0.0,,,2,3,5448,66,1680690038.0,,,122,3.05,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,6.43,0,,0.0,,,2,3,7156,67,1680690039.0,,,123,2.57,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,2.41,0,,0.0,,,2,3,12932,68,1680690043.0,,,127,0.96,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,1.38,0,,0.0,,,2,3,14398,69,1680690044.0,,,128,0.55,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.36,0,,0.0,,,2,3,15872,70,1680690045.0,,,129,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,17336,71,1680690046.0,,,130,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,18803,72,1680690047.0,,,131,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,20277,73,1680690048.0,,,132,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,21742,74,1680690049.0,,,133,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,23209,75,1680690050.0,,,134,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,24678,76,1680690051.0,,,135,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,26141,77,1680690052.0,,,136,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,27608,78,1680690053.0,,,137,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,29077,79,1680690054.0,,,138,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,30537,80,1680690055.0,,,139,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,32014,81,1680690056.0,,,140,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,33480,82,1680690057.0,,,141,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,34944,83,1680690058.0,,,142,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,36407,84,1680690059.0,,,143,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,37869,85,1680690060.0,,,144,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,39332,86,1680690061.0,,,145,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,40793,87,1680690062.0,,,146,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,42256,88,1680690063.0,,,147,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,43717,89,1680690064.0,,,148,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,45179,90,1680690065.0,,,149,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,46647,91,1680690066.0,,,150,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,48111,92,1680690067.0,,,151,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,49575,93,1680690068.0,,,152,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,51038,94,1680690069.0,,,153,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,52498,95,1680690071.0,,,155,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,53969,96,1680690072.0,,,156,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,55437,97,1680690073.0,,,157,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,56900,98,1680690074.0,,,158,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,58370,99,1680690075.0,,,159,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,59832,100,1680690076.0,,,160,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,61299,101,1680690077.0,,,161,0.5,709.93,0.0,1435.1215965140234,,0.0
