03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_6_samples_accumulated,04_peers/peer_6_samples_per_second,04_peers/peer_6_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_7_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_8_samples_per_second,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_8_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
75045,6467.636090414346,8,0,34,0.0,132,4,0.5,6467.636090414346,1683052692,0,0.0,0.0,4.0,4.0,0.0,840.51,808.75,0.0,836.94,798.15,0.0,0.0,4.0,4.0,0.0,830.7,0.0,4.0,0.0,0.0,0.0,837.01,4.0,0.0,4.0,737.72,0.0,777.85,0.0,0.0,4.0,0.0,,,,,,,
81735,6467.636090414346,8,0,35,0.0,133,4,0.5,6467.636090414346,1683052693,0,0.0,0.0,4.0,4.0,0.0,840.51,808.75,0.0,836.94,798.15,0.0,0.0,4.0,4.0,0.0,830.7,0.0,4.0,0.0,0.0,0.0,837.01,4.0,0.0,4.0,737.72,0.0,777.85,0.0,0.0,4.0,0.0,,,,,,,
88450,6467.636090414346,8,0,36,0.0,134,4,0.5,6467.636090414346,1683052694,0,0.0,0.0,4.0,4.0,0.0,840.51,808.75,0.0,836.94,798.15,0.0,0.0,4.0,4.0,0.0,830.7,0.0,4.0,0.0,0.0,0.0,837.01,4.0,0.0,4.0,737.72,0.0,777.85,0.0,0.0,4.0,0.0,,,,,,,
95177,6467.636090414346,8,0,37,0.0,135,4,0.5,6467.636090414346,1683052695,0,0.0,0.0,4.0,4.0,0.0,840.51,808.75,0.0,836.94,798.15,0.0,0.0,4.0,4.0,0.0,830.7,0.0,4.0,0.0,0.0,0.0,837.01,4.0,0.0,4.0,737.72,0.0,777.85,0.0,0.0,4.0,0.0,,,,,,,
101877,6467.636090414346,8,0,38,0.0,136,4,0.5,6467.636090414346,1683052696,0,0.0,0.0,4.0,4.0,0.0,840.51,808.75,0.0,836.94,798.15,0.0,0.0,4.0,4.0,0.0,830.7,0.0,4.0,0.0,0.0,0.0,837.01,4.0,0.0,4.0,737.72,0.0,777.85,0.0,0.0,4.0,0.0,,,,,,,
108545,6467.636090414346,8,0,39,0.0,137,4,0.5,6467.636090414346,1683052697,0,0.0,0.0,4.0,4.0,0.0,840.51,808.75,0.0,836.94,798.15,0.0,0.0,4.0,4.0,0.0,830.7,0.0,4.0,0.0,0.0,0.0,837.01,4.0,0.0,4.0,737.72,0.0,777.85,0.0,0.0,4.0,0.0,,,,,,,
115219,6467.636090414346,8,0,40,0.0,138,4,0.5,6467.636090414346,1683052698,0,0.0,0.0,4.0,4.0,0.0,840.51,808.75,0.0,836.94,798.15,0.0,0.0,4.0,4.0,0.0,830.7,0.0,4.0,0.0,0.0,0.0,837.01,4.0,0.0,4.0,737.72,0.0,777.85,0.0,0.0,4.0,0.0,,,,,,,
121889,6467.636090414346,8,0,41,0.0,139,4,0.5,6467.636090414346,1683052699,0,0.0,0.0,4.0,4.0,0.0,840.51,808.75,0.0,836.94,798.15,0.0,0.0,4.0,4.0,0.0,830.7,0.0,4.0,0.0,0.0,0.0,837.01,4.0,0.0,4.0,737.72,0.0,777.85,0.0,0.0,4.0,0.0,,,,,,,
128553,6467.636090414346,8,0,42,0.0,140,4,0.5,6467.636090414346,1683052700,0,0.0,0.0,4.0,4.0,0.0,840.51,808.75,0.0,836.94,798.15,0.0,0.0,4.0,4.0,0.0,830.7,0.0,4.0,0.0,0.0,0.0,837.01,4.0,0.0,4.0,737.72,0.0,777.85,0.0,0.0,4.0,0.0,,,,,,,
135225,6467.636090414346,8,0,43,0.0,141,4,0.5,6467.636090414346,1683052701,0,0.0,0.0,4.0,4.0,0.0,840.51,808.75,0.0,836.94,798.15,0.0,0.0,4.0,4.0,0.0,830.7,0.0,4.0,0.0,0.0,0.0,837.01,4.0,0.0,4.0,737.72,0.0,777.85,0.0,0.0,4.0,0.0,,,,,,,
