03_hivemind/epoch_s,04_peers/peer_2_epoch,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/overshot_TBS,04_peers/peer_1_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/num_peers,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,03_hivemind/total_training_samples,03_hivemind/estimated_current_samples,04_peers/peer_1_epoch,03_hivemind/global_epoch,03_hivemind/undershot_TBS,04_peers/peer_1_samples_per_second,03_hivemind/optimistic_total_samples_per_second,_runtime,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,03_hivemind/per_epoch_training_samples,_step,03_hivemind/num_clients,04_peers/peer_2_epoch_oos
,2.0,0.0,246.47,8384.0,496.5594327738313,1680690813.0,,8032.0,16416,2,,0.0,,20779,2.0,2,,250.09,496.5594327738313,184,,0.5,,113,0,0.0
,2.0,0.0,246.47,8384.0,496.5594327738313,1680690814.0,,8032.0,16416,2,,0.0,,21369,2.0,2,,250.09,496.5594327738313,185,,0.5,,114,0,0.0
,2.0,0.0,246.47,8384.0,496.5594327738313,1680690816.0,,8032.0,16416,2,,0.0,,21961,2.0,2,,250.09,496.5594327738313,187,,0.5,,115,0,0.0
,2.0,0.0,246.47,8384.0,496.5594327738313,1680690817.0,,8032.0,16416,2,,0.0,,22553,2.0,2,,250.09,496.5594327738313,188,,0.5,,116,0,0.0
,2.0,0.0,246.47,8384.0,496.5594327738313,1680690818.0,,8032.0,16416,2,,0.0,,23140,2.0,2,,250.09,496.5594327738313,189,,0.5,,117,0,0.0
,2.0,32.11,246.47,8384.0,496.5594327738313,1680690819.0,,8032.0,0,2,,0.0,,439,2.0,3,,250.09,496.5594327738313,190,,10.0,,118,0,0.0
47.56539235403761,3.0,30.92,246.47,0.0,496.5594327738313,1680690820.0,3.0,0.0,0,2,0.0,0.0,49280.0,1031,3.0,3,0.0,250.09,496.5594327738313,191,345.12487309707893,10.0,16416.0,119,0,0.0
,3.0,29.73,246.47,0.0,496.5594327738313,1680690822.0,,0.0,0,2,,0.0,,1620,3.0,3,,250.09,496.5594327738313,193,,10.0,,120,0,0.0
,3.0,28.54,246.47,0.0,496.5594327738313,1680690823.0,,0.0,0,2,,0.0,,2211,3.0,3,,250.09,496.5594327738313,194,,10.0,,121,0,0.0
,3.0,27.42,246.47,0.0,496.5594327738313,1680690824.0,,0.0,0,2,,0.0,,2770,3.0,3,,250.09,496.5594327738313,195,,10.0,,122,0,0.0
,3.0,26.4,246.47,0.0,496.5594327738313,1680690825.0,,0.0,0,2,,0.0,,3276,3.0,3,,250.09,496.5594327738313,196,,10.0,,123,0,0.0
,3.0,25.38,246.47,0.0,496.5594327738313,1680690826.0,,0.0,0,2,,0.0,,3781,3.0,3,,250.09,496.5594327738313,197,,10.0,,124,0,0.0
,3.0,24.36,246.47,0.0,496.5594327738313,1680690827.0,,0.0,0,2,,0.0,,4288,3.0,3,,250.09,496.5594327738313,198,,9.74,,125,0,0.0
,3.0,23.34,246.47,0.0,496.5594327738313,1680690828.0,,0.0,0,2,,0.0,,4793,3.0,3,,250.09,496.5594327738313,199,,9.34,,126,0,0.0
,3.0,22.32,246.47,0.0,496.5594327738313,1680690829.0,,0.0,0,2,,0.0,,5299,3.0,3,,250.09,496.5594327738313,200,,8.93,,127,0,0.0
,3.0,21.3,246.47,0.0,496.5594327738313,1680690830.0,,0.0,0,2,,0.0,,5806,3.0,3,,250.09,496.5594327738313,201,,8.52,,128,0,0.0
,3.0,20.29,246.47,0.0,496.5594327738313,1680690831.0,,0.0,0,2,,0.0,,6311,3.0,3,,250.09,496.5594327738313,202,,8.11,,129,0,0.0
,3.0,19.26,246.47,0.0,496.5594327738313,1680690832.0,,0.0,0,2,,0.0,,6821,3.0,3,,250.09,496.5594327738313,203,,7.7,,130,0,0.0
,3.0,18.24,246.47,0.0,496.5594327738313,1680690833.0,,0.0,0,2,,0.0,,7327,3.0,3,,250.09,496.5594327738313,204,,7.3,,131,0,0.0
,3.0,17.22,246.47,0.0,496.5594327738313,1680690834.0,,0.0,0,2,,0.0,,7833,3.0,3,,250.09,496.5594327738313,205,,6.89,,132,0,0.0
,3.0,16.2,246.47,0.0,496.5594327738313,1680690835.0,,0.0,0,2,,0.0,,8341,3.0,3,,250.09,496.5594327738313,206,,6.48,,133,0,0.0
