_timestamp,02_timing/step_time_s,memory/total_memory_sys_MB,disk/counter/disk_read_sys_count,cpu/interrupts/ctx_switches_count,cpu/load/avg_sys_load_five_min_percent,01_general/minibatch_loss,disk/time/disk_busy_time_sys_s,02_timing/dataload_cuda_move_time_s,process/voluntary_proc_ctx_switches,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/text_resident_set_proc_MB,process/memory/virtual_memory_size_proc_MB,_runtime,memory/used_memory_sys_percent,disk/counter/disk_write_sys_count,01_general/locally_processed_samples,cpu/logical_core_count,02_timing/backward_time_s,02_timing/opt_step_time_s,disk/time/disk_write_time_sys_s,cpu/load/avg_sys_load_one_min_percent,process/memory/data_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,_step,01_general/lr,01_general/step,02_timing/loss_calc_time_s,cpu/interrupts/interrupts_count,process/memory/shared_memory_proc_MB,memory/used_memory_sys_MB,process/involuntary_proc_ctx_switches,bandwidth/disk_write_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,02_timing/forward_time_s,01_general/step_based_sps,memory/available_memory_sys_MB,process/memory/lib_memory_proc_MB,process/memory/resident_set_size_proc_MB,02_timing/dataload_time_s,disk/time/disk_read_time_sys_s,01_general/dataset_iteration_count,cpu/interrupts/soft_interrupts_count,process/memory/dirty_pages_proc_count,bandwidth/net_sent_sys_bandwidth_Mbits
1680785039.0,0.392380542000069,,,,,7.2449951171875,,,,,,,103,,,3488.0,,,,,,,,212,0.0001,108.0,,,,,,,,,81.55348335288852,,,,0.00437373900001603,,0.0,,,
1680785040.0,,,5.0,69058.0,10.5,,1.195999999999998,0.005522900999949343,1337.0,0.0,2.654208,22875.50464,104,12.9,592.0,,,0.3555193639999743,2.3009999949863413e-06,0.6219999999993888,13.750000000000002,0.0,7.625,213,,,0.0007375420000244048,129688.0,812.249088,3485.773824,223.0,0.008171516188701615,44.77626186940673,0.02627203500003361,,27499.057152,3320.598528,3275.65312,,0.005000000000000782,,84356.0,0.0,0.028975366494343603
1680785040.0,0.39259662100005244,,,,,6.928955078125,,,,,,,104,,,3520.0,,,,,,,,214,0.0001,109.0,,,,,,,,,81.5085975994575,,,,0.004542478000075789,,0.0,,,
1680785041.0,,,5.0,69915.0,10.5,,1.2040000000000077,0.00543748500001584,1348.0,0.0,2.654208,22875.50464,105,12.9,594.0,,,0.3605330600000798,2.013999960581714e-06,0.6239999999997963,13.750000000000002,0.0,7.625,215,,,0.000724305999938224,131117.0,812.249088,3490.316288,226.0,0.008170923507541334,45.202131334882644,0.02627660799998921,,27494.510592,3320.598528,3275.65312,,0.005000000000000782,,85251.0,0.0,0.030034527419994902
1680785041.0,0.39746282199996585,,,,,7.1478271484375,,,,,,,105,,,3552.0,,,,,,,,216,0.0001,110.0,,,,,,,,,80.51067478206238,,,,0.004489348999982212,,0.0,,,
1680785042.0,,,5.0,70427.0,10.5,,1.211999999999989,0.005514591000064684,1360.0,0.0,2.654208,22875.50464,106,12.9,596.0,,,0.3575906070000201,2.287000029355113e-06,0.625,13.750000000000002,0.0,7.625,217,,,0.0007992240000476158,132202.0,812.249088,3491.00032,228.0,0.00816999481710289,28.716797755130344,0.02695452499995099,,27493.965824,3320.598528,3275.65312,,0.005000000000000782,,85986.0,0.0,0.02409510189864374
1680785042.0,0.39545928100005767,,,,,7.188720703125,,,,,,,106,,,3584.0,,,,,,,,218,0.0001,111.0,,,,,,,,,80.91857123463322,,,,0.004598046999944927,,0.0,,,
1680785043.0,0.39386742399995,,,,,7.193115234375,,0.005380075000061879,,,,,107,,,3616.0,,0.3586891369999421,1.7950000028577051e-06,,,,,219,0.0001,112.0,0.0006702270000005228,,,,,,,0.024765463999983695,81.24561222916486,,,,0.004360725999958959,,0.0,,,
1680785043.0,,,5.0,71276.0,10.5,,1.2319999999999993,0.005418199000018831,1380.0,0.0,2.654208,22875.50464,107,12.8,602.0,,,,,0.6299999999991996,13.750000000000002,0.0,7.625,220,,,0.000673112999947989,133483.0,812.249088,3488.813056,231.0,0.06128540947865486,30.212454034369255,0.025449194999964675,,27515.277312,3320.598528,3275.65312,,0.005000000000000782,,86824.0,0.0,0.043458377608507695
1680785044.0,0.39306013399993844,,,,,7.30078125,,,,,,,108,,,3648.0,,0.35698564500000884,2.0749999976032996e-06,,,,,221,0.0001,113.0,,,,,,,,,81.41247924167504,,,,0.004531907000000501,,0.0,,,
