03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
46543,1067.7813722916849,2,0,71,0.0,121,4,0.5,1067.7813722916849,1683034326,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
47631,1067.7813722916849,2,0,72,0.0,122,4,0.5,1067.7813722916849,1683034327,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
48723,1067.7813722916849,2,0,73,0.0,123,4,0.5,1067.7813722916849,1683034328,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
49814,1067.7813722916849,2,0,74,0.0,124,4,0.5,1067.7813722916849,1683034329,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
50901,1067.7813722916849,2,0,75,0.0,125,4,0.5,1067.7813722916849,1683034330,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
51994,1067.7813722916849,2,0,76,0.0,126,4,0.5,1067.7813722916849,1683034331,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
53085,1067.7813722916849,2,0,77,0.0,127,4,0.5,1067.7813722916849,1683034332,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
54178,1067.7813722916849,2,0,78,0.0,128,4,0.5,1067.7813722916849,1683034333,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
55266,1067.7813722916849,2,0,79,0.0,129,4,0.5,1067.7813722916849,1683034334,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
56357,1067.7813722916849,2,0,80,0.0,130,4,0.5,1067.7813722916849,1683034335,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
57444,1067.7813722916849,2,0,81,0.0,131,4,0.5,1067.7813722916849,1683034336,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
58533,1067.7813722916849,2,0,82,0.0,132,4,0.5,1067.7813722916849,1683034337,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
59621,1067.7813722916849,2,0,83,0.0,133,4,0.5,1067.7813722916849,1683034338,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
60709,1067.7813722916849,2,0,84,0.0,134,4,0.5,1067.7813722916849,1683034339,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
61799,1067.7813722916849,2,0,85,0.0,135,4,0.5,1067.7813722916849,1683034340,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
62884,1067.7813722916849,2,0,86,0.0,136,4,0.5,1067.7813722916849,1683034341,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
63971,1067.7813722916849,2,0,87,0.0,137,4,0.5,1067.7813722916849,1683034342,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
