04_peers/peer_1_epoch,03_hivemind/global_epoch,04_peers/peer_1_epoch_oos,03_hivemind/undershot_TBS,03_hivemind/optimistic_total_samples_per_second,03_hivemind/eta_next_epoch_s,03_hivemind/global_samples_accumulated,_step,_runtime,03_hivemind/epoch_s,03_hivemind/num_peers,03_hivemind/num_clients,03_hivemind/overshot_TBS,04_peers/peer_3_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/estimated_current_samples,04_peers/peer_2_epoch,04_peers/peer_3_epoch,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,04_peers/peer_3_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_3_samples_per_second,_timestamp,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_accumulated,03_hivemind/reached_TBS,04_peers/peer_2_epoch_oos
1.0,1,0.0,,699.9841563995506,25.38,14880,63,114,,3,0,,0.0,10.0,234.26,4544.0,15000,1.0,1.0,,213.97,4800.0,,699.9841563995506,239.81,1680694529.0,,4672.0,,0.0
1.0,1,0.0,,670.512885051067,25.35,15680,64,115,,3,0,,0.0,10.0,234.18,4832.0,15770,1.0,1.0,,225.74,5088.0,,670.512885051067,240.06,1680694530.0,,4960.0,,0.0
1.0,1,0.0,,690.7754439151449,23.38,16512,65,116,,3,0,,0.0,10.0,233.83,5056.0,16617,1.0,1.0,,197.22,5376.0,,690.7754439151449,239.47,1680694531.0,,5248.0,,0.0
1.0,1,0.0,,701.4428531414928,21.81,17344,66,118,,3,0,,0.0,10.0,234.14,5312.0,17469,1.0,1.0,,217.11,5664.0,,701.4428531414928,239.53,1680694533.0,,5536.0,,0.0
1.0,1,0.0,,706.1557691086166,20.47,18208,67,119,,3,0,,0.0,10.0,234.33,5600.0,18315,1.0,1.0,,227.62,5952.0,,706.1557691086166,239.49,1680694534.0,,5792.0,,0.0
1.0,1,0.0,,706.1325147852818,19.28,19072,68,120,,3,0,,0.0,9.64,234.07,5888.0,19154,1.0,1.0,,232.25,6240.0,,706.1325147852818,239.84,1680694535.0,,6080.0,,0.0
1.0,1,0.0,,704.3240091491414,18.14,19808,69,121,,3,0,,0.0,9.07,232.64,6176.0,19993,1.0,1.0,,233.77,6528.0,,704.3240091491414,239.72,1680694536.0,,6368.0,,0.0
1.0,1,0.0,,628.686155365333,19.27,20544,70,122,,3,0,,0.0,9.64,233.29,6432.0,20653,1.0,1.0,,230.9,6752.0,,628.686155365333,240.13,1680694537.0,,6624.0,,0.0
1.0,1,0.0,,665.8102945867737,16.93,21408,71,124,,3,0,,0.0,8.47,185.04,6720.0,21495,1.0,1.0,,232.24,7008.0,,665.8102945867737,211.41,1680694539.0,,6816.0,,0.0
1.0,1,0.0,,690.5788843211451,15.09,22240,72,125,,3,0,,0.0,7.55,204.99,7008.0,22347,1.0,1.0,,233.1,7296.0,,690.5788843211451,227.72,1680694540.0,,7104.0,,0.0
1.0,1,0.0,,665.5257349966487,14.53,22912,73,126,,3,0,,0.0,7.27,221.88,7296.0,23097,1.0,1.0,,233.96,7552.0,,665.5257349966487,234.74,1680694541.0,,7392.0,,0.0
1.0,1,0.0,,669.1662226673654,13.29,23776,74,127,,3,0,,0.0,6.64,227.91,7552.0,23876,1.0,1.0,,227.02,7776.0,,669.1662226673654,210.6,1680694542.0,,7584.0,,0.0
1.0,1,0.0,,690.9256616081248,11.64,24608,75,128,,3,0,,0.0,5.82,210.84,7840.0,24727,1.0,1.0,,231.31,8064.0,,690.9256616081248,227.02,1680694543.0,,7872.0,,0.0
1.0,1,0.0,,694.2289058684308,10.39,25440,76,130,,3,0,,0.0,5.19,224.12,8096.0,25555,1.0,1.0,,232.54,8352.0,,694.2289058684308,234.26,1680694545.0,,8160.0,,0.0
1.0,1,0.0,,701.8504150537509,9.07,26304,77,131,,3,0,,0.0,4.53,229.71,8384.0,26404,1.0,1.0,,233.41,8640.0,,701.8504150537509,231.11,1680694546.0,,8416.0,,0.0
