process/memory/lib_memory_proc_MB,process/voluntary_proc_ctx_switches,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/resident_set_size_proc_MB,02_timing/backward_time_s,disk/time/disk_read_time_sys_s,disk/counter/disk_write_sys_count,02_timing/forward_time_s,memory/used_memory_sys_percent,process/memory/virtual_memory_size_proc_MB,cpu/load/avg_sys_load_five_min_percent,01_general/lr,01_general/step,cpu/interrupts/interrupts_count,01_general/minibatch_loss,memory/total_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,memory/available_memory_sys_MB,disk/time/disk_write_time_sys_s,cpu/interrupts/ctx_switches_count,01_general/locally_processed_samples,cpu/load/avg_sys_load_fifteen_min_percent,_timestamp,02_timing/step_time_s,cpu/logical_core_count,cpu/load/avg_sys_load_one_min_percent,process/memory/dirty_pages_proc_count,process/memory/text_resident_set_proc_MB,02_timing/loss_calc_time_s,disk/time/disk_busy_time_sys_s,process/memory/shared_memory_proc_MB,02_timing/dataload_time_s,02_timing/opt_step_time_s,disk/counter/disk_read_sys_count,01_general/dataset_iteration_count,02_timing/dataload_cuda_move_time_s,_step,03_hivemind/num_peers,03_hivemind/global_epoch,process/memory/data_resident_set_proc_MB,bandwidth/disk_read_sys_bandwidth_MBs,process/involuntary_proc_ctx_switches,bandwidth/net_recv_sys_bandwidth_Mbits,_runtime,memory/used_memory_sys_MB,cpu/interrupts/soft_interrupts_count
5316.87424,515.0,0.008905131564317756,4196.696064,,0.0,230.0,,3.4,19517.710336,3.1333333333333333,,,657785.0,,,0.004085508384783287,203885.350912,0.10799999999994725,33144.0,,2.033333333333333,1680687572.0,,,4.366666666666666,0.0,2.719744,,0.2560000000000002,1477.369856,,,0.0,,,46,,,0.0,0.0,409.0,0.007205496239569895,46,4417.404928,11024.0
5316.87424,515.0,0.07269654843343094,4196.696064,,0.0,240.0,,3.4,19517.710336,3.1333333333333333,,,658177.0,,,0.040852412244758725,203885.350912,0.11400000000003274,33764.0,,2.033333333333333,1680687573.0,,,4.366666666666666,0.0,2.719744,,0.26400000000001,1477.369856,,,0.0,,,47,,,0.0,0.0,409.0,0.07325507750207233,47,4417.404928,11263.0
5316.87424,515.0,0.00890575633184347,4196.696064,,0.0,243.0,,3.4,19517.710336,3.1333333333333333,,,658483.0,,,0.04494374522214153,203885.350912,0.11599999999998545,34294.0,,2.033333333333333,1680687574.0,,,4.366666666666666,0.0,2.719744,,0.27200000000000557,1477.369856,,,0.0,,,48,,,0.0,0.0,409.0,0.008786055312521088,48,4417.388544,11424.0
5316.87424,515.0,0.05363776266030025,4196.696064,,0.0,244.0,,3.4,19517.710336,3.1333333333333333,,,658772.0,,,0.004087294904175657,203885.350912,0.11599999999998545,34819.0,,2.033333333333333,1680687575.0,,,4.366666666666666,0.0,2.719744,,0.27600000000001046,1477.369856,,,0.0,,,49,,,0.0,0.0,409.0,0.01679622750331322,49,4417.388544,11580.0
5333.921792,520.0,0.008374715941148433,4196.831232,,0.0,245.0,,3.4,19668.770816,3.1333333333333333,,,660381.0,,,0.004083671015641472,203858.82112,0.11599999999998545,35497.0,,2.033333333333333,1680687576.0,,,4.366666666666666,0.0,2.719744,,0.28000000000000114,1477.443584,,,0.0,,,50,,,0.0,0.0,409.0,0.008781487864531009,50,4443.91424,11892.0
5334.196224,529.0,0.6405169839495644,4231.08608,,0.0,246.0,,3.5,19916.00128,3.1333333333333333,,,665299.0,,,0.004076581750950892,203650.072576,0.1169999999999618,38925.0,,2.033333333333333,1680687577.0,,,4.300000000000001,0.0,2.719744,,0.2880000000000109,1511.575552,,,0.0,,0.0026463449999027944,51,,,0.0,0.0,415.0,76.56314978794478,51,4630.360064,17427.0
5691.097088,529.0,0.11285522074847466,4839.489536,,0.0,253.0,,4.1,20785.414144,3.1333333333333333,,,668059.0,,,0.040878580135118324,202365.464576,0.1190000000000282,40600.0,,2.033333333333333,1680687578.0,,,4.300000000000001,0.0,2.719744,,0.2960000000000065,1778.548736,,,0.0,,,52,,,0.0,0.0,428.0,163.81766835402783,52,5835.132928,19847.0
,,,,0.12209142900019287,,,1.405947580000202,,,,0.0001,0.0,,6.9857177734375,,,,,,32.0,,1680687578.0,2.526774130000149,,,,,0.00020737599993481126,,,0.9924725599998965,0.0034088400000200636,,0.0,,53,0.0,0.0,,,,,52,,
,,,,0.03098568800010071,,,0.035701663000054396,,,,0.0001,1.0,,7.090576171875,,,,,,64.0,,1680687579.0,0.08425607100025445,,,,,0.00043758099991464405,,,0.00386122100007924,0.010596221000014339,,0.0,0.002673697000091124,54,0.0,0.0,,,,,53,,
,,,,0.029848300000139716,,,0.036542714000006526,,,,0.0001,2.0,,7.183837890625,,,,,,96.0,,1680687579.0,0.08451517800017427,,,,,0.00033755399999790825,,,0.0035937709999416256,0.01150255700008529,,0.0,0.002690282000003208,55,0.0,0.0,,,,,53,,
,,,,0.031401840999933484,,,0.036669750000100976,,,,0.0001,3.0,,7.093994140625,,,,,,128.0,,1680687579.0,0.08483899500015468,,,,,0.0003435640001043794,,,0.0032917519999955402,0.010429094000073746,,0.0,0.002702993999946557,56,0.0,0.0,,,,,53,,
6183.251968,573.0,0.08930378297942224,5453.45536,,0.0,260.0,,4.4,25513.65632,3.1333333333333333,,,670055.0,,,0.07763603224477861,201876.373504,0.1230000000000473,42541.0,,2.033333333333333,1680687579.0,,,4.300000000000001,0.0,2.719744,,0.3240000000000123,1907.900416,,,0.0,,0.002681649999885849,57,,,0.0,0.0,488.0,71.53983998383211,53,6342.995968,21542.0
,,,,0.029412266000008458,,,0.03817187799995736,,,,0.0001,4.0,,7.0079345703125,,,,,,160.0,,1680687579.0,0.083899676999863,,,,,0.0002495119999821327,,,0.0035788949999187025,0.009805476000110502,,0.0,,58,0.0,0.0,,,,,53,,
,,,,0.031147753000141165,,,0.036612374000014825,,,,0.0001,5.0,,7.177490234375,,,,,,192.0,,1680687579.0,0.0835816829999203,,,,,0.0002734100000907347,,,0.0036091749998377054,0.009255024999902162,,0.0,0.0026839459999337123,59,0.0,0.0,,,,,53,,
,,,,0.02964683700020032,,,0.036643122999976185,,,,0.0001,6.0,,7.0499267578125,,,,,,224.0,,1680687579.0,0.08590784500006521,,,,,0.0002657329998783098,,,0.0033412660000067262,0.01324731900012921,,0.0,0.002763566999874456,60,0.0,0.0,,,,,53,,
,,,,0.031513188999952035,,,0.03718549499990331,,,,0.0001,7.0,,7.1295166015625,,,,,,256.0,,1680687579.0,0.0838410619996921,,,,,0.00027256199996372743,,,0.0034069139999246545,0.00880532599990147,,0.0,0.0026575760000469018,61,0.0,0.0,,,,,53,,
