03_hivemind/total_training_samples,04_peers/peer_2_epoch_oos,03_hivemind/optimistic_total_samples_per_second,03_hivemind/overshot_TBS,03_hivemind/estimated_current_samples,03_hivemind/per_epoch_training_samples,03_hivemind/num_clients,04_peers/peer_1_epoch_oos,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,_runtime,_timestamp,04_peers/peer_2_samples_accumulated,03_hivemind/next_fetch_time_s,03_hivemind/epoch_based_sps,03_hivemind/global_samples_accumulated,_step,03_hivemind/epoch_s,03_hivemind/global_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_samples_accumulated
,0.0,1654.520295642512,,37011,,0,0.0,2,,,0.0,146,1682808957.0,0.0,0.5,,0,86,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,38714,,0,0.0,2,,,0.0,147,1682808958.0,0.0,0.5,,0,87,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,40415,,0,0.0,2,,,0.0,148,1682808959.0,0.0,0.5,,0,88,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,42101,,0,0.0,2,,,0.0,149,1682808960.0,0.0,0.5,,0,89,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,43797,,0,0.0,2,,,0.0,150,1682808961.0,0.0,0.5,,0,90,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,45484,,0,0.0,2,,,0.0,151,1682808962.0,0.0,0.5,,0,91,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,47170,,0,0.0,2,,,0.0,152,1682808963.0,0.0,0.5,,0,92,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,48857,,0,0.0,2,,,0.0,153,1682808964.0,0.0,0.5,,0,93,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,50542,,0,0.0,2,,,0.0,154,1682808965.0,0.0,0.5,,0,94,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,52239,,0,0.0,2,,,0.0,155,1682808966.0,0.0,0.5,,0,95,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
