04_peers/peer_1_epoch,03_hivemind/num_clients,_step,_timestamp,03_hivemind/global_epoch,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_per_second,03_hivemind/optimistic_total_samples_per_second,_runtime,03_hivemind/epoch_s,04_peers/peer_1_epoch_oos,04_peers/peer_2_epoch_oos,03_hivemind/global_samples_accumulated,03_hivemind/num_peers,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,03_hivemind/reached_TBS,04_peers/peer_1_samples_accumulated,03_hivemind/per_epoch_training_samples,04_peers/peer_2_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/next_fetch_time_s,03_hivemind/estimated_current_samples
1.0,0,55,1680690510.0,1,,0.0,193.65,557.1703276590915,112,,0.0,0.0,16352,2,,,,8256.0,,1.0,,363.52,8096.0,557.1703276590915,0.5,20344
1.0,0,56,1680690512.0,2,,24.96,193.65,624.6631533733412,114,,0.0,0.0,704,2,,,,8256.0,,1.0,,363.52,8096.0,624.6631533733412,9.98,793
2.0,0,57,1680690513.0,2,1.0,20.9,276.26,703.5215594090485,115,30.937111460603774,0.0,0.0,1600,2,528.5561330062477,32800.0,0.0,352.0,16352.0,2.0,1.0,348.4,352.0,703.5215594090485,8.36,1679
2.0,0,58,1680690514.0,2,,19.04,340.74,726.1462809718287,116,,0.0,0.0,2464,2,,,,800.0,,2.0,,362.79,800.0,726.1462809718287,7.62,2557
2.0,0,59,1680690515.0,2,,17.75,359.18,729.6287376308969,117,,0.0,0.0,3136,2,,,,1248.0,,2.0,,366.97,1216.0,729.6287376308969,7.1,3432
2.0,0,60,1680690516.0,2,,18.28,362.42,673.0860110964754,118,,0.0,0.0,4000,2,,,,1472.0,,2.0,,367.21,1664.0,673.0860110964754,7.31,4080
2.0,0,61,1680690518.0,2,,15.94,305.36,716.9981839375296,120,,0.0,0.0,4864,2,,,,1888.0,,2.0,,367.72,2112.0,716.9981839375296,6.38,4956
2.0,0,62,1680690519.0,2,,14.48,349.56,728.6848503075087,121,,0.0,0.0,5728,2,,,,2336.0,,2.0,,367.44,2528.0,728.6848503075087,5.79,5832
2.0,0,63,1680690520.0,2,,15.81,361.29,622.6296677789962,122,,0.0,0.0,6464,2,,,,2752.0,,2.0,,367.4,2976.0,622.6296677789962,6.32,6541
2.0,0,64,1680690521.0,2,,12.84,364.01,697.7306114630078,123,,0.0,0.0,7328,2,,,,3200.0,,2.0,,258.62,3264.0,697.7306114630078,5.14,7423
2.0,0,65,1680690522.0,2,,11.18,362.75,722.6464348010925,124,,0.0,0.0,8192,2,,,,3616.0,,2.0,,334.98,3712.0,722.6464348010925,4.47,8305
2.0,0,66,1680690524.0,2,,10.14,365.09,712.9500902117586,126,,0.0,0.0,9056,2,,,,4064.0,,2.0,,357.55,4128.0,712.9500902117586,4.06,9153
2.0,0,67,1680690525.0,2,,10.29,348.89,634.5273005264382,127,,0.0,0.0,9792,2,,,,4480.0,,2.0,,364.06,4576.0,634.5273005264382,4.12,9855
2.0,0,68,1680690526.0,2,,8.11,362.35,697.9772110981904,128,,0.0,0.0,10624,2,,,,4928.0,,2.0,,272.18,4864.0,697.9772110981904,3.24,10725
2.0,0,69,1680690527.0,2,,6.62,361.31,723.1308581365187,129,,0.0,0.0,11520,2,,,,5344.0,,2.0,,336.67,5280.0,723.1308581365187,2.65,11600
2.0,0,70,1680690528.0,2,,5.36,363.75,730.0632180055007,130,,0.0,0.0,12384,2,,,,5792.0,,2.0,,359.38,5728.0,730.0632180055007,2.14,12472
2.0,0,71,1680690530.0,2,,4.16,365.86,730.4386359257599,132,,0.0,0.0,13248,2,,,,6208.0,,2.0,,364.21,6176.0,730.4386359257599,1.67,13342
2.0,0,72,1680690531.0,2,,2.98,364.94,730.8250261474549,133,,0.0,0.0,14112,2,,,,6656.0,,2.0,,365.5,6592.0,730.8250261474549,1.19,14208
2.0,0,73,1680690532.0,2,,1.88,364.54,709.3381116414821,134,,0.0,0.0,14976,2,,,,7072.0,,2.0,,366.29,7040.0,709.3381116414821,0.75,15049
2.0,0,74,1680690533.0,2,,0.64,364.63,725.1511521700016,135,,0.0,0.0,15808,2,,,,7520.0,,2.0,,344.71,7456.0,725.1511521700016,0.5,15920
2.0,0,75,1680690534.0,2,,0.0,364.37,728.5279972165165,136,,0.0,0.0,16416,2,,,,7936.0,,2.0,,360.78,7872.0,728.5279972165165,0.5,16786
2.0,0,76,1680690535.0,2,,0.0,364.35,728.5279972165165,137,,0.0,0.0,16416,2,,,,8256.0,,2.0,,364.18,8160.0,728.5279972165165,0.5,17653
2.0,0,77,1680690537.0,2,,0.0,364.35,728.5279972165165,139,,0.0,0.0,16416,2,,,,8256.0,,2.0,,364.18,8160.0,728.5279972165165,0.5,18520
