_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,02_timing/dataload_cuda_move_time_s,01_general/dataset_iteration_count,01_general/step
37,22,,,1681378161,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0006759539996892272,0.023105608000150824,0.015396652000163158,480.0,12.739355087280273,0.11009070000000065,0.1555857150005977,0.0,0.0001,0.0006814450002821104,,0.0,14.0
38,23,,,1681378162,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0006901110000399058,0.02191770599984011,0.016210012000101415,512.0,12.600637435913086,0.10933425099983651,0.15462010100009138,0.0,0.0001,0.0006442829999286914,0.005823738000344747,0.0,15.0
39,23,,,1681378162,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0006835290000708483,0.021872348999750102,0.01617421299988564,544.0,12.73655891418457,0.11089670599994861,0.1561415489995852,0.0,0.0001,0.0006686599999738974,0.005846091999956116,0.0,16.0
40,23,,,1681378162,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0007438259999617003,0.024909189000027254,0.01578949000031571,576.0,12.65614128112793,0.10696343599965985,0.15488395200009109,0.0,0.0001,0.0006708939999953145,0.005807117000131257,0.0,17.0
41,23,,,1681378162,20.75,0.0,0.5120000000000573,10833.833984,0.020428945947962168,59113.0,1.1927631613543102,5096.321024,221.0,11987.345408,0.0,0.0,0.0,15.5,31099.0,70.16460339084706,13654.13888,2.711552,1518.0,3.4070000000010623,7538.520064,0.0,26340.0,53.6,22.25,36589.314048,874.0,,0.0006644829995821055,0.02197243199998411,,,,,,,,,0.00578525399987484,,
42,23,,,1681378162,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.01594509000005928,608.0,12.731385231018066,0.10969056800013277,0.1547177899997223,0.0,0.0001,0.0006599630000891921,,0.0,18.0
43,23,,,1681378162,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0006729880001330457,0.021802914000090823,0.016000778000034188,640.0,12.680379867553711,0.11164213399979417,0.1566068750003069,0.0,0.0001,0.0006688510002277326,0.005819210000026942,0.0,19.0
44,24,,,1681378163,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.000669671999730781,0.02180652100014413,0.015847140999994735,672.0,12.697452545166016,0.11006549300009283,0.1550329290002992,0.0,0.0001,0.0006831989999227517,0.005960903000413964,0.0,20.0
45,24,,,1681378163,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0006667360003120848,0.021841329000380938,0.0158672799998385,704.0,12.644062042236328,0.11172582600011083,0.15655697900047016,0.0,0.0001,0.0006444229998123774,0.005811385000015434,0.0,21.0
46,24,,,1681378163,20.75,0.0,0.5320000000000391,10835.98848,0.02042238422675663,65665.0,1.2532642819757547,5096.321024,226.0,11987.349504,0.0,0.0,0.0,16.25,34194.0,54.436822452907265,13651.755008,2.711552,1585.0,3.408000000001266,7538.528256,0.0,29498.0,53.6,22.25,36589.314048,888.0,,0.0006757440000910719,0.021815498999785632,,,,0.10996230099999593,,,,,0.0058475850000832,,
47,24,,,1681378163,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.015572560999771667,736.0,12.75510025024414,,0.15458942099985507,0.0,0.0001,0.0007157310001275619,,0.0,22.0
48,24,,,1681378163,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0006804939998801274,0.021926974000052724,0.015820008999980928,768.0,12.653769493103027,0.11085231099968951,0.15575265999950716,0.0,0.0001,0.0006287339997470553,0.005844138000156818,0.0,23.0
49,25,,,1681378164,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0007001409999247699,0.021913398000378947,0.015774241000144684,800.0,12.520105361938477,0.1095718990000023,0.1545001210006376,0.0,0.0001,0.0006946210000933206,0.005845821000093565,0.0,24.0
50,25,,,1681378164,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0008406530000684143,0.021829154999977618,0.015983113999936904,832.0,12.693734169006348,0.1095682130003297,0.15469245300027978,0.0,0.0001,0.0006440530000872968,0.005827264999879844,0.0,25.0
51,25,,,1681378164,20.75,0.0,0.58400000000006,10839.064576,0.06946325659789346,72636.0,1.2523976169691393,5096.329216,233.0,11987.390464,0.0,0.0,0.0,16.25,37930.0,58.891162825127175,13648.502784,2.711552,1697.0,3.4210000000002765,7547.322368,0.0,33120.0,53.6,22.25,36665.07776,903.0,,0.0006920959999661136,0.02239060800002335,0.015790852999998606,,,0.11143337200019232,,,,,0.005824360000133311,,
52,25,,,1681378164,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,864.0,12.739669799804688,,0.15684105900027134,0.0,0.0001,0.0007097699999576434,,0.0,26.0
53,25,,,1681378164,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0006749220001438516,0.02190958099981799,0.015652234999834036,896.0,12.452642440795898,0.1097957970000607,0.1551677360002941,0.0,0.0001,0.0011850880000565667,0.005950113000380952,0.0,27.0
54,26,,,1681378165,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0006686010001430986,0.021912065999913466,0.015730837000319298,928.0,12.904340744018555,0.10695893799993428,0.15176449300042805,0.0,0.0001,0.0006380710001394618,0.0058559799999784445,0.0,28.0
55,26,,,1681378165,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0007272230000126001,0.021831079000094178,0.015613921999829472,960.0,12.557519912719727,0.11111053800004811,0.15576576300009037,0.0,0.0001,0.0006693119998999464,0.005813689000206068,0.0,29.0
56,26,,,1681378165,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0006952319999982137,0.022471795000001293,0.015343149000273115,992.0,12.654687881469727,0.10992434900026637,0.15494106200048918,0.0,0.0001,0.000680042000112735,0.0058264949998374505,0.0,30.0
57,26,,,1681378165,20.75,0.0,0.6159999999999854,10841.862144,0.02860098686512408,79381.0,1.5113355185181125,5096.329216,240.0,11987.39456,0.0,0.0,0.0,16.25,41482.0,56.304059153602175,13645.930496,2.711552,1771.0,3.42200000000048,7547.367424,0.0,36516.0,53.6,22.25,36665.07776,921.0,,0.0006799320003665343,0.02196686099978251,,,,,,,,,0.005819780999900104,,
58,26,,,1681378165,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,0.015768869999646995,1024.0,12.707623481750488,0.1105656539998563,0.15546242399932453,0.0,0.0001,0.0006613259997720888,,0.0,31.0
59,26,,,1681378165,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.000703385999713646,0.021889173000090523,0.016021918000205915,1056.0,12.708938598632812,0.11035621500013804,0.15609597399998165,0.0,0.0001,0.0013406759999270434,0.005784605999906489,0.0,32.0
60,27,,,1681378166,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0007001710000622552,0.022385962000043946,0.015738853000129893,1088.0,12.723457336425781,0.11046973200018328,0.1557362810003724,0.0,0.0001,0.0006688399998893146,0.005772723000063706,0.0,33.0
61,27,,,1681378166,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.00070350599980884,0.021935563000170077,0.015689758000007714,1120.0,12.567957878112793,0.10955208300038066,0.1542648610006836,0.0,0.0001,0.0006219590000000608,0.005761992000316241,0.0,34.0
62,27,,,1681378166,20.75,0.0,0.6560000000000628,10844.061696,0.11030508030549735,88906.0,1.1840720548828545,5096.329216,249.0,11987.656704,0.0,0.0,0.0,16.25,45688.0,64.85823820785966,13643.911168,2.711552,1824.0,3.42699999999968,7547.375616,0.0,40044.0,53.7,22.25,36665.07776,930.0,,0.00079321000021082,0.022843044000183,,,,,,,,,0.005798212000172498,,
