_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
53,24,,,1681396911,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00045434200001182035,0.017706127000110428,0.008778807999988203,0.04865521000010631,0.003818293999756861,1.0,928.0,12.72413158416748,0.07995408600027076,0.0,0.0001,0.0005413050002971431,0.0,28.0
54,24,,,1681396911,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00043563999997786595,0.01755416099967988,0.008970428999873548,0.04973785299989686,0.0031640910001442535,1.0,960.0,12.574511528015137,0.08069353799919554,0.0,0.0001,0.0008313639996231359,0.0,29.0
55,24,,,1681396911,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005283050004436518,0.020966993999991246,0.008959058999607805,0.04552787000011449,0.0035949359998994623,1.0,992.0,12.605022430419922,0.08036454200009757,0.0,0.0001,0.000787378000040917,0.0,30.0
56,24,,,1681396911,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004826449999200122,0.017852212999969197,0.008995553000204382,0.048925782999958756,0.003573212999981479,1.0,1024.0,12.759588241577148,0.08034849100022257,0.0,0.0001,0.0005190840001887409,0.0,31.0
57,24,,,1681396911,2.933333333333333,0.0,0.27200000000000557,11673.079808,0.03678498904610566,79996.0,1.8442866327989653,5136.408576,122.0,12471.549952,0.0,0.0,0.0,8.766666666666666,55049.0,55.71334857547375,193149.07136,2.719744,1606.0,0.08500000000003638,9950.04416,0.0,1123635.0,8.5,3.5666666666666664,40872.230912,408.0,0.0004604599998856429,0.01966370999980427,,,0.0037751859999843873,,,,,,,,,
58,25,,,1681396912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009054415000264271,0.04851589600002626,,1.0,1056.0,12.698945999145508,0.08240073999968445,0.0,0.0001,0.0009310729997196177,0.0,32.0
59,25,,,1681396912,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00044702700006382656,0.01818074400034675,0.008846619999985705,0.04834969200010164,0.003799328999775753,1.0,1088.0,12.672676086425781,0.08048790500015457,0.0,0.0001,0.0008644929998808948,0.0,33.0
60,25,,,1681396912,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005555540001296322,0.01867385600007765,0.009061511999789218,0.04831608399990728,0.0035561569998208142,1.0,1120.0,12.59738826751709,0.08072888099968623,0.0,0.0001,0.0005657179999616346,0.0,34.0
61,25,,,1681396912,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000451243999577855,0.018127330999959668,0.008985064000171405,0.04836813100018844,0.0031094619998839335,1.0,1152.0,12.656720161437988,0.07957802299961259,0.0,0.0001,0.0005367909998312825,0.0,35.0
62,25,,,1681396912,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004631669999071164,0.01768430799984344,0.008932465000270895,0.04920823099973859,0.003118710000308056,1.0,1184.0,12.597284317016602,0.07992155900001308,0.0,0.0001,0.0005146779999449791,0.0,36.0
