04_peers/peer_3_epoch_oos,04_peers/peer_5_samples_per_second,04_peers/peer_8_samples_accumulated,03_hivemind/estimated_current_samples,_runtime,04_peers/peer_2_samples_per_second,04_peers/peer_5_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,_timestamp,03_hivemind/epoch_s,04_peers/peer_1_epoch,03_hivemind/reached_TBS,04_peers/peer_4_samples_per_second,_step,03_hivemind/num_peers,04_peers/peer_2_epoch,03_hivemind/global_epoch,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_6_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/next_fetch_time_s,03_hivemind/total_training_samples,04_peers/peer_7_samples_per_second,04_peers/peer_4_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/overshot_TBS,04_peers/peer_8_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_8_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,04_peers/peer_6_samples_accumulated,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_6_epoch,04_peers/peer_8_epoch,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_3_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_7_samples_accumulated,03_hivemind/num_clients,04_peers/peer_5_epoch,04_peers/peer_7_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_7_epoch_oos,04_peers/peer_3_samples_accumulated
0.0,488.89,2592.0,27184,142,472.48,2624.0,,3915.8049595913517,3915.8049595913517,1680699558.0,,2.0,,511.5,37,8,2.0,2,,0.0,0.0,0.0,1.43,1.04,,424.16,2688.0,26464,,0.0,486.75,375.75,2656.0,2656.0,2624.0,2.0,2.0,2.0,2.0,0.0,,498.79,480.06,2592.0,0,2.0,2.0,0.0,0.0,2624.0
0.0,507.01,3296.0,32597,143,501.45,3296.0,,4021.946584110571,4021.946584110571,1680699559.0,,2.0,,479.11,38,8,2.0,2,,0.0,0.0,0.0,0.04,0.5,,482.81,3360.0,31904,,0.0,519.02,502.05,3392.0,3296.0,3264.0,2.0,2.0,2.0,2.0,0.0,,473.26,451.1,3296.0,0,2.0,2.0,0.0,0.0,3264.0
0.0,499.38,4000.0,38002,145,505.09,3968.0,,3920.7930104100583,3920.7930104100583,1680699561.0,,2.0,,524.48,39,8,2.0,2,,0.0,0.0,0.0,0.0,0.5,,504.83,4064.0,32928,,0.0,522.3,516.27,4096.0,3968.0,3904.0,2.0,2.0,2.0,2.0,0.0,,472.41,477.19,4000.0,0,2.0,2.0,0.0,0.0,3904.0
0.0,488.43,4096.0,43487,146,495.92,4128.0,,3920.7930104100583,3920.7930104100583,1680699562.0,,2.0,,534.91,40,8,2.0,2,,0.0,0.0,0.0,0.0,0.5,,471.4,4192.0,32928,,0.0,521.1,479.97,4224.0,4128.0,4000.0,2.0,2.0,2.0,2.0,0.0,,468.75,460.31,4096.0,0,2.0,2.0,0.0,0.0,4064.0
0.0,488.43,4096.0,49019,147,495.92,4128.0,,3920.7930104100583,3920.7930104100583,1680699563.0,,2.0,,534.91,41,8,2.0,2,,0.0,0.0,0.0,0.0,0.5,,471.4,4192.0,32928,,0.0,521.1,479.97,4224.0,4128.0,4000.0,2.0,2.0,2.0,2.0,0.0,,468.75,460.31,4096.0,0,2.0,2.0,0.0,0.0,4064.0
0.0,488.43,4096.0,54939,149,495.92,4128.0,,3920.7930104100583,3920.7930104100583,1680699565.0,,2.0,,534.91,42,8,2.0,2,,0.0,0.0,0.0,0.0,0.5,,471.4,4192.0,32928,,0.0,521.1,479.97,4224.0,4128.0,4000.0,2.0,2.0,2.0,2.0,0.0,,468.75,460.31,4096.0,0,2.0,2.0,0.0,0.0,4064.0
0.0,488.43,4096.0,60409,150,495.92,4128.0,,3920.7930104100583,3920.7930104100583,1680699566.0,,2.0,,534.91,43,8,2.0,2,,0.0,0.0,0.0,0.0,0.5,,471.4,4192.0,32928,,0.0,521.1,479.97,4224.0,4128.0,4000.0,2.0,2.0,2.0,2.0,0.0,,468.75,460.31,4096.0,0,2.0,2.0,0.0,0.0,4064.0
0.0,488.43,4096.0,65869,152,495.92,4128.0,,3920.7930104100583,3920.7930104100583,1680699568.0,,2.0,,534.91,44,8,2.0,2,,0.0,0.0,0.0,0.0,0.5,,471.4,4192.0,32928,,0.0,521.1,479.97,4224.0,4128.0,4000.0,2.0,2.0,2.0,2.0,0.0,,468.75,460.31,4096.0,0,2.0,2.0,0.0,0.0,4064.0
0.0,488.43,4096.0,71337,153,495.92,4128.0,,3920.7930104100583,3920.7930104100583,1680699569.0,,2.0,,534.91,45,8,2.0,2,,0.0,0.0,0.0,0.0,0.5,,471.4,4192.0,32928,,0.0,521.1,479.97,4224.0,4128.0,4000.0,2.0,2.0,2.0,2.0,0.0,,468.75,460.31,4096.0,0,2.0,2.0,0.0,0.0,4064.0
0.0,488.43,4096.0,76840,154,495.92,4128.0,,3920.7930104100583,3920.7930104100583,1680699570.0,,2.0,,534.91,46,8,2.0,2,,0.0,0.0,0.0,0.0,0.5,,471.4,4192.0,32928,,0.0,521.1,479.97,4224.0,4128.0,4000.0,2.0,2.0,2.0,2.0,0.0,,468.75,460.31,4096.0,0,2.0,2.0,0.0,0.0,4064.0
0.0,488.43,4096.0,82332,156,495.92,4128.0,,3920.7930104100583,3920.7930104100583,1680699572.0,,2.0,,534.91,47,8,2.0,2,,0.0,0.0,0.0,0.0,0.5,,471.4,4192.0,32928,,0.0,521.1,479.97,4224.0,4128.0,4000.0,2.0,2.0,2.0,2.0,0.0,,468.75,460.31,4096.0,0,2.0,2.0,0.0,0.0,4064.0
0.0,488.43,4096.0,4446,157,495.92,4128.0,,3920.7930104100583,3920.7930104100583,1680699573.0,,2.0,,534.91,48,8,2.0,3,,0.0,0.0,0.0,7.22,5.25,,471.4,4192.0,0,,0.0,521.1,479.97,4224.0,4128.0,4000.0,2.0,2.0,2.0,2.0,0.0,,468.75,460.31,4096.0,0,2.0,2.0,0.0,0.0,4064.0
0.0,488.43,0.0,9948,159,495.92,0.0,32928.0,3920.7930104100583,3920.7930104100583,1680699575.0,21.121019816957414,3.0,1.0,534.91,49,8,3.0,3,0.0,0.0,0.0,0.0,5.82,4.23,98560.0,471.4,0.0,0,2.0,0.0,521.1,479.97,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,1559.0156292341114,468.75,460.31,0.0,0,3.0,3.0,0.0,0.0,0.0
0.0,488.43,0.0,15451,160,495.92,0.0,,3920.7930104100583,3920.7930104100583,1680699576.0,,3.0,,534.91,50,8,3.0,3,,0.0,0.0,0.0,4.42,3.21,,471.4,0.0,0,,0.0,521.1,479.97,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,,468.75,460.31,0.0,0,3.0,3.0,0.0,0.0,0.0
0.0,488.43,0.0,32706,164,495.92,0.0,,3920.7930104100583,3920.7930104100583,1680699580.0,,3.0,,534.91,51,8,3.0,3,,0.0,0.0,0.0,0.02,0.5,,471.4,0.0,0,,0.0,521.1,479.97,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,,468.75,460.31,0.0,0,3.0,3.0,0.0,0.0,0.0
0.0,488.43,0.0,36794,165,495.92,0.0,,3920.7930104100583,3920.7930104100583,1680699581.0,,3.0,,534.91,52,8,3.0,3,,0.0,0.0,0.0,0.0,0.5,,471.4,0.0,0,,0.0,521.1,479.97,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,,468.75,460.31,0.0,0,3.0,3.0,0.0,0.0,0.0
0.0,488.43,0.0,40888,167,495.92,0.0,,3920.7930104100583,3920.7930104100583,1680699583.0,,3.0,,534.91,53,8,3.0,3,,0.0,0.0,0.0,0.0,0.5,,471.4,0.0,0,,0.0,521.1,479.97,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,,468.75,460.31,0.0,0,3.0,3.0,0.0,0.0,0.0
0.0,488.43,0.0,44939,168,495.92,0.0,,3920.7930104100583,3920.7930104100583,1680699584.0,,3.0,,534.91,54,8,3.0,3,,0.0,0.0,0.0,0.0,0.5,,471.4,0.0,0,,0.0,521.1,479.97,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,,468.75,460.31,0.0,0,3.0,3.0,0.0,0.0,0.0
0.0,488.43,0.0,49012,169,495.92,0.0,,3920.7930104100583,3920.7930104100583,1680699585.0,,3.0,,534.91,55,8,3.0,3,,0.0,0.0,0.0,0.0,0.5,,471.4,0.0,0,,0.0,521.1,479.97,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,,468.75,460.31,0.0,0,3.0,3.0,0.0,0.0,0.0
0.0,488.43,0.0,53083,170,495.92,0.0,,3920.7930104100583,3920.7930104100583,1680699586.0,,3.0,,534.91,56,8,3.0,3,,0.0,0.0,0.0,0.0,0.5,,471.4,0.0,0,,0.0,521.1,479.97,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,,468.75,460.31,0.0,0,3.0,3.0,0.0,0.0,0.0
0.0,488.43,0.0,57156,171,495.92,0.0,,3920.7930104100583,3920.7930104100583,1680699587.0,,3.0,,534.91,57,8,3.0,3,,0.0,0.0,0.0,0.0,0.5,,471.4,0.0,0,,0.0,521.1,479.97,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,,468.75,460.31,0.0,0,3.0,3.0,0.0,0.0,0.0
