04_peers/peer_2_epoch_oos,03_hivemind/total_training_samples,_step,04_peers/peer_1_epoch,03_hivemind/epoch_s,04_peers/peer_2_epoch,03_hivemind/overshot_TBS,_runtime,03_hivemind/num_peers,03_hivemind/global_epoch,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/estimated_current_samples,04_peers/peer_1_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/optimistic_total_samples_per_second
0.0,,92,3.0,,3.0,,159,2,3,0.0,365.53,0.0,16204,0.0,,0.5,366.72,,,732.2527223882114,1680688347.0,0,0.0,0,,732.2527223882114
0.0,,93,3.0,,3.0,,160,2,3,0.0,365.53,0.0,16955,0.0,,0.5,366.72,,,732.2527223882114,1680688348.0,0,0.0,0,,732.2527223882114
0.0,,94,3.0,,3.0,,161,2,3,0.0,365.53,0.0,17701,0.0,,0.5,366.72,,,732.2527223882114,1680688349.0,0,0.0,0,,732.2527223882114
0.0,,95,3.0,,3.0,,162,2,3,0.0,365.53,0.0,18451,0.0,,0.5,366.72,,,732.2527223882114,1680688350.0,0,0.0,0,,732.2527223882114
0.0,,96,3.0,,3.0,,163,2,3,0.0,365.53,0.0,19198,0.0,,0.5,366.72,,,732.2527223882114,1680688351.0,0,0.0,0,,732.2527223882114
0.0,,97,3.0,,3.0,,164,2,3,0.0,365.53,0.0,19947,0.0,,0.5,366.72,,,732.2527223882114,1680688352.0,0,0.0,0,,732.2527223882114
0.0,,98,3.0,,3.0,,165,2,3,0.0,365.53,0.0,20698,0.0,,0.5,366.72,,,732.2527223882114,1680688353.0,0,0.0,0,,732.2527223882114
0.0,,99,3.0,,3.0,,166,2,3,0.0,365.53,0.0,21447,0.0,,0.5,366.72,,,732.2527223882114,1680688354.0,0,0.0,0,,732.2527223882114
0.0,,100,3.0,,3.0,,167,2,3,0.0,365.53,0.0,22202,0.0,,0.5,366.72,,,732.2527223882114,1680688355.0,0,0.0,0,,732.2527223882114
0.0,,101,3.0,,3.0,,168,2,3,0.0,365.53,0.0,22953,0.0,,0.5,366.72,,,732.2527223882114,1680688356.0,0,0.0,0,,732.2527223882114
0.0,,102,3.0,,3.0,,169,2,3,0.0,365.53,0.0,23701,0.0,,0.5,366.72,,,732.2527223882114,1680688357.0,0,0.0,0,,732.2527223882114
0.0,,103,3.0,,3.0,,170,2,3,0.0,365.53,0.0,24449,0.0,,0.5,366.72,,,732.2527223882114,1680688358.0,0,0.0,0,,732.2527223882114
0.0,,104,3.0,,3.0,,171,2,3,0.0,365.53,0.0,25197,0.0,,0.5,366.72,,,732.2527223882114,1680688359.0,0,0.0,0,,732.2527223882114
0.0,,105,3.0,,3.0,,172,2,3,0.0,365.53,0.0,25946,0.0,,0.5,366.72,,,732.2527223882114,1680688360.0,0,0.0,0,,732.2527223882114
0.0,,106,3.0,,3.0,,173,2,3,0.0,365.53,0.0,26696,0.0,,0.5,366.72,,,732.2527223882114,1680688361.0,0,0.0,0,,732.2527223882114
0.0,,107,3.0,,3.0,,174,2,3,0.0,365.53,0.0,27443,0.0,,0.5,366.72,,,732.2527223882114,1680688362.0,0,0.0,0,,732.2527223882114
0.0,,108,3.0,,3.0,,175,2,3,0.0,365.53,0.0,28192,0.0,,0.5,366.72,,,732.2527223882114,1680688363.0,0,0.0,0,,732.2527223882114
0.0,,109,3.0,,3.0,,176,2,3,0.0,365.53,0.0,28938,0.0,,0.5,366.72,,,732.2527223882114,1680688364.0,0,0.0,0,,732.2527223882114
0.0,,110,3.0,,3.0,,177,2,3,0.0,365.53,0.0,29684,0.0,,0.5,366.72,,,732.2527223882114,1680688365.0,0,0.0,0,,732.2527223882114
0.0,,111,3.0,,3.0,,178,2,3,0.0,365.53,0.0,30429,0.0,,0.5,366.72,,,732.2527223882114,1680688366.0,0,0.0,0,,732.2527223882114
0.0,,112,3.0,,3.0,,179,2,3,0.0,365.53,0.0,31175,0.0,,0.5,366.72,,,732.2527223882114,1680688367.0,0,0.0,0,,732.2527223882114
0.0,,113,3.0,,3.0,,180,2,3,0.0,365.53,0.0,31925,0.0,,0.5,366.72,,,732.2527223882114,1680688368.0,0,0.0,0,,732.2527223882114
0.0,,114,3.0,,3.0,,181,2,3,0.0,365.53,0.0,32673,0.0,,0.5,366.72,,,732.2527223882114,1680688369.0,0,0.0,0,,732.2527223882114
0.0,,115,3.0,,3.0,,182,2,3,0.0,365.53,0.0,33418,0.0,,0.5,366.72,,,732.2527223882114,1680688370.0,0,0.0,0,,732.2527223882114
0.0,,116,3.0,,3.0,,183,2,3,0.0,365.53,0.0,34162,0.0,,0.5,366.72,,,732.2527223882114,1680688371.0,0,0.0,0,,732.2527223882114
0.0,,117,3.0,,3.0,,184,2,3,0.0,365.53,0.0,34907,0.0,,0.5,366.72,,,732.2527223882114,1680688372.0,0,0.0,0,,732.2527223882114
