_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,02_timing/dataload_cuda_move_time_s,01_general/dataset_iteration_count,01_general/step
34,30,,,1681392655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0010221349075436592,0.024826607666909695,0.008460627403110266,192.0,12.655172348022461,0.04488929966464639,0.08193653682246804,0.0,0.0001,0.0010181348770856857,0.00171973230317235,0.0,5.0
35,30,,,1681392655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0014928770251572132,0.03184698009863496,0.0074773128144443035,224.0,12.71875,0.04649755917489529,0.08896792028099298,0.0,0.0001,0.0011569489724934101,0.0004962421953678131,0.0,6.0
36,30,,,1681392655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0011325078085064888,0.027655817102640867,0.009119723923504353,256.0,12.504523277282715,0.04649150790646672,0.08742917189374566,0.0,0.0001,0.0012917723506689072,0.0017378428019583225,0.0,7.0
37,30,,,1681392655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0012585106305778027,0.028549619019031525,0.008905308321118355,288.0,12.611979484558105,0.04869033209979534,0.09060416836291552,0.0,0.0001,0.0012660911306738853,0.001934307161718607,0.0,8.0
38,30,,,1681392655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0011484390124678612,0.027793570887297392,0.0077318488620221615,320.0,12.574424743652344,0.05702489707618952,0.09689405374228954,0.0,0.0001,0.0011991197243332863,0.0019961781799793243,0.0,9.0
39,30,,,1681392655.0,2.796875,0.0,0.22400000000016007,11668.271104,0.03671118786928568,49225.0,0.2141087614319704,5096.042496,253.0,12408.152064,0.0,0.0,0.0,14.84375,118325.0,61.0622174681882,230107.267072,2.854912,716.0,0.125,12514.402304,0.0,1631274.0,9.9,4.90625,45687.300096,1421.0,,0.0012725112028419971,0.029115343000739813,,,,,,,,,0.001888546161353588,,
40,31,,,1681392656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.007269748020917177,352.0,12.776269912719727,0.04017341276630759,0.08097305241972208,0.0,0.0001,0.0012534912675619125,,0.0,10.0
41,31,,,1681392656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0010183453559875488,0.026797366328537464,0.008937608916312456,384.0,12.689040184020996,0.04068090673536062,0.08075126819312572,0.0,0.0001,0.00127811124548316,0.0020389296114444733,0.0,11.0
42,31,,,1681392656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0008978522382676601,0.0260163270868361,0.00783819193020463,416.0,12.519486427307129,0.04057323420420289,0.07863549748435616,0.0,0.0001,0.001355303917080164,0.001954588107764721,0.0,12.0
43,31,,,1681392656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0009191217832267284,0.02588886395096779,0.005251649301499128,448.0,12.507291793823242,0.043386853300035,0.07887579128146172,0.0,0.0001,0.0014130640774965286,0.0020162388682365417,0.0,13.0
44,31,,,1681392656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.001333463005721569,0.027599495835602283,0.005236578173935413,480.0,12.619043350219727,0.04227769607678056,0.07966767204925418,0.0,0.0001,0.0014102947898209095,0.001810144167393446,0.0,14.0
45,31,,,1681392656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0013780342414975166,0.028075636830180883,0.008737213909626007,512.0,12.602898597717285,0.04182989476248622,0.08343187253922224,0.0,0.0001,0.001518486998975277,0.001892605796456337,0.0,15.0
46,31,,,1681392656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0013692728243768215,0.027935153804719448,0.005636068060994148,544.0,12.767724990844727,0.041903466917574406,0.08017283212393522,0.0,0.0001,0.0014159437268972397,0.0019129267893731594,0.0,16.0
47,31,,,1681392656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0012436308898031712,0.027420281898230314,0.0070328316651284695,576.0,12.726019859313965,0.042676625307649374,0.08171050064265728,0.0,0.0001,0.001364842988550663,0.001972287893295288,0.0,17.0
