03_hivemind/global_epoch,03_hivemind/overshot_TBS,03_hivemind/optimistic_total_samples_per_second,_timestamp,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/undershot_TBS,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,04_peers/peer_1_samples_accumulated,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_accumulated,03_hivemind/next_fetch_time_s,03_hivemind/num_peers,03_hivemind/num_clients,03_hivemind/reached_TBS,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,_step,04_peers/peer_1_epoch_oos,03_hivemind/estimated_current_samples,_runtime,03_hivemind/global_samples_accumulated,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,04_peers/peer_1_samples_per_second
1,,667.860291752681,1680693145.0,1.0,1.0,,0.0,,,352.0,46.57,384.0,10.0,2,0,,,667.860291752681,48,0.0,1666,103,1568,329.18,,240.18
1,,704.5568428746349,1680693146.0,1.0,1.0,,0.0,,,800.0,42.92,768.0,10.0,2,0,,,704.5568428746349,49,0.0,2529,104,2432,340.44,,327.42
1,,615.2577727463549,1680693148.0,1.0,1.0,,0.0,,,1216.0,48.0,1216.0,10.0,2,0,,,615.2577727463549,50,0.0,3235,106,3168,359.52,,345.03
1,,692.2238179696043,1680693149.0,1.0,1.0,,0.0,,,1504.0,41.4,1664.0,10.0,2,0,,,692.2238179696043,51,0.0,4111,107,4000,364.96,,250.3
1,,722.1125497553652,1680693150.0,1.0,1.0,,0.0,,,1920.0,38.47,2080.0,10.0,2,0,,,722.1125497553652,52,0.0,4986,108,4896,366.14,,326.09
1,,728.305189369617,1680693151.0,1.0,1.0,,0.0,,,2368.0,36.95,2528.0,10.0,2,0,,,728.305189369617,53,0.0,5857,109,5760,367.55,,354.57
1,,729.5806004373447,1680693152.0,1.0,1.0,,0.0,,,2784.0,35.7,2976.0,10.0,2,0,,,729.5806004373447,54,0.0,6723,110,6624,367.21,,361.1
1,,588.782456169241,1680693154.0,1.0,1.0,,0.0,,,3232.0,43.17,3392.0,10.0,2,0,,,588.782456169241,55,0.0,7351,112,7264,366.45,,363.13
1,,680.1352703754652,1680693155.0,1.0,1.0,,0.0,,,3648.0,36.08,3616.0,10.0,2,0,,,680.1352703754652,56,0.0,8227,113,8128,225.26,,363.52
1,,717.0187543015667,1680693156.0,1.0,1.0,,0.0,,,4096.0,33.01,4032.0,10.0,2,0,,,717.0187543015667,57,0.0,9102,114,8992,316.18,,363.96
1,,725.5927217259958,1680693157.0,1.0,1.0,,0.0,,,4512.0,31.42,4480.0,10.0,2,0,,,725.5927217259958,58,0.0,9969,115,9888,352.75,,364.27
1,,634.2317746486988,1680693158.0,1.0,1.0,,0.0,,,4960.0,34.85,4928.0,10.0,2,0,,,634.2317746486988,59,0.0,10668,116,10560,362.26,,363.34
1,,702.1773375578696,1680693160.0,1.0,1.0,,0.0,,,5376.0,30.22,5184.0,10.0,2,0,,,702.1773375578696,60,0.0,11548,118,11456,270.93,,363.31
1,,714.1618768025803,1680693161.0,1.0,1.0,,0.0,,,5824.0,28.53,5632.0,10.0,2,0,,,714.1618768025803,61,0.0,12393,119,12320,338.89,,363.29
1,,724.8570822339146,1680693162.0,1.0,1.0,,0.0,,,6240.0,26.9,6080.0,10.0,2,0,,,724.8570822339146,62,0.0,13267,120,13152,359.15,,355.01
