03_hivemind/epoch_based_sps,04_peers/peer_1_samples_accumulated,03_hivemind/num_peers,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/global_epoch,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/next_fetch_time_s,03_hivemind/epoch_s,03_hivemind/num_clients,03_hivemind/global_samples_accumulated,04_peers/peer_1_epoch,03_hivemind/eta_next_epoch_s,03_hivemind/total_training_samples,03_hivemind/estimated_current_samples,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,_step,_timestamp,03_hivemind/overshot_TBS,04_peers/peer_2_samples_accumulated,04_peers/peer_1_samples_per_second,_runtime,03_hivemind/reached_TBS
,7520.0,2,1.0,0.0,236.63,1,,0.0,0.71,,0,15584,1.0,1.77,,15634,,422.3202120342743,422.3202120342743,61,1680689140.0,,7616.0,235.39,113,
,7680.0,2,1.0,0.0,236.86,1,,0.0,0.5,,0,16128,1.0,0.49,,16173,,434.7085276946474,434.7085276946474,62,1680689142.0,,7904.0,185.46,115,
,7936.0,2,1.0,0.0,236.61,1,,0.0,0.5,,0,16448,1.0,0.0,,16721,,447.95151456437,447.95151456437,63,1680689143.0,,8192.0,198.1,116,
,8096.0,2,1.0,0.0,236.03,1,,0.0,0.5,,0,16448,1.0,0.0,,17255,,447.95151456437,447.95151456437,64,1680689144.0,,8352.0,211.93,117,
,8096.0,2,1.0,0.0,236.03,1,,0.0,0.5,,0,16448,1.0,0.0,,17786,,447.95151456437,447.95151456437,65,1680689145.0,,8352.0,211.93,118,
,8096.0,2,1.0,0.0,236.03,2,,0.0,10.0,,0,64,1.0,36.95,,105,,440.5542197874237,440.5542197874237,66,1680689146.0,,8352.0,211.93,119,
432.5495694464648,32.0,2,2.0,0.0,230.71,2,0.0,0.0,10.0,38.02569962339476,0,576,2.0,34.03,32864.0,679,16448.0,461.5590570412951,461.5590570412951,67,1680689147.0,2.0,32.0,209.84,120,0.0
,256.0,2,2.0,0.0,236.97,2,,0.0,10.0,,0,1024,2.0,36.18,,1104,,422.3193591634838,422.3193591634838,68,1680689149.0,,320.0,224.59,122,
,448.0,2,2.0,0.0,237.25,2,,0.0,10.0,,0,1600,2.0,33.28,,1654,,442.6812448600125,442.6812448600125,69,1680689150.0,,576.0,185.07,123,
,736.0,2,2.0,0.0,228.73,2,,0.0,10.0,,0,2176,2.0,30.61,,2221,,462.7345947424959,462.7345947424959,70,1680689151.0,,864.0,213.95,124,
,1024.0,2,2.0,0.0,234.51,2,,0.0,10.0,,0,2624,2.0,28.95,,2786,,469.76353994745716,469.76353994745716,71,1680689152.0,,1152.0,228.23,125,
,1280.0,2,2.0,0.0,236.47,2,,0.0,10.0,,0,3168,2.0,29.68,,3247,,442.6185295521103,442.6185295521103,72,1680689153.0,,1344.0,233.3,126,
,1568.0,2,2.0,0.0,206.75,2,,0.0,10.0,,0,3744,2.0,27.24,,3814,,461.47324789654283,461.47324789654283,73,1680689155.0,,1600.0,235.87,128,
,1856.0,2,2.0,0.0,224.79,2,,0.0,10.0,,0,4288,2.0,25.56,,4381,,469.6570365411911,469.6570365411911,74,1680689156.0,,1888.0,236.68,129,
,2144.0,2,2.0,0.0,232.46,2,,0.0,10.0,,0,4800,2.0,25.9,,4862,,444.93585681859594,444.93585681859594,75,1680689157.0,,2144.0,237.2,130,
,2432.0,2,2.0,0.0,207.59,2,,0.0,9.47,,0,5376,2.0,23.68,,5448,,461.8344071830805,461.8344071830805,76,1680689158.0,,2368.0,237.35,131,
,2720.0,2,2.0,0.0,224.6,2,,0.0,8.93,,0,5920,2.0,22.32,,6001,,465.1979199431382,465.1979199431382,77,1680689159.0,,2656.0,237.24,132,
,2976.0,2,2.0,0.0,232.26,2,,0.0,8.34,,0,6496,2.0,20.84,,6566,,470.99374900984634,470.99374900984634,78,1680689161.0,,2944.0,232.93,134,
,3264.0,2,2.0,0.0,235.5,2,,0.0,7.82,,0,7072,2.0,19.55,,7131,,473.22962297255594,473.22962297255594,79,1680689162.0,,3232.0,235.49,135,
,3552.0,2,2.0,0.0,236.59,2,,0.0,7.32,,0,7616,2.0,18.29,,7699,,474.8711879814633,474.8711879814633,80,1680689163.0,,3520.0,236.64,136,
,3840.0,2,2.0,0.0,237.68,2,,0.0,6.84,,0,8192,2.0,17.09,,8262,,475.20898565474886,475.20898565474886,81,1680689164.0,,3776.0,237.2,137,
,4128.0,2,2.0,0.0,238.12,2,,0.0,6.37,,0,8736,2.0,15.93,,8826,,474.3391691327324,474.3391691327324,82,1680689165.0,,4064.0,237.09,138,
,4384.0,2,2.0,0.0,237.55,2,,0.0,5.91,,0,9312,2.0,14.77,,9387,,473.67784859526887,473.67784859526887,83,1680689167.0,,4352.0,236.79,140,
,4672.0,2,2.0,0.0,237.74,2,,0.0,5.54,,0,9856,2.0,13.84,,9926,,466.56734550928905,466.56734550928905,84,1680689168.0,,4640.0,235.94,141,
,4960.0,2,2.0,0.0,230.19,2,,0.0,4.99,,0,10432,2.0,12.47,,10492,,472.3546939572525,472.3546939572525,85,1680689169.0,,4896.0,236.38,142,
,5248.0,2,2.0,0.0,234.99,2,,0.0,4.49,,0,10976,2.0,11.23,,11057,,474.2998741605402,474.2998741605402,86,1680689170.0,,5184.0,237.37,143,
,5504.0,2,2.0,0.0,236.92,2,,0.0,4.02,,0,11552,2.0,10.04,,11620,,474.3671138774914,474.3671138774914,87,1680689171.0,,5472.0,237.38,144,
,5792.0,2,2.0,0.0,237.68,2,,0.0,3.54,,0,12096,2.0,8.85,,12182,,474.5662675337831,474.5662675337831,88,1680689172.0,,5760.0,236.69,145,
,6080.0,2,2.0,0.0,237.69,2,,0.0,3.06,,0,12672,2.0,7.65,,12747,,475.13319756569985,475.13319756569985,89,1680689174.0,,6016.0,236.87,147,
,6368.0,2,2.0,0.0,238.23,2,,0.0,2.6,,0,13216,2.0,6.49,,13308,,473.9841614992099,473.9841614992099,90,1680689175.0,,6304.0,236.9,148,
,6624.0,2,2.0,0.0,238.15,2,,0.0,2.12,,0,13792,2.0,5.31,,13869,,473.85673516141964,473.85673516141964,91,1680689176.0,,6592.0,235.83,149,
,6912.0,2,2.0,0.0,237.95,2,,0.0,1.64,,0,14368,2.0,4.11,,14434,,474.7495805775328,474.7495805775328,92,1680689177.0,,6880.0,235.91,150,
,7200.0,2,2.0,0.0,238.25,2,,0.0,1.17,,0,14944,2.0,2.92,,14999,,474.4807520402582,474.4807520402582,93,1680689178.0,,7168.0,236.5,151,
,7488.0,2,2.0,0.0,238.15,2,,0.0,0.7,,0,15488,2.0,1.75,,15558,,472.7341108136868,472.7341108136868,94,1680689180.0,,7456.0,236.33,153,
,7776.0,2,2.0,0.0,237.62,2,,0.0,0.5,,0,16032,2.0,0.56,,16121,,472.94900552923843,472.94900552923843,95,1680689181.0,,7712.0,235.12,154,
