memory/used_memory_sys_MB,memory/total_memory_sys_MB,cpu/interrupts/ctx_switches_count,01_general/dataset_iteration_count,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/resident_set_size_proc_MB,01_general/lr,03_hivemind/global_epoch,process/memory/virtual_memory_size_proc_MB,memory/used_memory_sys_percent,disk/counter/disk_read_sys_count,bandwidth/disk_read_sys_bandwidth_MBs,01_general/minibatch_loss,memory/available_memory_sys_MB,disk/time/disk_busy_time_sys_s,process/memory/shared_memory_proc_MB,process/involuntary_proc_ctx_switches,process/memory/data_resident_set_proc_MB,process/memory/text_resident_set_proc_MB,01_general/step,02_timing/forward_time_s,disk/time/disk_read_time_sys_s,disk/time/disk_write_time_sys_s,process/memory/dirty_pages_proc_count,bandwidth/disk_write_sys_bandwidth_MBs,_runtime,02_timing/backward_time_s,cpu/logical_core_count,cpu/interrupts/interrupts_count,disk/counter/disk_write_sys_count,process/memory/lib_memory_proc_MB,cpu/interrupts/soft_interrupts_count,bandwidth/net_sent_sys_bandwidth_Mbits,_timestamp,02_timing/step_time_s,02_timing/opt_step_time_s,process/voluntary_proc_ctx_switches,_step,02_timing/dataload_time_s,cpu/load/avg_sys_load_five_min_percent,02_timing/loss_calc_time_s,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_one_min_percent,cpu/load/avg_sys_load_fifteen_min_percent,03_hivemind/num_peers,01_general/locally_processed_samples
,,,0.0,,,0.0001,2.0,,,,,7.039794921875,,,,,,,278.0,0.018250465000164695,,,,,270,0.14316527500022858,,,,,,,1681395607.0,0.20822821699994165,0.039948421999724815,,547,0.0032372000000577827,,0.0005182800000511634,0.0031085749997146195,,,9.0,8905.0
10093.441024,,3139991.0,,87.31355018097365,6782.083072,,,34595.34848,6.4,2.0,0.0,,197536.960512,2.7239999999999895,2453.577728,4170.0,0.0,2.719744,,0.01809671899991372,0.0009999999999998899,0.8600000000000136,0.0,0.11031720014796187,270,0.14331454800003485,,3975382.0,1393.0,7220.600832,1241175.0,2.5699582409299757,1681395607.0,,,6118.0,548,,2.0,0.00046860100019330275,0.0031543629997941025,3.6000000000000005,1.6,,
,,,0.0,,,0.0001,2.0,,,,,7.1417236328125,,,,,,,279.0,,,,,,270,,,,,,,,1681395607.0,0.2078494390002561,0.03995442700033891,,549,0.002860780999981216,,,,,,9.0,8937.0
,,,0.0,,,0.0001,2.0,,,,,7.24951171875,,,,,,,280.0,0.018088726999849314,,,,,270,0.1434961539998767,,,,,,,1681395607.0,0.20843198799957463,0.040265498000280786,,550,0.00297486099998423,,0.0004767389996231941,0.0031300089999604097,,,9.0,8969.0
,,,0.0,,,0.0001,2.0,,,,,7.226806640625,,,,,,,281.0,0.018629193999913696,,,,,271,0.14322022499982268,,,,,,,1681395608.0,0.20898845300052926,0.04017611200015381,,551,0.0031820990002415783,,0.0005420740003501123,0.0032387490000473917,,,9.0,9001.0
10093.887488,,3146224.0,,87.8291912646712,6782.083072,,,34595.34848,6.4,2.0,0.0,,197555.433472,2.739999999999995,2453.577728,4173.0,0.0,2.719744,,0.019086018999587395,0.0009999999999998899,0.86099999999999,0.0,0.01634623957404436,271,,,3979223.0,1397.0,7220.600832,1245150.0,2.2221467574008655,1681395608.0,,,6164.0,552,,2.0,0.0005325439997250214,0.003250458000366052,3.6000000000000005,1.6,,
,,,0.0,,,0.0001,2.0,,,,,7.2862548828125,,,,,,,282.0,,,,,,271,0.14383055899997998,,,,,,,1681395608.0,0.20979028599913363,0.040078235999772005,,553,0.003012469999703171,,,,,,9.0,9033.0
,,,0.0,,,0.0001,2.0,,,,,7.2647705078125,,,,,,,283.0,0.018420702000184974,,,,,271,0.14338790000010704,,,,,,,1681395608.0,0.2091174170004706,0.040357679999942775,,554,0.003380008000021917,,0.00048116000016307225,0.0030899670000508195,,,9.0,9065.0
,,,0.0,,,0.0001,2.0,,,,,7.2698974609375,,,,,,,284.0,0.018204633000095782,,,,,272,0.1438368780000019,,,,,,,1681395609.0,0.20881354899984217,0.04002960499974506,,555,0.003081189000113227,,0.0004735689999506576,0.0031876749999355525,,,9.0,9097.0
10096.123904,,3152580.0,,99.6337087634844,6782.083072,,,34595.34848,6.4,2.0,0.0,,197553.553408,2.759999999999991,2453.577728,4276.0,0.0,2.719744,,0.018870192000122188,0.0009999999999998899,0.8619999999999663,0.0,0.016345061507345795,272,,,3983195.0,1401.0,7220.600832,1249295.0,2.2779014045949455,1681395609.0,,,6234.0,556,,2.0,0.0005244579997452092,0.0031607640003130655,3.6000000000000005,1.6,,
,,,0.0,,,0.0001,2.0,,,,,7.0628662109375,,,,,,,285.0,,,,,,272,0.14269942900000387,,,,,,,1681395609.0,0.20855134700013878,0.04018872899996495,,557,0.0031077749999894877,,,,,,9.0,9129.0
,,,0.0,,,0.0001,2.0,,,,,6.8931884765625,,,,,,,286.0,0.018687885999952414,,,,,272,0.14328005400011534,,,,,,,1681395609.0,0.20959548400014683,0.0401909520001027,,558,0.00352539200002866,,0.0005960849998700724,0.0033151150000776397,,,9.0,9161.0
,,,0.0,,,0.0001,2.0,,,,,7.14306640625,,,,,,,287.0,0.018440100000134407,,,,,273,0.14319874500006335,,,,,,,1681395610.0,0.20857531999990897,0.040094584000144096,,559,0.003154116999667167,,0.0005120209998494829,0.003175753000050463,,,9.0,9193.0
10099.007488,,3158965.0,,111.94224959696231,6782.083072,,,34595.34848,6.4,2.0,0.0,,197550.309376,2.7759999999999962,2453.577728,4565.0,0.0,2.719744,,0.018362754999998288,0.0009999999999998899,0.8639999999999759,0.0,0.01634630956311716,273,,,3987889.0,1405.0,7220.600832,1254685.0,2.157106260693121,1681395610.0,,,6281.0,560,,2.0666666666666664,0.0005237929999566404,0.003104308999809291,3.833333333333333,1.633333333333333,,
