_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,01_general/step_based_sps,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
35,14,,,1682877617.0,3.6333333333333337,0.0,0.16799999999999216,4920.881152,0.0940028850644458,33533.0,0.16242159496948075,868.380672,140.0,3838.357504,0.0,0.0,0.0,2.833333333333333,53269.0,97.26104772898782,204123.037696,2.719744,463.0,0.053999999999973625,5581.9264,0.0,57519.0,3.3,4.066666666666666,27585.1264,110.0,0.0023950500001319597,0.0004451959998732491,0.016611891000138712,1.413000063621439e-06,0.14208464199987247,,,,,,,,
36,14,,,1682877617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.71567815987382,704.0,6.9808349609375,0.16519055300000218,0.0001,0.0036523609999221662,0.0,21.0
37,15,,,1682877618.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002421812999955364,0.0004310350000196195,0.01644312500002343,1.6680000953783747e-06,0.14282483600004525,194.18464090239738,736.0,7.45947265625,0.16479161200027193,0.0001,0.002669135000132883,0.0,22.0
38,15,,,1682877618.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024447579999105074,0.0004600179997851228,0.01667863300008321,1.3880001006327802e-06,0.14523508599995694,190.8451224975778,768.0,7.2930908203125,0.1676752309999756,0.0001,0.0028553480001392018,0.0,23.0
39,15,,,1682877618.0,3.6333333333333337,0.0,0.19199999999999307,4918.493184,0.016348335617709975,35076.0,0.0794746237241957,868.352,144.0,3838.328832,0.0,0.0,0.0,2.833333333333333,56759.0,86.03167931074104,204125.85984,2.719744,487.0,0.05500000000000682,5581.9264,0.0,60231.0,3.3,4.066666666666666,27585.1264,112.0,0.002344794999999067,0.00043071599998256715,0.016481307000049128,1.371000053040916e-06,0.14413439700001618,,,,,,,,
40,15,,,1682877618.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.56257387019232,800.0,7.2724609375,0.16617974800010415,0.0001,0.002787162000004173,0.0,24.0
41,16,,,1682877619.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00239125400003104,0.0004092149999905814,0.016461245000073177,1.6020001112337923e-06,0.14252758199995696,194.52441728207063,832.0,7.177001953125,0.16450377000023764,0.0001,0.00271287200007464,0.0,25.0
42,16,,,1682877619.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024187980000078824,0.00042003099997600657,0.01655225599984078,1.4409999948838959e-06,0.14384529900007692,192.63447632211748,864.0,7.349853515625,0.16611771999987468,0.0001,0.0028798949999782053,0.0,26.0
43,16,,,1682877619.0,3.6333333333333337,0.0,0.2120000000000033,4922.12224,0.01634826949325638,36692.0,0.1397026682072928,868.380672,148.0,3838.3616,0.0,0.0,0.0,2.833333333333333,59361.0,62.41547379438551,204122.198016,2.719744,509.0,0.055999999999983174,5581.9264,0.0,62499.0,3.3,4.066666666666666,27585.1264,113.0,0.0023953630000050907,0.0004446810000899859,0.016624686000113797,1.4700001429446274e-06,0.1439353589998973,,,,,,,,
44,16,,,1682877619.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.60429713768207,896.0,7.14208984375,0.16614374900018447,0.0001,0.0027421899999353627,0.0,27.0
45,17,,,1682877620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024342659999092575,0.00041449800005466386,0.016428917999974146,1.6530000266357092e-06,0.1427402809999876,194.28535964565447,928.0,7.3961181640625,0.16470618299990747,0.0001,0.0026865669999551756,0.0,28.0
46,17,,,1682877620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024588090000179363,0.00040890400009629957,0.01658474800001386,1.4500001270789653e-06,0.1433446759999697,193.12675517874388,960.0,7.0576171875,0.16569428700017852,0.0001,0.0028956999999536492,0.0,29.0
47,17,,,1682877620.0,3.6333333333333337,0.0,0.22799999999999443,4927.049728,0.016347141701349214,38354.0,0.10074085712106293,868.352,152.0,3838.332928,0.0,0.0,0.0,2.833333333333333,64176.0,115.85710215297652,204117.282816,2.719744,530.0,0.05700000000001637,5581.9264,0.0,65913.0,3.3,4.066666666666666,27585.1264,114.0,0.0023779020000347373,0.00040665200003786595,0.016516548000026887,1.4600000213249587e-06,0.143027333000191,,,,,,,,
48,17,,,1682877620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.8060729794914,992.0,7.1239013671875,0.16511350500036315,0.0001,0.0027836100000513397,0.0,30.0
49,18,,,1682877621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024752310000621947,0.0004571950000809011,0.017248279000114053,1.494000116508687e-06,0.1419815760000347,194.17804228340617,1024.0,7.113037109375,0.1647972120003942,0.0001,0.002633436999985861,0.0,31.0
50,18,,,1682877621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002472468999940247,0.0004206800001611555,0.016533026999923095,1.5960001746861963e-06,0.1446934709999823,191.4647136752321,1056.0,7.322021484375,0.16713262400025997,0.0001,0.0030113810000784724,0.0,32.0
