disk/time/disk_write_time_sys_s,01_general/dataset_iteration_count,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/disk_write_sys_bandwidth_MBs,cpu/logical_core_count,02_timing/backward_time_s,02_timing/opt_step_time_s,memory/available_memory_sys_MB,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/load/avg_sys_load_five_min_percent,_timestamp,02_timing/forward_time_s,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_fifteen_min_percent,cpu/interrupts/interrupts_count,cpu/interrupts/ctx_switches_count,disk/counter/disk_write_sys_count,01_general/locally_processed_samples,cpu/load/avg_sys_load_one_min_percent,process/memory/resident_set_size_proc_MB,process/memory/text_resident_set_proc_MB,03_hivemind/global_epoch,memory/used_memory_sys_MB,disk/counter/disk_read_sys_count,process/memory/lib_memory_proc_MB,01_general/minibatch_loss,memory/total_memory_sys_MB,memory/used_memory_sys_percent,bandwidth/net_recv_sys_bandwidth_Mbits,02_timing/dataload_time_s,disk/time/disk_busy_time_sys_s,disk/time/disk_read_time_sys_s,process/memory/dirty_pages_proc_count,process/involuntary_proc_ctx_switches,process/memory/data_resident_set_proc_MB,01_general/step,02_timing/loss_calc_time_s,process/voluntary_proc_ctx_switches,cpu/interrupts/soft_interrupts_count,03_hivemind/num_peers,process/memory/shared_memory_proc_MB,process/memory/virtual_memory_size_proc_MB,_step,_runtime,01_general/lr,02_timing/step_time_s
,0.0,,,,0.14630214399949182,0.040081146999909834,,,,1681398915.0,0.01642228899982001,0.0031488630002058926,,,,,17470.0,,,,2.0,,,,7.2159423828125,,,,0.0028040610004609334,,,,,,545.0,0.00038310499985527713,,,3.0,,,873,328,0.0001,0.20914160899974377
0.8390000000000555,,0.0,0.01634678394929734,,,,198276.431872,0.324900312770455,3.4666666666666663,1681398915.0,0.01676993000000948,0.00315374999991036,2.666666666666667,3743848.0,2822875.0,1648.0,,4.133333333333333,6285.815808,2.719744,,9376.309248,421.0,6731.743232,,,6.1,94.68700597456602,,4.343999999999994,0.04899999999999949,0.0,4230.0,0.0,,0.0003922949999832781,10561.0,1337910.0,,2454.28224,34173.812736,874,328,,
,0.0,,,,0.14517773099942133,0.04021718599960877,,,,1681398915.0,,,,,,,17502.0,,,,2.0,,,,7.17333984375,,,,0.0028664049996223184,,,,,,546.0,,,,3.0,,,875,328,0.0001,0.20857729699855554
,0.0,,,,0.14343037900016498,0.04002772300009383,,,,1681398916.0,0.016662504999658267,0.003151515000354266,,,,,17534.0,,,,2.0,,,,7.2447509765625,,,,0.002953181000520999,,,,,,547.0,0.0003954249996240833,,,3.0,,,876,329,0.0001,0.20662072800041642
,0.0,,,,0.1442874539998229,0.040193654999711725,,,,1681398916.0,0.016664920000039274,0.0032300920001944178,,,,,17566.0,,,,2.0,,,,7.1917724609375,,,,0.00272083600066253,,,,,,548.0,0.00038890800078661414,,,3.0,,,877,329,0.0001,0.20748586500121746
0.8410000000000082,,0.0,0.016347483906357103,,,,198290.939904,0.32438740168698155,3.5000000000000004,1681398916.0,0.016405225000198698,0.0031437369998457143,2.7,3746802.0,2827408.0,1652.0,,4.333333333333334,6285.754368,2.719744,,9377.337344,421.0,6731.743232,,,6.1,83.79838389063266,,4.359999999999985,0.04899999999999949,0.0,4341.0,0.0,,0.0003822170001512859,10621.0,1341436.0,,2454.2208,34173.812736,878,329,,
,0.0,,,,0.14717009300056816,0.04011893999995664,,,,1681398916.0,,,,,,,17598.0,,,,2.0,,,,7.123779296875,,,,0.0029452980006681173,,,,,,549.0,,,,3.0,,,879,329,0.0001,0.2101655100013886
,0.0,,,,0.1440218340003412,0.04007653400003619,,,,1681398917.0,0.01690894599960302,0.003096108000136155,,,,,17630.0,,,,2.0,,,,7.1392822265625,,,,0.0029921929999545682,,,,,,550.0,0.0004134270002396079,,,3.0,,,880,330,0.0001,0.20750904200031073
,0.0,,,,0.14278498699968623,0.039945129999978235,,,,1681398917.0,0.01681163299963373,0.0032136270001501543,,,,,17662.0,,,,2.0,,,,7.15087890625,,,,0.0028286679998927866,,,,,,551.0,0.0003954799994971836,,,3.0,,,881,330,0.0001,0.20597952499883831
0.8470000000000937,,0.0,0.1512124635788372,,,,198288.736256,1.4365742785012714,3.5000000000000004,1681398917.0,0.016931684000155656,0.003148834000057832,2.7,3750539.0,2832243.0,1669.0,,4.333333333333334,6285.815808,2.719744,,9379.549184,421.0,6731.743232,,,6.1,121.17401669080493,,4.3799999999999955,0.04899999999999949,0.0,4480.0,0.0,,0.00039820599977247184,10662.0,1346162.0,,2454.28224,34173.812736,882,330,,
,0.0,,,,0.1460666039993157,0.04017025699977239,,,,1681398917.0,,,,,,,17694.0,,,,2.0,,,,7.27880859375,,,,0.0028453060003812425,,,,,,552.0,,,,3.0,,,883,330,0.0001,0.2095608909994553
,0.0,,,,0.14611772199987172,0.04053481400023884,,,,1681398918.0,0.016527553000742046,0.0031496530000367784,,,,,17726.0,,,,2.0,,,,6.92041015625,,,,0.002855783000086376,,,,,,553.0,0.000391545000638871,,,3.0,,,884,331,0.0001,0.20957707000161463
