cpu/load/avg_sys_load_one_min_percent,03_hivemind/num_peers,02_timing/backward_time_s,02_timing/dataload_time_s,disk/time/disk_write_time_sys_s,cpu/interrupts/ctx_switches_count,02_timing/dataload_cuda_move_time_s,01_general/locally_processed_samples,01_general/step,02_timing/step_time_s,memory/used_memory_sys_MB,01_general/dataset_iteration_count,process/memory/shared_memory_proc_MB,process/involuntary_proc_ctx_switches,process/memory/data_resident_set_proc_MB,02_timing/loss_calc_time_s,memory/used_memory_sys_percent,cpu/interrupts/interrupts_count,cpu/load/avg_sys_load_fifteen_min_percent,_step,memory/available_memory_sys_MB,disk/counter/disk_read_sys_count,process/voluntary_proc_ctx_switches,_timestamp,disk/time/disk_read_time_sys_s,process/memory/lib_memory_proc_MB,bandwidth/net_recv_sys_bandwidth_Mbits,cpu/load/avg_sys_load_five_min_percent,01_general/lr,02_timing/opt_step_time_s,disk/time/disk_busy_time_sys_s,disk/counter/disk_write_sys_count,cpu/interrupts/soft_interrupts_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/text_resident_set_proc_MB,03_hivemind/global_epoch,01_general/minibatch_loss,memory/total_memory_sys_MB,process/memory/virtual_memory_size_proc_MB,_runtime,cpu/logical_core_count,02_timing/forward_time_s,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/dirty_pages_proc_count,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/resident_set_size_proc_MB
,6.0,0.11777955000070506,0.001269895999939763,,,0.00804186799996387,4768.0,148.0,0.1749807910009622,,0.0,,,,0.0010065000005852198,,,,212,,,,1681080427.0,,,,,0.0001,0.017244489000404428,,,,,,0.0,12.642708778381348,,,65,,0.02963848799936386,,,,
15.75,,0.11509028500040586,,0.4819999999999709,266158.0,0.008101678000457468,,,,10690.871296,,5078.839296,163.0,0.0,0.0011575779999475344,49.6,316588.0,7.75,213,15897.583616,0.0,4288.0,1681080427.0,0.0,7812.571136,26.36508857117946,11.125,,0.017277674999604642,1.1200000000000045,455.0,126055.0,1.7406670857252164,2.654208,,,,36859.43296,65,,0.031509350999840535,0.0,0.0,0.01634211904828469,11971.313664
,6.0,,0.0012368509997031651,,,,4800.0,149.0,0.1743734179999592,,0.0,,,,,,,,214,,,,1681080427.0,,,,,0.0001,,,,,,,0.0,12.667583465576172,,,65,,,,,,
,6.0,0.11555437700008042,0.0011749039995265775,,,0.00818888599951606,4832.0,150.0,0.17372073999831628,,0.0,,,,0.001029645999551576,,,,215,,,,1681080427.0,,,,,0.0001,0.017366528999446018,,,,,,0.0,12.617919921875,,,65,,0.030406398000195622,,,,
,6.0,0.1159247100003995,0.0011493780002638232,,,0.00808251700073015,4864.0,151.0,0.174534511001184,,0.0,,,,0.0010530939998716349,,,,216,,,,1681080427.0,,,,,0.0001,0.017499147999842535,,,,,,0.0,12.75321102142334,,,65,,0.030825664000076358,,,,
,6.0,0.11620463700000982,0.0012724580001304275,,,0.00818033799987461,4896.0,152.0,0.17445205399963015,,0.0,,,,0.0010007229993789224,,,,217,,,,1681080428.0,,,,,0.0001,0.01747827100007271,,,,,,0.0,12.58475399017334,,,66,,0.03031562700016366,,,,
15.75,,0.11491747999934887,,0.4859999999998763,272208.0,0.008191685999918263,,,,10690.113536,,5078.839296,164.0,0.0,0.0012372289993436425,49.6,322077.0,7.75,218,15898.333184,0.0,4382.0,1681080428.0,0.0,7812.571136,35.88768860492707,11.125,,,1.1399999999999864,460.0,128997.0,1.5477549283032956,2.654208,,,,36859.43296,66,,0.031907459000649396,0.0,0.0,0.020417141766637385,11971.313664
,6.0,,0.0013475939995259978,,,,4928.0,153.0,0.17598014599843737,,0.0,,,,,,,,219,,,,1681080428.0,,,,,0.0001,0.018378697999651195,,,,,,0.0,12.741659164428711,,,66,,,,,,
,6.0,0.11609078600031353,0.0012555289995361818,,,0.008151618000738381,4960.0,154.0,0.17427681900062453,,0.0,,,,0.0010516590000406723,,,,220,,,,1681080428.0,,,,,0.0001,0.017495606999546,,,,,,0.0,12.621138572692871,,,66,,0.030231620000449766,,,,
,6.0,0.11536410099961358,0.0014200570003595203,,,0.00766041499991843,4992.0,155.0,0.17478929100070673,,0.0,,,,0.0013242300001365948,,,,221,,,,1681080429.0,,,,,0.0001,0.01779240700034279,,,,,,0.0,12.628382682800293,,,67,,0.031228081000335806,,,,
,6.0,0.11249667300035071,0.0014203340006133658,,,0.008126282000375795,5024.0,156.0,0.17388263600150822,,0.0,,,,0.0010549549997449503,,,,222,,,,1681080429.0,,,,,0.0001,0.017072338000616583,,,,,,0.0,12.636266708374023,,,67,,0.03371205399980681,,,,
15.75,,,,0.49099999999998545,278540.0,0.007733401999757916,,,,10688.905216,,5078.839296,167.0,0.0,0.00106779199995799,49.6,327621.0,7.75,223,15899.942912,0.0,4475.0,1681080429.0,0.0,7812.571136,35.37285850499114,11.125,,,1.1639999999999873,467.0,131918.0,1.5377421693618658,2.654208,,,,36859.43296,67,,0.030286831999546848,0.0,0.0,0.05312163944148838,11971.313664
,6.0,0.1159339709993219,0.0010747659998742165,,,,5056.0,157.0,0.17325543599872617,,0.0,,,,,,,,224,,,,1681080429.0,,,,,0.0001,0.0171586730002673,,,,,,0.0,12.665698051452637,,,67,,,,,,
