03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,04_peers/peer_1_epoch,04_peers/peer_2_epoch_oos,03_hivemind/global_samples_accumulated,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,04_peers/peer_1_samples_accumulated,03_hivemind/num_clients,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_per_second,03_hivemind/estimated_current_samples,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,_timestamp,03_hivemind/num_peers,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/optimistic_total_samples_per_second,_step,_runtime,03_hivemind/actual_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_2_epoch,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_accumulated
,,1.0,0.0,25792,,0.0,12416.0,0,,543.49,511.44,25954,,,1683037541.0,2,1,2.56,1063.3404387032504,47,96,1063.3404387032504,,1.0,6.41,12128.0
,,1.0,0.0,27104,,0.0,13056.0,0,,543.68,519.66,27225,,,1683037542.0,2,1,2.06,1075.240203670578,48,97,1075.240203670578,,1.0,5.16,12736.0
,,1.0,0.0,28384,,0.0,13728.0,0,,540.74,534.5,28515,,,1683037544.0,2,1,1.57,1080.722087615467,49,99,1080.722087615467,,1.0,3.94,13376.0
,,1.0,0.0,29664,,0.0,14368.0,0,,542.5,538.22,29786,,,1683037545.0,2,1,1.11,1072.844124906267,50,100,1072.844124906267,,1.0,2.78,14016.0
,,1.0,0.0,30944,,0.0,15008.0,0,,540.11,532.73,31073,,,1683037546.0,2,1,0.63,1076.044971065557,51,101,1076.044971065557,,1.0,1.57,14656.0
,,1.0,0.0,32224,,0.0,15648.0,0,,536.78,539.26,32348,,,1683037547.0,2,1,0.5,1073.854736291371,52,102,1073.854736291371,,1.0,0.39,15296.0
,,1.0,0.0,32800,,0.0,16288.0,0,,534.67,539.19,33614,,,1683037548.0,2,1,0.5,1068.7654976616159,53,103,1068.7654976616159,,1.0,0.0,15936.0
,,1.0,0.0,224,,0.0,16576.0,0,,533.92,534.85,407,,,1683037549.0,2,2,10.0,1073.755372978968,54,104,1073.755372978968,,1.0,30.14,16224.0
2.0,0.0,2.0,0.0,1504,0.0,0.0,96.0,0,1021.8354210453354,537.23,536.52,1621,65600.0,32800.0,1683037551.0,2,2,10.0,1049.0948693560042,55,106,1049.0948693560042,32.09910257998854,2.0,29.69,128.0
,,2.0,0.0,2752,,0.0,736.0,0,,532.41,516.69,2879,,,1683037552.0,2,2,10.0,1062.9979175697727,56,107,1062.9979175697727,,2.0,28.12,768.0
,,2.0,0.0,4032,,0.0,1376.0,0,,535.86,527.14,4154,,,1683037553.0,2,2,10.0,1072.333357768515,57,108,1072.333357768515,,2.0,26.68,1376.0
,,2.0,0.0,5312,,0.0,2016.0,0,,535.65,536.69,5437,,,1683037554.0,2,2,10.0,1077.8562307923837,58,109,1077.8562307923837,,2.0,25.36,2016.0
,,2.0,0.0,6528,,0.0,2656.0,0,,538.8,539.05,6664,,,1683037555.0,2,2,10.0,1034.9318436640413,59,110,1034.9318436640413,,2.0,25.22,2656.0
,,2.0,0.0,7808,,0.0,3296.0,0,,537.81,497.12,7956,,,1683037557.0,2,2,9.28,1069.3301446665976,60,112,1069.3301446665976,,2.0,23.2,3232.0
,,2.0,0.0,9120,,0.0,3936.0,0,,538.23,531.1,9235,,,1683037558.0,2,2,8.77,1073.4608439244837,61,113,1073.4608439244837,,2.0,21.92,3872.0
,,2.0,0.0,10368,,0.0,4576.0,0,,536.32,537.14,10498,,,1683037559.0,2,2,8.34,1068.1722644670263,62,114,1068.1722644670263,,2.0,20.85,4544.0
,,2.0,0.0,11648,,0.0,5216.0,0,,539.47,528.7,11782,,,1683037560.0,2,2,7.82,1074.0823654324336,63,115,1074.0823654324336,,2.0,19.54,5152.0
,,2.0,0.0,12928,,0.0,5856.0,0,,538.19,535.89,13051,,,1683037561.0,2,2,7.34,1073.9489153705065,64,116,1073.9489153705065,,2.0,18.36,5792.0
,,2.0,0.0,14176,,0.0,6496.0,0,,541.69,532.26,14308,,,1683037563.0,2,2,6.94,1064.714069734735,65,118,1064.714069734735,,2.0,17.34,6432.0
,,2.0,0.0,15456,,0.0,7136.0,0,,533.37,531.34,15586,,,1683037564.0,2,2,6.38,1077.537241014915,66,119,1077.537241014915,,2.0,15.95,7040.0
,,2.0,0.0,16736,,0.0,7776.0,0,,545.38,532.16,16850,,,1683037565.0,2,2,5.97,1066.7682767368249,67,120,1066.7682767368249,,2.0,14.92,7680.0
,,2.0,0.0,17920,,0.0,8416.0,0,,536.46,530.3,18170,,,1683037566.0,2,2,5.28,1106.6321106967694,68,121,1106.6321106967694,,2.0,13.19,8320.0
,,2.0,0.0,18592,,0.0,8960.0,0,,569.72,536.91,18678,,,1683037567.0,2,2,7.93,710.7884580636184,69,122,710.7884580636184,,2.0,19.82,8960.0
,,2.0,0.0,19872,,0.0,8992.0,0,,169.29,541.5,19990,,,1683037569.0,2,2,5.3,965.0476451869497,70,124,965.0476451869497,,2.0,13.24,9600.0
,,2.0,0.0,21152,,0.0,9632.0,0,,424.04,541.01,21278,,,1683037570.0,2,2,4.34,1059.5172182093247,71,125,1059.5172182093247,,2.0,10.84,10240.0
,,2.0,0.0,22432,,0.0,10272.0,0,,517.83,541.68,22573,,,1683037571.0,2,2,3.8,1073.36327103736,72,126,1073.36327103736,,2.0,9.5,10880.0
,,2.0,0.0,23712,,0.0,10912.0,0,,532.18,541.18,23828,,,1683037572.0,2,2,3.36,1063.1604457524202,73,127,1063.1604457524202,,2.0,8.41,11520.0
,,2.0,0.0,24512,,0.0,11552.0,0,,530.64,532.52,25140,,,1683037573.0,2,2,2.78,1095.9249908371667,74,128,1095.9249908371667,,2.0,6.96,12160.0
,,2.0,0.0,25536,,0.0,12160.0,0,,533.72,562.21,25643,,,1683037574.0,2,2,3.36,847.6283740496758,75,129,847.6283740496758,,2.0,8.41,12352.0
,,2.0,0.0,26816,,0.0,12800.0,0,,531.41,316.22,26922,,,1683037576.0,2,2,2.3,1017.5621310257517,76,131,1017.5621310257517,,2.0,5.75,12736.0
,,2.0,0.0,28064,,0.0,13440.0,0,,532.8,484.76,28199,,,1683037577.0,2,2,1.72,1060.8883701533628,77,132,1060.8883701533628,,2.0,4.31,13376.0
,,2.0,0.0,29312,,0.0,14080.0,0,,533.23,527.66,29472,,,1683037578.0,2,2,1.24,1065.5722673976754,78,133,1065.5722673976754,,2.0,3.09,13984.0
,,2.0,0.0,30624,,0.0,14688.0,0,,528.89,536.68,30756,,,1683037579.0,2,2,0.75,1074.6085566929346,79,134,1074.6085566929346,,2.0,1.87,14624.0
,,2.0,0.0,31904,,0.0,15328.0,0,,536.19,538.42,32026,,,1683037580.0,2,2,0.5,1066.3567110828985,80,135,1066.3567110828985,,2.0,0.7,15296.0
,,2.0,0.0,32800,,0.0,15968.0,0,,529.92,536.43,33311,,,1683037582.0,2,2,0.5,1070.828312784914,81,137,1070.828312784914,,2.0,0.0,15936.0
,,2.0,0.0,32800,,0.0,16448.0,0,,537.46,533.37,34586,,,1683037583.0,2,2,0.5,1070.828312784914,82,138,1070.828312784914,,2.0,0.0,16352.0
,,2.0,0.0,448,,0.0,16448.0,0,,537.46,533.37,584,,,1683037584.0,2,3,10.0,1043.366189214269,83,139,1043.366189214269,,2.0,30.85,16352.0
3.0,0.0,3.0,0.0,1728,0.0,0.0,224.0,0,951.3741881655201,523.74,519.63,1849,98400.0,32800.0,1683037585.0,2,3,10.0,1063.3260690501013,84,140,1063.3260690501013,34.476445133797824,3.0,29.08,224.0
,,3.0,0.0,2976,,0.0,864.0,0,,529.95,533.38,3102,,,1683037586.0,2,3,10.0,1058.3748066652604,85,141,1058.3748066652604,,3.0,28.03,864.0
,,3.0,0.0,4224,,0.0,1472.0,0,,524.29,534.09,4366,,,1683037588.0,2,3,10.0,1062.2901433978082,86,143,1062.2901433978082,,3.0,26.74,1504.0
,,3.0,0.0,5504,,0.0,2112.0,0,,528.99,533.3,5630,,,1683037589.0,2,3,10.0,1062.6521630230259,87,144,1062.6521630230259,,3.0,25.54,2112.0
,,3.0,0.0,6752,,0.0,2752.0,0,,525.71,536.94,6894,,,1683037590.0,2,3,9.77,1059.2097628513684,88,145,1059.2097628513684,,3.0,24.43,2752.0
,,3.0,0.0,8032,,0.0,3360.0,0,,525.19,534.02,8152,,,1683037591.0,2,3,9.29,1060.2147596969844,89,146,1060.2147596969844,,3.0,23.22,3392.0
,,3.0,0.0,9280,,0.0,4000.0,0,,527.04,533.18,9410,,,1683037592.0,2,3,8.79,1062.5945629148052,90,147,1062.5945629148052,,3.0,21.98,4032.0
,,3.0,0.0,10560,,0.0,4608.0,0,,529.81,532.79,10676,,,1683037593.0,2,3,8.31,1063.5567948841608,91,148,1063.5567948841608,,3.0,20.77,4672.0
,,3.0,0.0,11776,,0.0,5248.0,0,,526.84,536.71,11937,,,1683037595.0,2,3,7.83,1063.5502836002165,92,150,1063.5502836002165,,3.0,19.59,5312.0
,,3.0,0.0,13056,,0.0,5856.0,0,,527.62,535.93,13199,,,1683037596.0,2,3,7.37,1061.9175524592401,93,151,1061.9175524592401,,3.0,18.43,5920.0
,,3.0,0.0,14336,,0.0,6496.0,0,,527.83,534.08,14453,,,1683037597.0,2,3,6.91,1060.1171397704761,94,152,1060.1171397704761,,3.0,17.28,6560.0
,,3.0,0.0,15584,,0.0,7136.0,0,,525.95,534.17,15710,,,1683037598.0,2,3,6.45,1057.5834342680323,95,153,1057.5834342680323,,3.0,16.13,7200.0
