04_peers/peer_7_samples_per_second,04_peers/peer_6_samples_per_second,03_hivemind/epoch_s,03_hivemind/undershot_TBS,04_peers/peer_4_samples_accumulated,03_hivemind/num_clients,04_peers/peer_5_epoch_oos,04_peers/peer_6_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_1_epoch,04_peers/peer_4_samples_per_second,04_peers/peer_7_samples_accumulated,03_hivemind/global_samples_accumulated,04_peers/peer_6_epoch_oos,04_peers/peer_3_samples_accumulated,04_peers/peer_1_samples_accumulated,03_hivemind/overshot_TBS,03_hivemind/next_fetch_time_s,04_peers/peer_5_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_4_epoch_oos,03_hivemind/reached_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_3_epoch,04_peers/peer_2_epoch,03_hivemind/actual_total_samples_per_second,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,04_peers/peer_8_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_8_samples_accumulated,04_peers/peer_5_samples_per_second,_runtime,04_peers/peer_8_epoch,04_peers/peer_7_epoch,04_peers/peer_3_epoch_oos,_step,03_hivemind/eta_next_epoch_s,03_hivemind/estimated_current_samples,04_peers/peer_4_epoch,04_peers/peer_6_epoch,_timestamp,04_peers/peer_8_epoch_oos,04_peers/peer_7_epoch_oos,03_hivemind/num_peers,04_peers/peer_3_samples_per_second,04_peers/peer_5_epoch,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/global_epoch
47.76,43.18,,,60.0,0,0.0,20.0,0.0,3.0,45.41,60.0,380,1.0,60.0,60.0,,0.5,20.0,326.3213447147554,0.0,,28.28,3.0,3.0,283.14592133809913,,14.98,48.42,0.0,60.0,60.0,69.78,137,3.0,3.0,0.0,54,0.0,5760,3.0,2.0,1696169649.0,0.0,0.0,8,28.52,3.0,,,3
47.76,43.18,,,60.0,0,0.0,20.0,0.0,3.0,45.41,60.0,380,1.0,60.0,60.0,,0.5,20.0,326.3213447147554,0.0,,28.28,3.0,3.0,283.14592133809913,,14.98,48.42,0.0,60.0,60.0,69.78,139,3.0,3.0,0.0,55,0.0,6135,3.0,2.0,1696169651.0,0.0,0.0,8,28.52,3.0,,,3
47.76,43.18,,,60.0,0,0.0,20.0,0.0,3.0,45.41,60.0,380,1.0,60.0,60.0,,0.5,20.0,326.3213447147554,0.0,,28.28,3.0,3.0,283.14592133809913,,14.98,48.42,0.0,60.0,60.0,69.78,140,3.0,3.0,0.0,56,0.0,6561,3.0,2.0,1696169652.0,0.0,0.0,8,28.52,3.0,,,3
47.76,43.18,,,60.0,0,0.0,20.0,0.0,3.0,45.41,60.0,0,1.0,60.0,60.0,,0.5,20.0,326.3213447147554,0.0,,28.28,3.0,3.0,209.44998651704842,,14.98,48.42,0.0,60.0,60.0,69.78,142,3.0,3.0,0.0,57,0.35,142,3.0,2.0,1696169654.0,0.0,0.0,8,28.52,3.0,,,4
47.76,43.18,24.101732042996446,1.0,60.0,0,0.0,0.0,1.0,4.0,45.41,0.0,400,1.0,0.0,0.0,3.0,0.5,0.0,314.57968946417753,1.0,0.0,28.28,4.0,3.0,271.4042660875212,15.766501731995712,14.98,48.42,0.0,60.0,0.0,69.78,143,4.0,4.0,0.0,58,0.0,586,3.0,3.0,1696169655.0,0.0,0.0,8,28.52,4.0,1300.0,380.0,4
45.36,43.18,,,60.0,0,0.0,0.0,0.0,4.0,45.16,60.0,400,1.0,60.0,60.0,,0.5,60.0,314.57968946417753,0.0,,31.31,4.0,4.0,271.4042660875212,,18.26,46.35,0.0,40.0,60.0,51.64,144,4.0,4.0,0.0,59,0.0,947,4.0,3.0,1696169656.0,0.0,0.0,8,33.34,4.0,,,4
45.36,43.18,,,60.0,0,0.0,0.0,0.0,4.0,45.16,60.0,420,1.0,60.0,60.0,,0.5,60.0,322.3987597704753,0.0,,31.31,4.0,4.0,322.3987597704753,,18.26,46.35,0.0,40.0,60.0,51.64,146,4.0,4.0,0.0,60,0.0,1334,4.0,3.0,1696169658.0,0.0,0.0,8,33.34,4.0,,,4
45.36,50.99,,,60.0,0,0.0,20.0,0.0,4.0,45.16,60.0,420,0.0,60.0,60.0,,0.5,60.0,322.3987597704753,0.0,,31.31,4.0,4.0,322.3987597704753,,18.26,46.35,0.0,40.0,60.0,51.64,147,4.0,4.0,0.0,61,0.0,1761,4.0,4.0,1696169659.0,0.0,0.0,8,33.34,4.0,,,4
45.36,50.99,,,60.0,0,0.0,20.0,0.0,4.0,45.16,60.0,420,0.0,60.0,60.0,,0.5,60.0,322.3987597704753,0.0,,31.31,4.0,4.0,322.3987597704753,,18.26,46.35,0.0,40.0,60.0,51.64,148,4.0,4.0,0.0,62,0.0,2188,4.0,4.0,1696169660.0,0.0,0.0,8,33.34,4.0,,,4
45.36,50.99,,,60.0,0,0.0,20.0,0.0,4.0,45.16,60.0,420,0.0,60.0,60.0,,0.5,60.0,322.3987597704753,0.0,,31.31,4.0,4.0,322.3987597704753,,18.26,46.35,0.0,40.0,60.0,51.64,150,4.0,4.0,0.0,63,0.0,2614,4.0,4.0,1696169662.0,0.0,0.0,8,33.34,4.0,,,4
