04_peers/peer_2_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/global_epoch,_step,03_hivemind/epoch_s,03_hivemind/num_clients,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,_runtime,03_hivemind/undershot_TBS,04_peers/peer_2_samples_per_second,03_hivemind/per_epoch_training_samples,03_hivemind/overshot_TBS,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_per_second,_timestamp,03_hivemind/num_peers,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,04_peers/peer_1_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/total_training_samples,04_peers/peer_2_samples_accumulated
0.0,0.0,3.0,3.0,3,96,,0,14562,434.43191378476297,156,,217.72,,,,0.5,216.71,1680687696.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,97,,0,15005,434.43191378476297,157,,217.72,,,,0.5,216.71,1680687697.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,98,,0,15448,434.43191378476297,158,,217.72,,,,0.5,216.71,1680687698.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,99,,0,15892,434.43191378476297,159,,217.72,,,,0.5,216.71,1680687699.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,100,,0,16334,434.43191378476297,160,,217.72,,,,0.5,216.71,1680687700.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,101,,0,16778,434.43191378476297,161,,217.72,,,,0.5,216.71,1680687701.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,102,,0,17220,434.43191378476297,162,,217.72,,,,0.5,216.71,1680687702.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,103,,0,17663,434.43191378476297,163,,217.72,,,,0.5,216.71,1680687703.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,104,,0,18108,434.43191378476297,164,,217.72,,,,0.5,216.71,1680687704.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,105,,0,18552,434.43191378476297,165,,217.72,,,,0.5,216.71,1680687705.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,106,,0,18994,434.43191378476297,166,,217.72,,,,0.5,216.71,1680687706.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,107,,0,19439,434.43191378476297,167,,217.72,,,,0.5,216.71,1680687707.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,108,,0,19882,434.43191378476297,168,,217.72,,,,0.5,216.71,1680687708.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,109,,0,20324,434.43191378476297,169,,217.72,,,,0.5,216.71,1680687709.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,110,,0,20768,434.43191378476297,170,,217.72,,,,0.5,216.71,1680687710.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,111,,0,21211,434.43191378476297,171,,217.72,,,,0.5,216.71,1680687711.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,112,,0,21654,434.43191378476297,172,,217.72,,,,0.5,216.71,1680687712.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,113,,0,22099,434.43191378476297,173,,217.72,,,,0.5,216.71,1680687713.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,114,,0,22544,434.43191378476297,174,,217.72,,,,0.5,216.71,1680687714.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,115,,0,22985,434.43191378476297,175,,217.72,,,,0.5,216.71,1680687715.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,116,,0,23429,434.43191378476297,176,,217.72,,,,0.5,216.71,1680687716.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,117,,0,23871,434.43191378476297,177,,217.72,,,,0.5,216.71,1680687717.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,118,,0,24314,434.43191378476297,178,,217.72,,,,0.5,216.71,1680687718.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,119,,0,24759,434.43191378476297,179,,217.72,,,,0.5,216.71,1680687719.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,120,,0,25203,434.43191378476297,180,,217.72,,,,0.5,216.71,1680687720.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,121,,0,25646,434.43191378476297,181,,217.72,,,,0.5,216.71,1680687721.0,2,,0.0,0.0,0,434.43191378476297,,0.0
