04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,04_peers/peer_3_samples_per_second,04_peers/peer_2_epoch,04_peers/peer_3_epoch,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,03_hivemind/per_epoch_training_samples,03_hivemind/next_fetch_time_s,03_hivemind/optimistic_total_samples_per_second,03_hivemind/epoch_s,03_hivemind/global_epoch,04_peers/peer_1_epoch_oos,03_hivemind/global_samples_accumulated,03_hivemind/num_clients,03_hivemind/reached_TBS,04_peers/peer_3_epoch_oos,04_peers/peer_2_samples_per_second,_runtime,03_hivemind/num_peers,03_hivemind/eta_next_epoch_s,04_peers/peer_1_epoch,03_hivemind/actual_total_samples_per_second,_timestamp,04_peers/peer_2_samples_accumulated,04_peers/peer_3_samples_accumulated,03_hivemind/estimated_current_samples,_step,04_peers/peer_1_samples_per_second,04_peers/peer_1_samples_accumulated
0.0,,,363.19,2.0,2.0,,,,1.91,1089.0810810235853,,2,0.0,28448,0,,0.0,362.43,155,3,3.82,2.0,1089.0810810235853,1680695827.0,9152.0,9152.0,28610,91,361.55,8864.0
0.0,,,363.53,2.0,2.0,,,,1.56,982.3587126303396,,2,0.0,29568,0,,0.0,362.44,156,3,3.13,2.0,982.3587126303396,1680695828.0,9600.0,9568.0,29697,92,363.11,9280.0
0.0,,,363.08,2.0,2.0,,,,0.83,1056.964814961017,,2,0.0,30848,0,,0.0,257.91,158,3,1.67,2.0,1056.964814961017,1680695830.0,9824.0,10016.0,31007,93,361.37,9728.0
0.0,,,363.6,2.0,2.0,,,,0.5,984.83022876965,,2,0.0,32032,0,,0.0,332.13,159,3,0.62,2.0,984.83022876965,1680695831.0,10272.0,10432.0,32159,94,361.24,10144.0
0.0,,,363.1,2.0,2.0,,,,0.5,976.8703084628764,,2,0.0,32864,0,,0.0,260.47,160,3,0.0,2.0,976.8703084628764,1680695832.0,10560.0,10880.0,33309,95,361.26,10592.0
0.0,,,295.86,2.0,2.0,,,,0.5,976.8703084628764,,2,0.0,32864,0,,0.0,319.28,161,3,0.0,2.0,976.8703084628764,1680695833.0,10880.0,11072.0,34499,96,361.73,10912.0
0.0,,,295.86,2.0,2.0,,,,0.5,976.8703084628764,,2,0.0,32864,0,,0.0,319.28,163,3,0.0,2.0,976.8703084628764,1680695835.0,10880.0,11072.0,35672,97,361.73,10912.0
0.0,,,295.86,2.0,2.0,,,,0.5,976.8703084628764,,2,0.0,32864,0,,0.0,319.28,164,3,0.0,2.0,976.8703084628764,1680695836.0,10880.0,11072.0,36847,98,361.73,10912.0
0.0,,,295.86,2.0,2.0,,,,0.5,976.8703084628764,,2,0.0,32864,0,,0.0,319.28,165,3,0.0,2.0,976.8703084628764,1680695837.0,10880.0,11072.0,38018,99,361.73,10912.0
0.0,,,295.86,2.0,2.0,,,,0.5,976.8703084628764,,2,0.0,32864,0,,0.0,319.28,166,3,0.0,2.0,976.8703084628764,1680695838.0,10880.0,11072.0,39186,100,361.73,10912.0
0.0,,,295.86,2.0,2.0,,,,0.5,976.8703084628764,,2,0.0,32864,0,,0.0,319.28,167,3,0.0,2.0,976.8703084628764,1680695839.0,10880.0,11072.0,40399,101,361.73,10912.0
0.0,,,295.86,2.0,2.0,,,,10.0,976.8703084628764,,3,0.0,0,0,,0.0,319.28,169,3,32.3,2.0,976.8703084628764,1680695841.0,10880.0,11072.0,1214,102,361.73,10912.0
