02_timing/forward_time_s,01_general/minibatch_loss,02_timing/dataload_time_s,cpu/interrupts/soft_interrupts_count,process/memory/shared_memory_proc_MB,cpu/load/avg_sys_load_one_min_percent,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/load/avg_sys_load_fifteen_min_percent,process/memory/virtual_memory_size_proc_MB,01_general/lr,02_timing/step_time_s,02_timing/backward_time_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_percent,01_general/dataset_iteration_count,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/data_resident_set_proc_MB,_step,02_timing/opt_step_time_s,disk/counter/disk_read_sys_count,process/memory/lib_memory_proc_MB,process/memory/dirty_pages_proc_count,process/memory/resident_set_size_proc_MB,process/memory/text_resident_set_proc_MB,_timestamp,cpu/logical_core_count,memory/used_memory_sys_MB,disk/time/disk_read_time_sys_s,disk/counter/disk_write_sys_count,bandwidth/disk_read_sys_bandwidth_MBs,01_general/step,03_hivemind/num_peers,memory/total_memory_sys_MB,process/involuntary_proc_ctx_switches,cpu/load/avg_sys_load_five_min_percent,02_timing/loss_calc_time_s,disk/time/disk_write_time_sys_s,_runtime,03_hivemind/global_epoch,cpu/interrupts/interrupts_count,02_timing/dataload_cuda_move_time_s,process/voluntary_proc_ctx_switches,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,cpu/interrupts/ctx_switches_count,01_general/locally_processed_samples
0.01793810500021209,7.40576171875,0.0028559779998431623,,,,,,,0.0001,0.20783239699994738,0.1437468990002344,,,0.0,,,35,0.03976271200008341,,,,,,1681395433.0,,,,,,19.0,5.0,,,,0.0004309729997657996,,16,0.0,,0.0030977299998085073,,,,,640.0
0.01702043400018738,,,59130.0,2451.484672,7.8,1.414580548614429,1.6666666666666667,31919.12448,,,,0.17199999999999704,5.3,,0.016346519526672335,0.0,36,,2.0,6552.989696,0.0,6367.084544,2.719744,1681395433.0,,7680.679936,0.0009999999999994458,44.0,0.0,,,,748.0,2.4,0.0004082770001332392,0.016000000000019554,16,,1025221.0,0.0030617610000263085,917.0,88.15015502401296,199968.07168,58585.0,
,7.2027587890625,0.0029200659996604372,,,,,,,0.0001,0.207981927000219,0.14469024100026218,,,0.0,,,37,0.03988114799994946,,,,,,1681395433.0,,,,,,20.0,5.0,,,,,,16,0.0,,,,,,,672.0
0.0180936249998922,7.096435546875,0.0030741790001229674,,,,,,,0.0001,0.20694457399986277,0.14250017199992726,,,0.0,,,38,0.03979034999974829,,,,,,1681395434.0,,,,,,21.0,5.0,,,,0.00039232800008903723,,17,0.0,,0.003093920000083017,,,,,704.0
0.01703474899977664,7.066650390625,0.0027582090001487813,,,,,,,0.0001,0.20623566499989465,0.1432246330000453,,,0.0,,,39,0.039745439999933296,,,,,,1681395434.0,,,,,,22.0,5.0,,,,0.00038835299983475124,,17,0.0,,0.0030842810001558973,,,,,736.0
0.01784927600010633,,,64788.0,2451.501056,7.8,1.3251529971854328,1.6666666666666667,31919.128576,,,,0.1880000000000024,5.3,,0.016347398359206716,0.0,40,,2.0,6552.993792,0.0,6367.35488,2.719744,1681395434.0,,7683.289088,0.0009999999999994458,48.0,0.0,,,,790.0,2.4,0.0004009369999948831,0.016999999999995907,17,,1030461.0,0.0030944399995860294,962.0,85.2171756915555,199965.835264,63338.0,
,7.116943359375,0.0029787870003019634,,,,,,,0.0001,0.20644673400011015,0.142271379000249,,,0.0,,,41,0.03985191499987195,,,,,,1681395434.0,,,,,,23.0,5.0,,,,,,17,0.0,,,,,,,768.0
0.01737053000033484,7.2431640625,0.002690522000193596,,,,,,,0.0001,0.2069975820008949,0.1435720740000761,,,0.0,,,42,0.039780874000371114,,,,,,1681395435.0,,,,,,24.0,5.0,,,,0.0004234329999235342,,18,0.0,,0.0031601489999957266,,,,,800.0
0.01721142399992459,7.0892333984375,0.002741051000157313,,,,,,,0.0001,0.20795691300008912,0.14478339100014637,,,0.0,,,43,0.03972867699985727,,,,,,1681395435.0,,,,,,25.0,5.0,,,,0.00038756000003559166,,18,0.0,,0.0031048099999679835,,,,,832.0
0.017832668999744783,,,70569.0,2451.480576,7.8,1.4321996622622415,1.6666666666666667,31919.12448,,,,0.20400000000000773,5.3,,0.016348199494659193,0.0,44,,2.0,6553.001984,0.0,6367.342592,2.719744,1681395435.0,,7688.364032,0.0009999999999994458,52.0,0.0,,,,832.0,2.4,0.0003965229998357245,0.01799999999997226,18,,1035602.0,0.003052670000215585,1018.0,88.02485260678468,199960.702976,67825.0,
