02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/step,disk/counter/disk_write_sys_count,process/memory/data_resident_set_proc_MB,memory/used_memory_sys_MB,01_general/dataset_iteration_count,02_timing/step_time_s,disk/time/disk_busy_time_sys_s,process/involuntary_proc_ctx_switches,memory/used_memory_sys_percent,process/memory/resident_set_size_proc_MB,process/memory/virtual_memory_size_proc_MB,disk/time/disk_write_time_sys_s,disk/counter/disk_read_sys_count,cpu/load/avg_sys_load_one_min_percent,_timestamp,memory/available_memory_sys_MB,03_hivemind/num_peers,bandwidth/net_recv_sys_bandwidth_Mbits,bandwidth/net_sent_sys_bandwidth_Mbits,_runtime,cpu/logical_core_count,process/memory/text_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/dataload_cuda_move_time_s,_step,02_timing/backward_time_s,cpu/interrupts/interrupts_count,memory/total_memory_sys_MB,process/memory/dirty_pages_proc_count,03_hivemind/global_epoch,02_timing/dataload_time_s,process/voluntary_proc_ctx_switches,cpu/interrupts/soft_interrupts_count,process/memory/lib_memory_proc_MB,process/memory/shared_memory_proc_MB,cpu/interrupts/ctx_switches_count,cpu/load/avg_sys_load_five_min_percent,disk/time/disk_read_time_sys_s,02_timing/forward_time_s,01_general/minibatch_loss,01_general/lr,02_timing/loss_calc_time_s,bandwidth/disk_write_sys_bandwidth_MBs,bandwidth/disk_read_sys_bandwidth_MBs
,,,781.0,0.0,3109.543936,,,0.847999999999999,45.0,12.3,2610.864128,13869.395968,26.75099999999975,5.0,3.6249999999999996,1696169523.0,27670.581248,,0.012470705572065224,0.04983495008902317,34,,2.654208,4.5,,34,,77706.0,,0.0,,,4157.0,17244.0,2695.114752,833.51552,30200.0,5.0,0.0019999999999988916,,,,,119.23979625066654,0.0
,,,920.0,0.0,3065.479168,,,1.0679999999999978,45.0,12.2,2610.864128,13869.395968,37.71499999999969,5.0,3.6249999999999996,1696169524.0,27714.646016,,0.1301048941510495,0.05334731523993123,35,,2.654208,4.5,,35,,79137.0,,0.0,,,4157.0,18850.0,2695.114752,833.51552,31318.0,5.0,0.0019999999999988916,,,,,35.66811390818746,0.0
,,,940.0,0.0,3064.143872,,,1.1000000000000085,45.0,12.2,2610.864128,13869.395968,37.72499999999991,5.0,3.6249999999999996,1696169525.0,27715.969024,,0.025972911272524168,0.05364543240550937,36,,2.654208,4.5,,36,,79633.0,,0.0,,,4157.0,19207.0,2695.114752,833.51552,31962.0,5.0,0.0019999999999988916,,,,,0.35951935184759626,0.0
,,,943.0,0.0,3064.168448,,,1.108000000000004,45.0,12.2,2610.864128,13869.395968,37.72699999999986,5.0,3.6249999999999996,1696169526.0,27715.960832,,0.005081864133632179,0.006198757353064227,37,,2.654208,4.5,,37,,79970.0,,0.0,,,4157.0,19379.0,2695.114752,833.51552,32486.0,5.0,0.0019999999999988916,,,,,0.012253914151857942,0.0
,,,944.0,0.0,3064.098816,,,1.1119999999999948,45.0,12.2,2610.864128,13869.395968,37.72799999999961,5.0,3.6249999999999996,1696169527.0,27716.026368,,0.011840906466433543,0.04666146967636854,38,,2.654208,4.5,,38,,80348.0,,0.0,,,4157.0,19602.0,2695.114752,833.51552,33072.0,5.0,0.0019999999999988916,,,,,0.004085272309673602,0.0
,,,945.0,0.0,3064.066048,,,1.1159999999999997,45.0,12.2,2610.864128,13869.395968,37.728999999999814,5.0,3.375,1696169528.0,27716.059136,,0.002345905784738287,0.0005266319114520322,39,,2.654208,4.5,,39,,80592.0,,0.0,,,4157.0,19706.0,2695.114752,833.51552,33477.0,5.0,0.0019999999999988916,,,,,0.004085386946257341,0.0
,,,956.0,0.0,3064.03328,,,1.1280000000000001,45.0,12.2,2610.864128,13869.395968,37.73799999999983,5.0,3.375,1696169529.0,27716.096,,0.01373124522800464,0.0502654531854222,40,,2.654208,4.5,,40,,81010.0,,0.0,,,4157.0,19930.0,2695.114752,833.51552,34033.0,5.0,0.0019999999999988916,,,,,0.08170130803512113,0.0
,,,971.0,0.0,3064.09472,,,1.1440000000000055,45.0,12.2,2610.864128,13869.395968,37.75,5.0,3.375,1696169530.0,27716.03456,,0.0045560101112389366,0.0067741726510566775,41,,2.654208,4.5,,41,,81298.0,,0.0,,,4157.0,20071.0,2695.114752,833.51552,34500.0,5.0,0.0019999999999988916,,,,,0.122557469883721,0.0
,,,972.0,0.0,3064.016896,,,1.1479999999999961,45.0,12.2,2610.864128,13869.395968,37.75,5.0,3.375,1696169531.0,27716.100096,,0.01299724094196908,0.04799963260521424,42,,2.654208,4.5,,42,,81659.0,,0.0,,,4157.0,20270.0,2695.114752,833.51552,35022.0,5.0,0.0019999999999988916,,,,,0.004085075115877764,0.0
,,,977.0,0.0,3064.004608,,,1.156000000000006,45.0,12.2,2610.864128,13869.395968,37.7529999999997,5.0,3.375,1696169532.0,27716.120576,,0.005081923342196042,0.00777845409432806,43,,2.654208,4.5,,43,,82026.0,,0.0,,,4157.0,20452.0,2695.114752,833.51552,35595.0,5.0,0.0019999999999988916,,,,,0.05718559891778121,0.0
