04_peers/peer_3_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,04_peers/peer_7_epoch,04_peers/peer_2_samples_accumulated,03_hivemind/num_clients,04_peers/peer_2_epoch_oos,_timestamp,04_peers/peer_8_epoch,04_peers/peer_1_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_4_epoch,03_hivemind/epoch_based_sps,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_4_epoch_oos,04_peers/peer_7_epoch_oos,04_peers/peer_8_epoch_oos,04_peers/peer_8_samples_per_second,_runtime,03_hivemind/num_peers,04_peers/peer_6_samples_per_second,03_hivemind/estimated_current_samples,04_peers/peer_8_samples_accumulated,_step,04_peers/peer_4_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_4_samples_accumulated,04_peers/peer_9_samples_accumulated,04_peers/peer_5_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_6_epoch,04_peers/peer_5_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_7_samples_per_second,04_peers/peer_3_samples_accumulated,03_hivemind/per_epoch_training_samples,04_peers/peer_9_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_epoch,04_peers/peer_9_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_7_samples_accumulated,04_peers/peer_5_samples_accumulated,04_peers/peer_6_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/reached_TBS,03_hivemind/global_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_9_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_5_epoch,03_hivemind/undershot_TBS
0.0,,117.86,,0.0,2624.0,0,0.0,1681405818.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,99,9,117.9,105018,1600.0,39,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405819.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,100,9,117.9,107675,1600.0,40,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405820.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,101,9,117.9,110345,1600.0,41,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405821.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,102,9,117.9,113020,1600.0,42,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405822.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,103,9,117.9,115718,1600.0,43,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405823.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,104,9,117.9,118371,1600.0,44,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405824.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,105,9,117.9,121057,1600.0,45,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405826.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,107,9,117.9,123757,1600.0,46,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405827.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,108,9,117.9,126458,1600.0,47,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405828.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,109,9,117.9,129117,1600.0,48,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405829.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,110,9,117.9,131780,1600.0,49,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405830.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,111,9,117.9,135028,1600.0,50,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405831.0,0.0,0.0,10.0,0.0,,1950.6564591930965,1950.6564591930965,0.0,0.0,0.0,108.63,112,9,117.9,3444,1600.0,51,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,15.03,2272.0,2240.0,2240.0,2944,,1,0.0,1430.46,0.0,0.0,
