_runtime,04_peers/peer_2_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/num_peers,03_hivemind/global_epoch,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/optimistic_total_samples_per_second,_timestamp,03_hivemind/epoch_s,03_hivemind/num_clients,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,03_hivemind/estimated_current_samples,04_peers/peer_1_epoch,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,_step,03_hivemind/reached_TBS,03_hivemind/global_samples_accumulated
139,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687087.0,,0,,389.45,29190,3.0,,801.814713459614,,0.5,412.36,0.0,86,,0
140,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687088.0,,0,,389.45,30007,3.0,,801.814713459614,,0.5,412.36,0.0,87,,0
141,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687089.0,,0,,389.45,30827,3.0,,801.814713459614,,0.5,412.36,0.0,88,,0
142,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687090.0,,0,,389.45,31646,3.0,,801.814713459614,,0.5,412.36,0.0,89,,0
143,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687091.0,,0,,389.45,32471,3.0,,801.814713459614,,0.5,412.36,0.0,90,,0
144,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687092.0,,0,,389.45,33294,3.0,,801.814713459614,,0.5,412.36,0.0,91,,0
145,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687093.0,,0,,389.45,34113,3.0,,801.814713459614,,0.5,412.36,0.0,92,,0
146,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687094.0,,0,,389.45,34932,3.0,,801.814713459614,,0.5,412.36,0.0,93,,0
147,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687095.0,,0,,389.45,35752,3.0,,801.814713459614,,0.5,412.36,0.0,94,,0
149,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687097.0,,0,,389.45,36574,3.0,,801.814713459614,,0.5,412.36,0.0,95,,0
150,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687098.0,,0,,389.45,37397,3.0,,801.814713459614,,0.5,412.36,0.0,96,,0
151,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687099.0,,0,,389.45,38215,3.0,,801.814713459614,,0.5,412.36,0.0,97,,0
152,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687100.0,,0,,389.45,39034,3.0,,801.814713459614,,0.5,412.36,0.0,98,,0
153,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687101.0,,0,,389.45,39852,3.0,,801.814713459614,,0.5,412.36,0.0,99,,0
154,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687102.0,,0,,389.45,40670,3.0,,801.814713459614,,0.5,412.36,0.0,100,,0
155,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687103.0,,0,,389.45,41493,3.0,,801.814713459614,,0.5,412.36,0.0,101,,0
156,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687104.0,,0,,389.45,42310,3.0,,801.814713459614,,0.5,412.36,0.0,102,,0
157,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687105.0,,0,,389.45,43125,3.0,,801.814713459614,,0.5,412.36,0.0,103,,0
158,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687106.0,,0,,389.45,43945,3.0,,801.814713459614,,0.5,412.36,0.0,104,,0
159,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687107.0,,0,,389.45,44763,3.0,,801.814713459614,,0.5,412.36,0.0,105,,0
160,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687108.0,,0,,389.45,45587,3.0,,801.814713459614,,0.5,412.36,0.0,106,,0
161,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687109.0,,0,,389.45,46407,3.0,,801.814713459614,,0.5,412.36,0.0,107,,0
162,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687110.0,,0,,389.45,47228,3.0,,801.814713459614,,0.5,412.36,0.0,108,,0
163,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687111.0,,0,,389.45,48044,3.0,,801.814713459614,,0.5,412.36,0.0,109,,0
