01_general/locally_processed_samples,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/virtual_memory_size_proc_MB,02_timing/dataload_time_s,cpu/interrupts/interrupts_count,02_timing/dataload_cuda_move_time_s,02_timing/backward_time_s,memory/total_memory_sys_MB,disk/time/disk_write_time_sys_s,process/memory/data_resident_set_proc_MB,process/memory/text_resident_set_proc_MB,01_general/lr,01_general/step,01_general/minibatch_loss,process/memory/shared_memory_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,03_hivemind/num_peers,03_hivemind/global_epoch,02_timing/loss_calc_time_s,cpu/load/avg_sys_load_five_min_percent,02_timing/step_time_s,disk/counter/disk_read_sys_count,disk/counter/disk_write_sys_count,disk/time/disk_busy_time_sys_s,process/memory/lib_memory_proc_MB,process/voluntary_proc_ctx_switches,bandwidth/net_recv_sys_bandwidth_Mbits,_runtime,_timestamp,02_timing/forward_time_s,memory/available_memory_sys_MB,cpu/interrupts/soft_interrupts_count,cpu/logical_core_count,memory/used_memory_sys_MB,disk/time/disk_read_time_sys_s,02_timing/opt_step_time_s,01_general/dataset_iteration_count,cpu/load/avg_sys_load_one_min_percent,process/involuntary_proc_ctx_switches,process/memory/dirty_pages_proc_count,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/resident_set_size_proc_MB,_step,memory/used_memory_sys_percent,cpu/interrupts/ctx_switches_count
,0.0,2.4846108206193196,31851.728896,,1108047.0,0.003060992999962764,0.14175257100032468,,0.10499999999996135,0.0,2.719744,,,,2452.512768,1.4333333333333333,,,0.00039272300000448013,1.2333333333333334,,2.0,239.0,0.42799999999999727,6486.040576,1948.0,96.11234723589898,29,1681395446.0,0.016689799000232597,199882.743808,129848.0,,7747.649536,0.0010000000000012221,0.03953198599992902,,2.0666666666666664,532.0,0.0,0.016349012370122356,6300.9792,88,5.3,136276.0
1920.0,,,,0.002434726000046794,,,,,,,,0.0001,59.0,7.3232421875,,,8.0,0.0,,,0.20386279800050033,,,,,,,29,1681395446.0,,,,,,,,0.0,,,,,,89,,
1952.0,,,,0.0027781359999607957,,0.0030411430002459383,0.14273485199964853,,,,,0.0001,60.0,6.9522705078125,,,8.0,0.0,0.0003969499998675019,,0.20524387299974478,,,,,,,30,1681395447.0,0.01656726700002764,,,,,,0.03972552499999438,0.0,,,,,,90,,
1984.0,,,,0.0028499339996415074,,0.003030847999980324,0.1439734440000393,,,,,0.0001,61.0,7.38671875,,,8.0,0.0,0.0003897050000887248,,0.206229581000116,,,,,,,30,1681395447.0,0.01664721700035443,,,,,,0.03933843300001172,0.0,,,,,,91,,
,0.0,2.7008145144321287,31851.728896,,1113119.0,0.0030679409996992035,0.14232808199994906,,0.10599999999999454,0.0,2.719744,,,,2452.488192,1.4333333333333333,,,0.00041421800005991827,1.2333333333333334,,2.0,243.0,0.4439999999999884,6486.044672,1998.0,104.67676697409138,30,1681395447.0,0.016648388999783492,199882.371072,135389.0,,7748.980736,0.0010000000000012221,0.039616728000055446,,2.0666666666666664,532.0,0.0,0.016348833458457772,6300.954624,92,5.3,143256.0
2016.0,,,,0.002638131999901816,,,,,,,,0.0001,62.0,7.4873046875,,,8.0,0.0,,,0.20471348999944894,,,,,,,30,1681395447.0,,,,,,,,0.0,,,,,,93,,
2048.0,,,,0.0027828150000459573,,0.002991341999859287,0.1431129789998522,,,,,0.0001,63.0,7.3779296875,,,8.0,0.0,0.00039431999994121725,,0.2054999769998176,,,,,,,31,1681395448.0,0.01662129999976969,,,,,,0.039597221000349236,0.0,,,,,,94,,
2080.0,,,,0.0027009479999833275,,0.003085241999997379,0.14334745999985898,,,,,0.0001,64.0,7.120361328125,,,8.0,0.0,0.00040529300031266757,,0.20570300000053976,,,,,,,31,1681395448.0,0.01664869300020655,,,,,,0.03951536400018085,0.0,,,,,,95,,
,0.0,2.689200864508255,31927.230464,,1118350.0,0.0030417050002142787,0.14196826099987447,,0.10899999999998045,0.0,2.719744,,,,2452.525056,1.4333333333333333,,,0.0004233829999975569,1.2333333333333334,,2.0,251.0,0.46399999999999864,6494.572544,2059.0,100.18249737719866,31,1681395448.0,0.016581127000335982,199878.742016,140865.0,,7752.114176,0.0010000000000012221,0.039390988999912224,,2.0666666666666664,533.0,0.0,0.0980947977178125,6301.007872,96,5.3,150045.0
2112.0,,,,0.0029564829997070774,,,,,,,,0.0001,65.0,6.9432373046875,,,8.0,0.0,,,0.2043619480000416,,,,,,,31,1681395448.0,,,,,,,,0.0,,,,,,97,,
