03_hivemind/total_training_samples,04_peers/peer_3_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_8_samples_accumulated,04_peers/peer_7_samples_per_second,03_hivemind/global_samples_accumulated,04_peers/peer_3_epoch,04_peers/peer_8_epoch,03_hivemind/epoch_based_sps,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_per_second,04_peers/peer_5_samples_per_second,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_7_epoch_oos,04_peers/peer_7_samples_accumulated,_step,03_hivemind/epoch_s,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_7_epoch,04_peers/peer_6_epoch_oos,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/reached_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_3_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_8_epoch_oos,04_peers/peer_6_samples_per_second,04_peers/peer_3_samples_accumulated,04_peers/peer_4_samples_accumulated,04_peers/peer_6_samples_accumulated,03_hivemind/estimated_current_samples,_runtime,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/num_clients,03_hivemind/undershot_TBS,04_peers/peer_4_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_8_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_5_epoch_oos,03_hivemind/num_peers,04_peers/peer_4_epoch,04_peers/peer_5_epoch,04_peers/peer_6_epoch,03_hivemind/global_epoch,03_hivemind/overshot_TBS
,237.38,3104.0,3072.0,236.54,27712,1.0,1.0,,2.49,237.89,239.13,1897.846847889268,0.0,3104.0,34,,1.0,1.0,1.0,0.0,1897.846847889268,1680700055.0,,0.0,0.0,237.82,0.0,234.71,3104.0,3136.0,3168.0,28034,133,0.0,238.19,3136.0,,0,,0.0,1.81,234.13,3136.0,0.0,8,1.0,1.0,1.0,1,
,238.02,3424.0,3424.0,236.93,30336,1.0,1.0,,1.1,237.95,239.12,1895.303504095125,0.0,3456.0,35,,1.0,1.0,1.0,0.0,1895.303504095125,1680700056.0,,0.0,0.0,238.42,0.0,236.03,3456.0,3456.0,3520.0,30688,134,0.0,238.15,3488.0,,0,,0.0,0.8,233.23,3488.0,0.0,8,1.0,1.0,1.0,1,
,238.03,3776.0,3744.0,235.82,32896,1.0,1.0,,0.0,237.67,238.53,1891.2938866283423,0.0,3776.0,36,,1.0,1.0,1.0,0.0,1891.2938866283423,1680700058.0,,0.0,0.0,237.53,0.0,236.65,3776.0,3808.0,3840.0,33356,136,0.0,238.07,3808.0,,0,,0.0,0.5,233.01,3808.0,0.0,8,1.0,1.0,1.0,1,
,236.96,4096.0,4064.0,234.72,32896,1.0,1.0,,0.0,237.42,239.5,1891.2938866283423,0.0,4096.0,37,,1.0,1.0,1.0,0.0,1891.2938866283423,1680700059.0,,0.0,0.0,236.93,0.0,236.04,4096.0,4128.0,4160.0,36026,137,0.0,235.48,4128.0,,0,,0.0,0.5,234.24,4128.0,0.0,8,1.0,1.0,1.0,1,
,236.96,4096.0,4064.0,234.72,32896,1.0,1.0,,0.0,237.42,239.5,1891.2938866283423,0.0,4096.0,38,,1.0,1.0,1.0,0.0,1891.2938866283423,1680700061.0,,0.0,0.0,236.93,0.0,236.04,4096.0,4128.0,4160.0,38698,139,0.0,235.48,4128.0,,0,,0.0,0.5,234.24,4128.0,0.0,8,1.0,1.0,1.0,1,
,236.96,4096.0,4064.0,234.72,32896,1.0,1.0,,0.0,237.42,239.5,1891.2938866283423,0.0,4096.0,39,,1.0,1.0,1.0,0.0,1891.2938866283423,1680700062.0,,0.0,0.0,236.93,0.0,236.04,4096.0,4128.0,4160.0,41374,140,0.0,235.48,4128.0,,0,,0.0,0.5,234.24,4128.0,0.0,8,1.0,1.0,1.0,1,
,236.96,4096.0,4064.0,234.72,32896,1.0,1.0,,0.0,237.42,239.5,1891.2938866283423,0.0,4096.0,40,,1.0,1.0,1.0,0.0,1891.2938866283423,1680700063.0,,0.0,0.0,236.93,0.0,236.04,4096.0,4128.0,4160.0,44031,141,0.0,235.48,4128.0,,0,,0.0,0.5,234.24,4128.0,0.0,8,1.0,1.0,1.0,1,
,236.96,4096.0,4064.0,234.72,32896,1.0,1.0,,0.0,237.42,239.5,1891.2938866283423,0.0,4096.0,41,,1.0,1.0,1.0,0.0,1891.2938866283423,1680700065.0,,0.0,0.0,236.93,0.0,236.04,4096.0,4128.0,4160.0,46684,143,0.0,235.48,4128.0,,0,,0.0,0.5,234.24,4128.0,0.0,8,1.0,1.0,1.0,1,
,236.96,4096.0,4064.0,234.72,32896,1.0,1.0,,0.0,237.42,239.5,1891.2938866283423,0.0,4096.0,42,,1.0,1.0,1.0,0.0,1891.2938866283423,1680700066.0,,0.0,0.0,236.93,0.0,236.04,4096.0,4128.0,4160.0,49358,144,0.0,235.48,4128.0,,0,,0.0,0.5,234.24,4128.0,0.0,8,1.0,1.0,1.0,1,
,236.96,4096.0,4064.0,234.72,32896,1.0,1.0,,0.0,237.42,239.5,1891.2938866283423,0.0,4096.0,43,,1.0,1.0,1.0,0.0,1891.2938866283423,1680700068.0,,0.0,0.0,236.93,0.0,236.04,4096.0,4128.0,4160.0,52047,146,0.0,235.48,4128.0,,0,,0.0,0.5,234.24,4128.0,0.0,8,1.0,1.0,1.0,1,
