01_general/lr,disk/time/disk_read_time_sys_s,memory/used_memory_sys_percent,process/memory/dirty_pages_proc_count,bandwidth/net_sent_sys_bandwidth_Mbits,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_fifteen_min_percent,_timestamp,01_general/minibatch_loss,01_general/step_based_sps,memory/used_memory_sys_MB,disk/counter/disk_write_sys_count,cpu/interrupts/soft_interrupts_count,_runtime,02_timing/forward_time_s,02_timing/opt_step_time_s,cpu/interrupts/interrupts_count,process/memory/lib_memory_proc_MB,01_general/locally_processed_samples,process/memory/virtual_memory_size_proc_MB,02_timing/dataload_time_s,02_timing/loss_calc_time_s,disk/time/disk_write_time_sys_s,01_general/dataset_iteration_count,02_timing/dataload_cuda_move_time_s,bandwidth/disk_write_sys_bandwidth_MBs,cpu/logical_core_count,memory/total_memory_sys_MB,disk/time/disk_busy_time_sys_s,cpu/load/avg_sys_load_one_min_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/text_resident_set_proc_MB,02_timing/backward_time_s,disk/counter/disk_read_sys_count,process/involuntary_proc_ctx_switches,_step,01_general/step,02_timing/step_time_s,cpu/interrupts/ctx_switches_count,process/memory/resident_set_size_proc_MB,memory/available_memory_sys_MB,process/voluntary_proc_ctx_switches,process/memory/shared_memory_proc_MB,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/data_resident_set_proc_MB
0.0001,,,,,,,1682873670.0,7.359619140625,196.25561820889408,,,,14,0.017147250000107306,1.5769996934977826e-06,,,672.0,,0.0029637369998454233,0.0004210239999338228,,0.0,0.002568358999724296,,,,,,,,0.1399507099999937,,,35,20.0,0.16305265699929805,,,,,,,
0.0001,,,,,,,1682873670.0,6.9808349609375,195.71412727359848,,,,14,0.01732503799985352,1.6469998627144378e-06,,,704.0,,0.0028634710001824715,0.00044953999986319104,,0.0,0.0025558439997439564,,,,,,,,0.14030824200017378,,,36,21.0,0.16350378199967963,,,,,,,
,0.0,3.3,0.0,0.0743895750236749,0.0,3.5000000000000004,1682873670.0,,,4945.334272,172.0,50941.0,14,0.017232691000117484,,54627.0,5584.826368,,27589.14048,,0.0004162579998592264,0.10800000000006094,,0.0025964189999285736,0.016348304496409838,,,0.1839999999999975,1.0666666666666667,2.566666666666667,2.719744,,0.0,110.0,37,,,32887.0,3837.853696,204120.854528,526.0,865.509376,95.26146655614639,0.0
0.0001,,,,,,,1682873671.0,7.45947265625,196.21489811251544,,,,15,,1.5919999896141235e-06,,,736.0,,0.0028572569999596453,,,0.0,,,,,,,,,0.13998227800038876,,,38,22.0,0.1630864950002433,,,,,,,
0.0001,,,,,,,1682873671.0,7.2930908203125,195.5616214424316,,,,15,0.017209887000262825,1.5969999367371202e-06,,,768.0,,0.002780328999961057,0.0004299339998397045,,0.0,0.002508725000097911,,,,,,,,0.140700815999935,,,39,23.0,0.16363128800003324,,,,,,,
0.0001,,,,,,,1682873671.0,7.2724609375,196.55826599156416,,,,15,0.017154527000002417,1.8480000107956585e-06,,,800.0,,0.0027599679997365456,0.00042481399987082114,,0.0,0.002516176999961317,,,,,,,,0.13994426499994006,,,40,24.0,0.16280159899952196,,,,,,,
,0.0,3.3,0.0,0.1563864281757895,0.0,3.5000000000000004,1682873671.0,,,4966.752256,176.0,54523.0,15,0.018264355000155774,,57335.0,5584.826368,,27589.14048,,0.00046581699962189305,0.10900000000003729,,0.0025835940000433766,0.016348292835935464,,,0.19999999999998863,1.0666666666666667,2.566666666666667,2.719744,,0.0,114.0,41,,,34356.0,3837.853696,204099.436544,551.0,865.509376,59.44969679000711,0.0
0.0001,,,,,,,1682873672.0,7.177001953125,195.549764023741,,,,16,,1.514999894425273e-06,,,832.0,,0.0026982499998666754,,,0.0,,,,,,,,,0.13962767900011386,,,42,25.0,0.163641209999696,,,,,,,
0.0001,,,,,,,1682873672.0,7.349853515625,195.94571777048506,,,,16,0.017397491999872727,1.9630001588666346e-06,,,864.0,,0.002700035999623651,0.0004226010000820679,,0.0,0.0025597250000828353,,,,,,,,0.14022871799988934,,,43,26.0,0.1633105349997095,,,,,,,
0.0001,,,,,,,1682873672.0,7.14208984375,195.41984732804892,,,,16,0.017372623000028398,1.5730001905467361e-06,,,896.0,,0.0027677129996845906,0.0004529040002125839,,0.0,0.0025165550000565418,,,,,,,,0.14063863199999105,,,44,27.0,0.1637500000001637,,,,,,,
,0.0,3.3,0.0,0.08099015896508549,0.0,3.5000000000000004,1682873672.0,,,4965.94944,180.0,58317.0,16,0.01717193300009967,,60192.0,5584.826368,,27589.14048,,0.0004266020000613935,0.11000000000001364,,0.0025523869999233284,0.01634810226529648,,,0.21599999999997976,1.0666666666666667,2.566666666666667,2.719744,,0.0,117.0,45,,,35903.0,3837.886464,204100.673536,575.0,865.509376,99.1264067553761,0.0
0.0001,,,,,,,1682873673.0,7.3961181640625,195.75741919177352,,,,17,,1.2660002539632842e-06,,,928.0,,0.002863979000267136,,,0.0,,,,,,,,,0.14045145599993702,,,46,28.0,0.16346762300054252,,,,,,,
0.0001,,,,,,,1682873673.0,7.0576171875,196.0322568873635,,,,17,0.017139624999799707,1.6439998944406398e-06,,,960.0,,0.002729888999965624,0.0004310849999455968,,0.0,0.002535775000069407,,,,,,,,0.1404004230003011,,,47,29.0,0.16323844099997586,,,,,,,
0.0001,,,,,,,1682873673.0,7.1239013671875,194.96587271708066,,,,17,0.017943676999948366,1.5129999155760743e-06,,,992.0,,0.0027852449998135853,0.0004619310002453858,,0.0,0.0025862620000225434,,,,,,,,0.14035266099972432,,,48,30.0,0.16413128899966978,,,,,,,
,0.0,3.3,0.0,0.17260533281825352,0.0,3.5000000000000004,1682873673.0,,,4968.517632,184.0,63565.0,17,0.01720730699980777,,63839.0,5584.826368,,27589.14048,,0.00043093100020996644,0.11200000000008004,,0.0025649829999565554,0.01634737890788779,,,0.23199999999999932,1.2666666666666666,2.566666666666667,2.719744,,0.0,121.0,49,,,37653.0,3837.952,204097.650688,600.0,865.509376,115.33766276284625,0.0
0.0001,,,,,,,1682873674.0,7.113037109375,192.52644122048443,,,,18,,1.416000031895237e-06,,,1024.0,,0.002812855999763997,,,0.0,,,,,,,,,0.1431934430002002,,,50,31.0,0.1662109359999704,,,,,,,
0.0001,,,,,,,1682873674.0,7.322021484375,195.12327781800553,,,,18,0.017429864999940037,1.684000380919315e-06,,,1056.0,,0.0028228610003679933,0.00046179500031939824,,0.0,0.0025860170003397798,,,,,,,,0.1406966630001989,,,51,32.0,0.16399888500154702,,,,,,,
0.0001,,,,,,,1682873674.0,7.3065185546875,195.72587175124912,,,,18,0.017169978999845625,1.6509998204128351e-06,,,1088.0,,0.002972210000280029,0.0004136460001973319,,0.0,0.002578310999979294,,,,,,,,0.1403581739996298,,,52,33.0,0.1634939709997525,,,,,,,
,0.0,3.3,0.0,0.07064862259983026,0.0,3.5000000000000004,1682873674.0,,,4974.460928,196.0,67429.0,18,0.017142610999599128,,66815.0,5585.088512,,27589.402624,,0.00043258799996692687,0.11700000000007549,,0.002554198000325414,0.11034307522993919,,,0.25199999999998113,1.2666666666666666,2.566666666666667,2.719744,,0.0,126.0,53,,,39362.0,3837.952,204092.141568,627.0,865.509376,90.87169703058579,0.0
0.0001,,,,,,,1682873675.0,7.2327880859375,195.11891616902764,,,,19,,1.8020000425167382e-06,,,1120.0,,0.0028638109997700667,,,0.0,,,,,,,,,0.1410075409999081,,,54,34.0,0.16400255099961214,,,,,,,
0.0001,,,,,,,1682873675.0,7.4508056640625,195.10299886716373,,,,19,0.0171140560000822,1.695999799267156e-06,,,1152.0,,0.002779388999897492,0.00042894699981843587,,0.0,0.002540277999742102,,,,,,,,0.1411515650002002,,,55,35.0,0.1640159309995397,,,,,,,
0.0001,,,,,,,1682873675.0,7.239013671875,194.3144384700549,,,,19,0.01750150099996972,1.8589998944662511e-06,,,1184.0,,0.0029417860000648943,0.0004310979998081166,,0.0,0.0025489510003353644,,,,,,,,0.1412563400003819,,,56,36.0,0.16468153500045446,,,,,,,
,0.0,3.3,0.0,0.1557919379764888,0.0,3.5000000000000004,1682873675.0,,,4972.35968,200.0,71161.0,19,0.017288270999870292,,69588.0,5585.092608,,27589.402624,,0.0004401510000207054,0.11800000000005184,,0.002502965000076074,0.016347896135612418,,,0.27199999999999136,1.2666666666666666,2.566666666666667,2.719744,,0.0,128.0,57,,,41451.0,3837.956096,204093.816832,655.0,865.509376,90.07333961475456,0.0
0.0001,,,,,,,1682873676.0,7.2830810546875,195.82655666336063,,,,20,,2.0190000213915482e-06,,,1216.0,,0.00277793399982329,,,0.0,,,,,,,,,0.14039857000034317,,,58,37.0,0.16340991000015492,,,,,,,
0.0001,,,,,,,1682873676.0,7.1185302734375,196.09506941386613,,,,20,0.017136932000084926,1.4359998203872237e-06,,,1248.0,,0.002513052000267635,0.0004333599999881699,,0.0,0.002543483999943419,,,,,,,,0.14055788900031985,,,59,38.0,0.16318615300042438,,,,,,,
0.0001,,,,,,,1682873676.0,7.2841796875,195.5582954346394,,,,20,0.017222569000296062,1.7300003491982352e-06,,,1280.0,,0.0026413240002511884,0.00043021800001952215,,0.0,0.002586178999990807,,,,,,,,0.1407520510001632,,,60,39.0,0.16363407100106997,,,,,,,
,0.0,3.3,0.0,0.06911565241288133,0.0,3.5000000000000004,1682873676.0,,,4977.709056,204.0,74823.0,20,0.017141105000064272,,72192.0,5585.096704,,27589.402624,,0.0006777769999644079,0.1190000000000282,,0.0025563950002833735,0.016347021152712946,,,0.2879999999999825,1.2666666666666666,2.566666666666667,2.719744,,0.0,132.0,61,,,44117.0,3837.960192,204088.48384,683.0,865.509376,86.99804038622372,0.0
0.0001,,,,,,,1682873677.0,7.132080078125,193.08261382906213,,,,21,,2.1979999473842327e-06,,,1312.0,,0.002738393000072392,,,0.0,,,,,,,,,0.1426162990001103,,,62,40.0,0.16573216700044213,,,,,,,
0.0001,,,,,,,1682873677.0,7.00616455078125,193.62770613999587,,,,21,0.0172238400000424,1.4949996511859354e-06,,,1344.0,,0.0028703129996756616,0.0004376240003693965,,0.0,0.002530562000174541,,,,,,,,0.14220177100014553,,,63,41.0,0.1652656050000587,,,,,,,
0.0001,,,,,,,1682873677.0,7.373046875,197.0473598468474,,,,21,0.017195859999901586,1.4740003280167002e-06,,,1376.0,,0.0027724199999283883,0.00041667599998618243,,0.0,0.0025270749997616804,,,,,,,,0.13948400199979005,,,64,42.0,0.1623975069996959,,,,,,,
,0.0,3.3,0.0,0.16742015861763798,0.0,3.5000000000000004,1682873677.0,,,4979.130368,208.0,79039.0,21,0.017134655000063503,,75045.0,5585.104896,,27589.402624,,0.0004436589997567353,0.12100000000009459,,0.002510719999918365,0.016346912271601892,,,0.30400000000000205,1.2666666666666666,2.566666666666667,2.719744,,0.0,136.0,65,,,47847.0,3837.964288,204075.610112,712.0,865.509376,94.41162373902007,0.0
0.0001,,,,,,,1682873678.0,7.064453125,194.58588963780784,,,,22,,1.3769999895885121e-06,,,1408.0,,0.0027790069998445688,,,0.0,,,,,,,,,0.1415823829997862,,,66,43.0,0.16445180099935897,,,,,,,
0.0001,,,,,,,1682873678.0,7.02099609375,195.77996649311416,,,,22,0.017171163000057277,1.6280000636470504e-06,,,1440.0,,0.0028780409998034884,0.0004251589998602867,,0.0,0.0025890390002132335,,,,,,,,0.140383767000003,,,67,44.0,0.16344879700000092,,,,,,,
0.0001,,,,,,,1682873678.0,7.2962646484375,194.47355504262433,,,,22,0.017265765000047395,1.8719997569860425e-06,,,1472.0,,0.0028359580001051654,0.0004358039996077423,,0.0,0.0025632050001149764,,,,,,,,0.1414441900001293,,,68,45.0,0.16454679399976158,,,,,,,
,0.0,3.3,0.0,0.08860351267556721,0.0,3.5333333333333337,1682873678.0,,,4983.246848,216.0,83697.0,22,0.017081971999687084,,78133.0,5585.113088,,27589.402624,,0.00041896300035659806,0.12400000000002365,,0.0025580229998922732,0.08173137282801081,,,0.32399999999998386,1.7000000000000002,2.6333333333333333,2.719744,,0.0,142.0,69,,,51671.0,3837.964288,204064.550912,738.0,865.509376,98.16170140972997,0.0
0.0001,,,,,,,1682873679.0,7.4058837890625,194.86774031112756,,,,23,,1.4709999049955513e-06,,,1504.0,,0.0028789840002900746,,,0.0,,,,,,,,,0.14127452999991874,,,70,46.0,0.16421394300004977,,,,,,,
0.0001,,,,,,,1682873679.0,7.3836669921875,192.80246351919533,,,,23,0.01718213399999513,1.5669997992517892e-06,,,1536.0,,0.002864836999833642,0.00043161500025235,,0.0,0.0025569350000296254,,,,,,,,0.14293589499993686,,,71,47.0,0.16597298299984686,,,,,,,
