_runtime,02_timing/dataload_time_s,memory/total_memory_sys_MB,process/voluntary_proc_ctx_switches,cpu/interrupts/soft_interrupts_count,process/involuntary_proc_ctx_switches,01_general/lr,01_general/step,01_general/step_based_sps,02_timing/opt_step_time_s,memory/used_memory_sys_MB,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/disk_write_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/data_resident_set_proc_MB,process/memory/lib_memory_proc_MB,01_general/dataset_iteration_count,process/memory/dirty_pages_proc_count,process/memory/virtual_memory_size_proc_MB,_step,02_timing/forward_time_s,disk/counter/disk_read_sys_count,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,memory/used_memory_sys_percent,disk/time/disk_write_time_sys_s,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_one_min_percent,cpu/load/avg_sys_load_five_min_percent,_timestamp,02_timing/backward_time_s,02_timing/loss_calc_time_s,disk/time/disk_busy_time_sys_s,disk/time/disk_read_time_sys_s,process/memory/text_resident_set_proc_MB,02_timing/step_time_s,01_general/minibatch_loss,memory/available_memory_sys_MB,cpu/interrupts/ctx_switches_count,process/memory/shared_memory_proc_MB,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/load/avg_sys_load_fifteen_min_percent,cpu/logical_core_count,cpu/interrupts/interrupts_count,01_general/locally_processed_samples
13,,,409.0,36596.0,525.0,,,,1.4870001905364916e-06,4374.724608,0.0,0.016348565087412788,88.69976251990207,0.0,5527.851008,,0.0,27130.228736,35,0.017010455999297847,0.0,147.0,3835.805696,3.0,0.03899999999998727,0.0024762609991739737,1.2666666666666666,2.733333333333333,1680626762.0,0.14220863100035785,0.0004629929999282467,0.160000000000025,0.0,2.719744,,,204841.058304,25224.0,869.888,0.06295953751297803,4.1000000000000005,,41575.0,
13,0.003093821000220487,,,,,0.0001,21.0,193.64171498664413,,,,,,,,0.0,,,36,,,,,,,,,,1680626762.0,,,,,,0.16525364899916895,7.096435546875,,,,,,,,704.0
14,0.002724621000197658,,,,,0.0001,22.0,193.76743414993908,1.5400000847876072e-06,,,,,,,0.0,,,37,0.017008238999551395,,,,,,0.002494884999578062,,,1680626763.0,0.14248069199948077,0.00043645300047501223,,,,0.16514642999936768,7.066650390625,,,,,,,,736.0
14,0.0029117430003680056,,,,,0.0001,23.0,195.95113397491258,1.4739998732693493e-06,,,,,,,0.0,,,38,0.017122141000072588,,,,,,0.0025840899998001987,,,1680626763.0,0.14023256200016476,0.0004540110003290465,,,,0.16330602100060787,7.116943359375,,,,,,,,768.0
14,0.002828130000125384,,,,,0.0001,24.0,195.34143638165293,1.5199993868009187e-06,,,,,,,0.0,,,39,0.01737531799972203,,,,,,0.0024683429992364836,,,1680626763.0,0.14065635800034215,0.00048606100062897895,,,,0.16381572999944183,7.2431640625,,,,,,,,800.0
14,,,435.0,40802.0,615.0,,,,,4374.2208,0.0,0.05313129443212467,93.98993038360237,0.0,5527.851008,,0.0,27130.228736,40,,0.0,156.0,3818.5984,3.0,0.04199999999997317,,1.2666666666666666,2.733333333333333,1680626763.0,,,0.18400000000002592,0.0,2.719744,,,204845.514752,26908.0,852.680704,0.15061317058451806,4.1000000000000005,,44722.0,
15,0.0030046699994272785,,,,,0.0001,25.0,194.85597163200055,2.2059994080336764e-06,,,,,,,0.0,,,41,0.017051735999302764,,,,,,0.0025720079993334366,,,1680626764.0,0.1411522900007185,0.00044095100020058453,,,,0.1642238609983906,7.0892333984375,,,,,,,,832.0
15,0.0029749389996140962,,,,,0.0001,26.0,194.79875395640997,1.9199997041141614e-06,,,,,,,0.0,,,42,0.017398224000316986,,,,,,0.0025004399994941195,,,1680626764.0,0.14094087200010108,0.0004557029997158679,,,,0.16427209799894626,7.0948486328125,,,,,,,,864.0
15,0.002970139999888488,,,,,0.0001,27.0,194.35138589662088,1.897999936772976e-06,,,,,,,0.0,,,43,0.017268233000322653,,,,,,0.0025895629996739444,,,1680626764.0,0.1413630719998764,0.0004573220003294409,,,,0.1646502280000277,7.3531494140625,,,,,,,,896.0
15,,,465.0,45113.0,667.0,,,,,4369.57184,0.0,0.016345189809868096,95.42498190856928,0.0,5527.851008,,0.0,27130.228736,44,,0.0,160.0,3835.826176,2.9,0.043000000000006366,0.002493293000043195,1.2666666666666666,2.733333333333333,1680626764.0,,,0.20000000000004547,0.0,2.719744,,,204865.032192,28593.0,869.904384,0.06213247199793845,4.1000000000000005,,47894.0,
16,0.0029132560002835817,,,,,0.0001,28.0,197.57275693984207,1.4710003597429022e-06,,,,,,,0.0,,,45,0.018513469999561494,,,,,,,,,1680626765.0,0.1375722239999959,0.0004719359994851402,,,,0.16196564999972907,7.4713134765625,,,,,,,,928.0
16,0.0029510099993785843,,,,,0.0001,29.0,196.05509577106767,1.6389994925702922e-06,,,,,,,0.0,,,46,0.017012993000207643,,,,,,0.0024140080004144693,,,1680626765.0,0.14039821999995183,0.00044155500017950544,,,,0.1632194249996246,7.1494140625,,,,,,,,960.0
16,0.003006588000062038,,,,,0.0001,30.0,195.79314205026662,1.5639998309779912e-06,,,,,,,0.0,,,47,0.01738615599970217,,,,,,0.0026068289998875116,,,1680626765.0,0.14000176099943928,0.0004349000000729575,,,,0.16343779799899494,7.177978515625,,,,,,,,992.0
16,,,518.0,50026.0,726.0,,,,,4370.88256,0.0,0.016348343396238488,102.48698244305365,0.0,5527.851008,,0.0,27130.228736,48,0.01819476999935432,0.0,164.0,3835.809792,2.9,0.04399999999998272,0.002485335000528721,1.2666666666666666,2.733333333333333,1680626765.0,,0.000433727000199724,0.22000000000002728,0.0,2.719744,,,204863.721472,30485.0,869.888,0.18328025601824358,4.1000000000000005,,51482.0,
17,0.0029490229999282747,,,,,0.0001,31.0,193.90243613530376,1.4540000847773626e-06,,,,,,,0.0,,,49,,,,,,,,,,1680626766.0,0.14096713999970234,,,,,0.16503144899979816,7.30322265625,,,,,,,,1024.0
17,0.0028787390001525637,,,,,0.0001,32.0,195.9098240785096,1.8360005924478173e-06,,,,,,,0.0,,,50,0.0169928040004379,,,,,,0.002512639999622479,,,1680626766.0,0.14051982199998747,0.0004346149999037152,,,,0.16334045600069658,7.3575439453125,,,,,,,,1056.0
17,0.003117457999906037,,,,,0.0001,33.0,195.20452511482685,1.7339998521492817e-06,,,,,,,0.0,,,51,0.01706152899987501,,,,,,0.0024561509999330156,,,1680626766.0,0.1408504549999634,0.0004432989999259007,,,,0.16393062599945551,7.06396484375,,,,,,,,1088.0
17,,,541.0,53395.0,777.0,,,,,4376.670208,0.0,0.05721754121114594,93.60910275631299,0.0,5527.851008,,0.0,27130.228736,52,0.01749377500073024,0.0,170.0,3835.830272,2.9,0.04800000000000182,0.0024295109997183317,1.4333333333333333,2.7666666666666666,1680626766.0,,0.00043293199996696785,0.2480000000000473,0.0,2.719744,,,204858.359808,32973.0,869.904384,0.06537551095340402,4.1000000000000005,,54040.0,
18,0.002732978000494768,,,,,0.0001,34.0,194.1051938890778,1.838000571297016e-06,,,,,,,0.0,,,53,,,,,,,,,,1680626767.0,0.14176802699967084,,,,,0.16485906100115244,7.3204345703125,,,,,,,,1120.0
18,0.0027746050000132527,,,,,0.0001,35.0,194.4632697380671,1.770999915606808e-06,,,,,,,0.0,,,54,0.016985458999442926,,,,,,0.0024291740000990103,,,1680626767.0,0.14192051000009087,0.00044397800047590863,,,,0.16455549700003758,7.063232421875,,,,,,,,1152.0
18,0.0029373689994827146,,,,,0.0001,36.0,195.53115022583762,1.8360005924478173e-06,,,,,,,0.0,,,55,0.01714415900005406,,,,,,0.002475192000019888,,,1680626767.0,0.14064916299957986,0.0004490690007514786,,,,0.16365678800048045,7.091552734375,,,,,,,,1184.0
18,,,565.0,57047.0,801.0,,,,,4388.20864,0.0,0.016347561683870644,90.68814636211201,0.0,5527.851008,,0.0,27130.228736,56,0.017175445999782823,0.0,174.0,3835.813888,3.0,0.04899999999997817,0.0025446700001339195,1.4333333333333333,2.7666666666666666,1680626767.0,,0.00045066900020174216,0.26400000000001,0.0,2.719744,,,204846.424064,36662.0,869.888,0.14935509119136872,4.1000000000000005,,56634.0,
19,0.0027968909998890013,,,,,0.0001,37.0,195.0284921391397,1.4079996617510915e-06,,,,,,,0.0,,,57,,,,,,,,,,1680626768.0,0.14110950600024807,,,,,0.1640785899999173,7.349609375,,,,,,,,1216.0
19,0.003011666000020341,,,,,0.0001,38.0,194.62306110869974,1.6369995137210935e-06,,,,,,,0.0,,,58,0.017107858000599663,,,,,,0.002489319000233081,,,1680626768.0,0.14135746500051027,0.0004524470004980685,,,,0.16442039200137515,7.1668701171875,,,,,,,,1248.0
19,0.0028317109999989043,,,,,0.0001,39.0,193.89594479701407,1.3629996828967705e-06,,,,,,,0.0,,,59,0.01714008700037084,,,,,,0.0024328589997821837,,,1680626768.0,0.14218797299963626,0.0004429809996508993,,,,0.16503697399912198,7.2569580078125,,,,,,,,1280.0
19,,,590.0,61289.0,851.0,,,,,4395.25376,0.0,0.17573787678913622,105.71374044065904,0.0,5527.855104,,0.0,27130.228736,60,0.01709116699930746,0.0,197.0,3835.830272,3.0,0.06399999999996453,0.0024831259997881716,1.4333333333333333,2.7666666666666666,1680626768.0,,0.0004362170002423227,0.28400000000004866,0.0,2.719744,,,204839.817216,40880.0,869.904384,0.0776596022537185,4.1000000000000005,,59598.0,
20,0.0027714489997379133,,,,,0.0001,40.0,194.88422455224818,1.6299991330015473e-06,,,,,,,0.0,,,61,,,,,,,,,,1680626769.0,0.14141646400003083,,,,,0.1642000529982397,7.382568359375,,,,,,,,1312.0
20,0.002967624999655527,,,,,0.0001,41.0,194.58794494655712,1.6140002117026597e-06,,,,,,,0.0,,,62,0.017335485000330664,,,,,,0.0025738509993971093,,,1680626769.0,0.1411164289993394,0.000455060000604135,,,,0.16445006399953854,7.0662841796875,,,,,,,,1344.0
20,0.0028520460000436287,,,,,0.0001,42.0,194.38540122759227,1.6140002117026597e-06,,,,,,,0.0,,,63,0.016857446000358323,,,,,,0.002532598000470898,,,1680626769.0,0.1419366700001774,0.0004410419996929704,,,,0.16462141600095492,7.3431396484375,,,,,,,,1376.0
20,,,612.0,64718.0,889.0,,,,,4399.59552,0.0,0.01634740612958365,90.6982987662853,0.0,5527.8592,,0.0,27130.228736,64,0.018367751999903703,0.0,201.0,3835.82208,3.0,0.06499999999999773,0.0024283929997181986,1.4333333333333333,2.7666666666666666,1680626769.0,,0.000483600000734441,0.30000000000001137,0.0,2.719744,,,204835.418112,44376.0,869.888,0.14066112837060674,4.1000000000000005,,62039.0,
21,0.0029653600004166947,,,,,0.0001,43.0,194.60683286542277,2.4949995349743403e-06,,,,,,,0.0,,,65,,,,,,,,,,1680626770.0,0.14018650300022273,,,,,0.16443410300053074,7.4068603515625,,,,,,,,1408.0
21,0.003138057999422017,,,,,0.0001,44.0,193.10087154534568,1.5519999578827992e-06,,,,,,,0.0,,,66,0.01713231400026416,,,,,,0.002520111000194447,,,1680626770.0,0.1424713400001565,0.00045312199927138863,,,,0.16571649699926638,7.2760009765625,,,,,,,,1440.0
21,0.002534887999900093,,,,,0.0001,45.0,194.9474138495463,1.6760004655225202e-06,,,,,,,0.0,,,67,0.01792376699995657,,,,,,0.0025280609997935244,,,1680626770.0,0.14070059899950138,0.00045783899986417964,,,,0.16414682999948127,7.0556640625,,,,,,,,1472.0
