_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,03_hivemind/num_peers,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
47,34,,,1681306070,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008023620000017218,0.0010609140000497064,0.03193467900007363,0.01666814300006081,0.10981208500004414,4.0,448.0,12.618749618530273,0.16864236300023094,0.0,0.0001,0.0011429219999854467,0.0,13.0
48,34,,,1681306070,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008097757000086858,0.001059981999901538,0.03100992400004543,0.01717118900000969,0.11173724200000379,4.0,480.0,12.739355087280273,0.1699622820001423,0.0,0.0001,0.0008861880000949895,0.0,14.0
49,34,,,1681306070,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008091137000064919,0.001124204000007012,0.03166089399996963,0.0170565670000542,0.11154899200005275,4.0,512.0,12.600637435913086,0.17056868300016959,0.0,0.0001,0.001086889000021074,0.0,15.0
50,34,,,1681306070,8.125,0.0,0.32800000000000296,10745.933824,5.787376894961283,65084.0,1.0635240614225705,5095.899136,293.0,12098.162688,2.0,0.0,0.0,8.625,42147.0,34.79756629179773,17448.460288,2.711552,2564.0,0.3690000000001419,7937.359872,0.0,125010.0,47.4,10.75,37054.976,84.0,0.008055235000028915,0.0010340789999645494,0.03165541999999277,,,,,,,,,,,
51,34,,,1681306070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017074175000061587,0.11190558399994188,4.0,544.0,12.73655891418457,0.17066255600002478,0.0,0.0001,0.000938063000035072,0.0,16.0
52,35,,,1681306071,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007402070000011918,0.0010888000000477405,0.03872532799994133,0.017074585000045772,0.10526845100002902,4.0,576.0,12.65614128112793,0.1704497650000576,0.0,0.0001,0.0008905309999818201,0.0,17.0
53,35,,,1681306071,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008096350000073471,0.0010815030000230763,0.03215751899995212,0.017224057000021276,0.11008673399999225,4.0,608.0,12.731385231018066,0.16956951600002412,0.0,0.0001,0.000923352999961935,0.0,18.0
54,35,,,1681306071,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008085055000037755,0.0009942140000021027,0.031193484000027638,0.017212449999988166,0.11140484599991396,4.0,640.0,12.680379867553711,0.16976756200006093,0.0,0.0001,0.0008775130000913123,0.0,19.0
55,35,,,1681306071,8.125,0.0,0.34799999999998477,10748.178432,0.1020841073916347,72186.0,0.9130067601651654,5095.899136,302.0,12098.166784,2.0,0.0,0.0,8.625,46671.0,31.613286747299,17446.109184,2.711552,2611.0,0.37400000000002365,7937.37216,0.0,132070.0,47.4,10.75,37054.976,85.0,,,,,,,,,,,,,,
56,35,,,1681306071,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008906720000027235,0.0011123060000954865,0.03211813100006111,0.01781287300002532,0.10484448600004725,4.0,672.0,12.697452545166016,0.16565524100019502,0.0,0.0001,0.0008607249999386113,0.0,20.0
