03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_per_second,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_6_samples_accumulated,04_peers/peer_7_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_6_epoch,04_peers/peer_8_samples_per_second,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_8_epoch_oos
395,186.35121031397642,8,232,64,0.0,138,4,0.5,127.94610267659665,1696169912,0,104.0,4.0,14.72,0.0,,,,,,,,104.0,4.0,0.0,16.5,19.0,30.22,0.0,1.0,3.0,3.0,8.0,19.75,8.0,3.0,1.0,1.0,3.0,0.0,33.77,32.68,0.0,3.0,19.66,1.0,8.0,3.0,1.0,1.0
564,186.35121031397642,8,232,65,0.0,139,4,0.5,127.94610267659665,1696169913,0,104.0,4.0,14.72,0.0,,,,,,,,104.0,4.0,0.0,16.5,19.0,31.13,8.0,1.0,3.0,4.0,8.0,19.75,8.0,3.0,1.0,0.0,4.0,8.0,33.96,31.64,8.0,4.0,19.66,0.0,8.0,3.0,0.0,1.0
733,186.35121031397642,8,232,66,0.0,140,4,0.5,127.94610267659665,1696169914,0,104.0,4.0,14.72,0.0,,,,,,,,104.0,4.0,0.0,16.5,19.0,31.13,8.0,1.0,3.0,4.0,8.0,19.75,8.0,3.0,1.0,0.0,4.0,8.0,33.96,31.64,8.0,4.0,19.66,0.0,8.0,3.0,0.0,1.0
903,186.35121031397642,8,232,67,0.0,142,4,0.5,127.94610267659665,1696169916,0,104.0,4.0,14.72,0.0,,,,,,,,104.0,4.0,0.0,16.5,19.0,31.13,8.0,1.0,3.0,4.0,8.0,19.75,8.0,3.0,1.0,0.0,4.0,8.0,33.96,31.64,8.0,4.0,19.66,0.0,8.0,3.0,0.0,1.0
1071,186.35121031397642,8,232,68,0.0,143,4,0.5,127.94610267659665,1696169917,0,104.0,4.0,14.72,0.0,,,,,,,,104.0,4.0,0.0,16.5,19.0,31.13,8.0,1.0,3.0,4.0,8.0,19.75,8.0,3.0,1.0,0.0,4.0,8.0,33.96,31.64,8.0,4.0,19.66,0.0,8.0,3.0,0.0,1.0
1239,186.35121031397642,8,232,69,0.0,144,4,0.5,127.94610267659665,1696169918,0,104.0,4.0,14.72,0.0,,,,,,,,104.0,4.0,0.0,16.5,19.0,31.13,8.0,1.0,3.0,4.0,8.0,19.75,8.0,3.0,1.0,0.0,4.0,8.0,33.96,31.64,8.0,4.0,19.66,0.0,8.0,3.0,0.0,1.0
1407,186.35121031397642,8,232,70,0.0,146,4,0.5,127.94610267659665,1696169920,0,104.0,4.0,14.72,0.0,,,,,,,,104.0,4.0,0.0,16.5,19.0,31.13,8.0,1.0,3.0,4.0,8.0,19.75,8.0,3.0,1.0,0.0,4.0,8.0,33.96,31.64,8.0,4.0,19.66,0.0,8.0,3.0,0.0,1.0
1577,186.35121031397642,8,232,71,0.0,147,4,0.5,127.94610267659665,1696169921,0,104.0,4.0,14.72,0.0,,,,,,,,104.0,4.0,0.0,16.5,19.0,31.13,8.0,1.0,3.0,4.0,8.0,19.75,8.0,3.0,1.0,0.0,4.0,8.0,33.96,31.64,8.0,4.0,19.66,0.0,8.0,3.0,0.0,1.0
1745,186.35121031397642,8,232,72,0.0,148,4,0.5,127.94610267659665,1696169922,0,104.0,4.0,14.72,0.0,,,,,,,,104.0,4.0,0.0,16.5,19.0,31.13,8.0,1.0,3.0,4.0,8.0,19.75,8.0,3.0,1.0,0.0,4.0,8.0,33.96,31.64,8.0,4.0,19.66,0.0,8.0,3.0,0.0,1.0
1914,186.35121031397642,8,232,73,0.0,149,4,0.5,127.94610267659665,1696169923,0,104.0,4.0,14.72,0.0,,,,,,,,104.0,4.0,0.0,16.5,19.0,31.13,8.0,1.0,3.0,4.0,8.0,19.75,8.0,3.0,1.0,0.0,4.0,8.0,33.96,31.64,8.0,4.0,19.66,0.0,8.0,3.0,0.0,1.0
2083,186.35121031397642,8,232,74,0.0,151,4,0.5,127.94610267659665,1696169925,0,104.0,4.0,14.72,0.0,,,,,,,,104.0,4.0,0.0,16.5,19.0,31.13,8.0,1.0,3.0,4.0,8.0,19.75,8.0,3.0,1.0,0.0,4.0,8.0,33.96,31.64,8.0,4.0,19.66,0.0,8.0,3.0,0.0,1.0
2253,186.35121031397642,8,232,75,0.0,152,4,0.5,127.94610267659665,1696169926,0,104.0,4.0,14.72,0.0,,,,,,,,104.0,4.0,0.0,16.5,19.0,31.13,8.0,1.0,3.0,4.0,8.0,19.75,8.0,3.0,1.0,0.0,4.0,8.0,33.96,31.64,8.0,4.0,19.66,0.0,8.0,3.0,0.0,1.0
2422,186.35121031397642,8,232,76,0.0,153,4,0.5,127.94610267659665,1696169927,0,104.0,4.0,14.72,0.0,,,,,,,,104.0,4.0,0.0,16.5,19.0,31.13,8.0,1.0,3.0,4.0,8.0,19.75,8.0,3.0,1.0,0.0,4.0,8.0,33.96,31.64,8.0,4.0,19.66,0.0,8.0,3.0,0.0,1.0
2594,186.35121031397642,8,232,77,0.0,155,4,0.5,127.94610267659665,1696169929,0,104.0,4.0,14.72,0.0,,,,,,,,104.0,4.0,0.0,16.5,19.0,31.13,8.0,1.0,3.0,4.0,8.0,19.75,8.0,3.0,1.0,0.0,4.0,8.0,33.96,31.64,8.0,4.0,19.66,0.0,8.0,3.0,0.0,1.0
100,184.4464407381644,8,0,78,0.85,156,5,0.62,96.30436511765382,1696169930,0,104.0,4.0,14.72,0.0,,,,,,,,104.0,4.0,0.0,16.5,19.0,31.13,8.0,1.0,3.0,4.0,8.0,19.75,8.0,3.0,1.0,0.0,4.0,8.0,33.96,31.64,8.0,4.0,19.66,0.0,8.0,3.0,0.0,1.0
