_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,03_hivemind/num_peers,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
35,26,,,1681082360,2.125,2.6110000000000007,3.1920000000000073,6739.74272,0.04495507812601635,46684.0,0.9214912987410555,2368.761856,134.0,6157.324288,2187.0,0.0,0.0,7.375,31579.0,30.24268270937589,22626.074624,2.654208,2589.0,0.1859999999996944,4725.436416,0.0,274454.0,28.3,1.7500000000000002,28144.857088,85.0,0.006966872000703006,0.0008971560000645695,0.026654801000404404,,,,,,,,,,,
36,27,,,1681082361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10389947499970731,0.34156701499978226,6.0,320.0,6.980712890625,0.4846705580011985,0.0,0.0001,0.004685239000536967,0.0,9.0
37,27,,,1681082361,2.125,2.6110000000000007,3.200000000000017,6747.009024,0.00816172170236443,48438.0,0.6955396916729191,2368.733184,136.0,6157.295616,2187.0,0.0,0.0,7.375,33382.0,54.9802107938748,22599.524352,2.654208,2606.0,0.18699999999989814,4725.436416,0.0,277071.0,28.4,1.7500000000000002,28144.857088,86.0,0.006830164000348304,0.0008562500006519258,0.026016103999609186,,0.3423966919999657,,,,,,,,,
38,28,,,1681082362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10394453600019915,,6.0,352.0,7.1771240234375,0.4841589110010318,0.0,0.0001,0.004115165000257548,0.0,10.0
39,28,,,1681082362,2.125,2.6110000000000007,3.2079999999999984,6751.756288,0.008166088078334188,50192.0,0.8323189580104191,2368.761856,138.0,6157.324288,2187.0,0.0,0.0,7.375,35010.0,36.53377819821773,22594.777088,2.654208,2629.0,0.1889999999993961,4725.440512,0.0,279554.0,28.4,1.7500000000000002,28144.857088,87.0,0.006635513999754039,0.0008824189999359078,0.025680624000415264,0.10424114499983261,0.35467733400037105,,,,,,,,,
40,29,,,1681082363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,384.0,7.3497314453125,0.4967810449998069,0.0,0.0001,0.004664008999498037,0.0,11.0
41,29,,,1681082363,2.125,2.6110000000000007,3.219999999999999,6752.6656,0.008168850758715781,51978.0,0.7746447780867305,2368.733184,140.0,6157.295616,2187.0,0.0,0.0,7.375,36509.0,32.53481742786678,22593.867776,2.654208,2642.0,0.18999999999959982,4725.440512,0.0,281928.0,28.4,1.7500000000000002,28144.857088,89.0,0.0066483179998613195,0.0007610510001541115,0.02484411800014641,0.1048854440005016,0.34361767900009,,,,,,,,,
42,30,,,1681082364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,416.0,7.1239013671875,0.48509819400078413,0.0,0.0001,0.004341584000030707,0.0,12.0
43,30,,,1681082364,2.25,2.6110000000000007,3.2319999999999993,6753.349632,0.008171560890079714,54345.0,1.0058122129184324,2368.761856,142.0,6157.594624,2187.0,0.0,0.0,7.75,38072.0,30.005604502347264,22593.175552,2.654208,2655.0,0.19200000000000728,4725.772288,0.0,284624.0,28.4,2.0,28145.119232,89.0,0.00659959400036314,0.0008238979999077856,0.025404260999494,0.10520445900056075,0.3433822319993851,,,,,,,,,
44,30,,,1681082364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,448.0,7.1131591796875,0.4856319959999382,0.0,0.0001,0.0042175520002274425,0.0,13.0
45,31,,,1681082365,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00657424400014861,0.0006796319994464284,0.02531147100035014,0.10445238400006929,0.34564670700001443,8.0,480.0,7.4512939453125,0.48714406300041446,0.0,0.0001,0.0044796250003855675,0.0,14.0
46,31,,,1681082365,2.25,2.6110000000000007,3.248000000000019,6751.346688,0.044932663741645784,56503.0,1.0367382436253987,2368.761856,146.0,6157.594624,2187.0,0.0,0.0,7.75,39581.0,29.742048660978103,22614.315008,2.654208,2679.0,0.19499999999970896,4725.772288,0.0,287148.0,28.3,2.0,28145.119232,90.0,0.00679817499985802,0.0008501189995513414,0.025657389000116382,,,,,,,,,,,
47,32,,,1681082366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10430221299975528,0.3432554179998988,8.0,512.0,7.239013671875,0.4854979599995204,0.0,0.0001,0.004634646000340581,0.0,15.0
48,32,,,1681082366,2.25,2.6110000000000007,3.2600000000000193,6751.772672,0.016339127141191314,58469.0,0.9164670665146497,2368.733184,150.0,6157.565952,2187.0,0.0,0.0,7.75,41227.0,35.39167430132799,22594.756608,2.654208,2692.0,0.19799999999941065,4725.776384,0.0,289680.0,28.4,2.0,28145.119232,93.0,0.006746510999619204,0.0007674879998376127,0.025053152000509726,,,,,,,,,,,
49,33,,,1681082367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10600935899947217,0.3490982729999814,8.0,544.0,7.1322021484375,0.4921052209992922,0.0,0.0001,0.004430437999872083,0.0,16.0
50,33,,,1681082367,2.25,2.6110000000000007,3.2760000000000105,6752.52224,0.17165670722295528,60344.0,0.8295224164955582,2368.761856,173.0,6157.594624,2187.0,0.0,0.0,7.75,42660.0,29.829719333230383,22594.158592,2.654208,2714.0,0.21999999999934516,4725.776384,0.0,292006.0,28.4,2.0,28145.119232,95.0,0.006639864000135276,0.0009894790000544162,0.026374099999884493,,0.3506573369995749,,,,,,,,,
51,34,,,1681082368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10494862999985344,,8.0,576.0,7.00604248046875,0.49395085299966013,0.0,0.0001,0.0043414430001575965,0.0,17.0
52,34,,,1681082368,2.25,2.6110000000000007,3.2920000000000016,6757.842944,0.053121007692472404,62371.0,0.868571572722513,2368.733184,177.0,6157.631488,2187.0,0.0,0.0,7.75,44366.0,39.49471901268555,22588.698624,2.654208,2736.0,0.22399999999925058,4725.78048,0.0,294672.0,28.4,2.0,28145.119232,96.0,0.006746501000634453,0.0007423229999403702,0.027418492999458977,0.10490238300008059,0.343959163999898,,,,,,,,,
53,35,,,1681082369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,608.0,7.2960205078125,0.48901107300025615,0.0,0.0001,0.005242209000243747,0.0,18.0
54,35,,,1681082369,2.375,2.6110000000000007,3.304000000000002,6754.271232,0.01634476993832054,64134.0,0.6980525623126244,2368.761856,181.0,6157.66016,2187.0,0.0,0.0,9.125,45355.0,8.114875002967986,22592.270336,2.654208,2750.0,0.22699999999986176,4725.784576,0.0,296553.0,28.4,2.375,28145.119232,97.0,0.006693919000099413,0.0007413049997921917,0.02670723800019914,0.10602559899962216,0.3475401719997535,,,,,,,,,
55,36,,,1681082370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,640.0,7.40576171875,0.4920368060002147,0.0,0.0001,0.0043285730007482925,0.0,19.0
56,36,,,1681082370,2.375,2.6110000000000007,3.3160000000000025,6757.781504,0.008171916546117153,65864.0,0.8861422003148901,2368.733184,183.0,6157.631488,2187.0,0.0,0.0,9.125,47334.0,49.56351178592372,22588.751872,2.654208,2761.0,0.22899999999935972,4725.784576,0.0,299353.0,28.4,2.375,28145.119232,98.0,0.006565024000337871,0.0007289610002771951,0.024608271999568387,0.10612892099925375,0.3507678729993131,,,,,,,,,
57,36,,,1681082370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,672.0,7.202880859375,0.49312100899896905,0.0,0.0001,0.0043219580002187286,0.0,20.0
58,37,,,1681082371,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006745616000443988,0.0006482799999503186,0.024835774000166566,0.10593005099963193,0.3458560139997644,8.0,704.0,7.0963134765625,0.4890028109994091,0.0,0.0001,0.004987075999451918,0.0,21.0
59,37,,,1681082371,2.375,2.6110000000000007,3.328000000000003,6753.992704,0.0122580468230381,68097.0,0.766343400035721,2368.733184,186.0,6157.635584,2187.0,0.0,0.0,9.125,48973.0,28.621829071824926,22611.685376,2.654208,2781.0,0.23099999999976717,4725.788672,0.0,302093.0,28.3,2.375,28145.119232,102.0,0.0066411320003680885,0.0007506950005335966,0.025386770999830333,,,,,,,,,,,
60,38,,,1681082372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10606299599930935,0.3493319720000727,8.0,736.0,7.0667724609375,0.49246581599982164,0.0,0.0001,0.004292249999707565,0.0,22.0
61,38,,,1681082372,2.375,2.6110000000000007,3.3400000000000034,6752.985088,0.05312201849811065,69866.0,0.8392576588701531,2368.75776,190.0,6157.672448,2187.0,0.0,0.0,9.125,50529.0,36.373570273758986,22593.683456,2.654208,2799.0,0.23399999999946886,4725.792768,0.0,304484.0,28.4,2.375,28145.119232,107.0,0.0067543999994086334,0.0007805440000083763,0.02541894899968611,,,,,,,,,,,
62,39,,,1681082373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10553791399979673,0.3505394489993705,8.0,768.0,7.1168212890625,0.4930956529979085,0.0,0.0001,0.00406439699963812,0.0,23.0
63,39,,,1681082373,2.375,2.6110000000000007,3.348000000000013,6754.516992,0.04902038851053279,71574.0,0.8858456535743042,2368.729088,197.0,6157.643776,2187.0,0.0,0.0,9.125,51933.0,29.54937689854934,22592.02048,2.654208,2811.0,0.24099999999998545,4725.792768,0.0,306711.0,28.4,2.375,28145.119232,109.0,0.006766331999642716,0.0007061179994707345,0.025461950000135403,,0.35385609999957524,,,,,,,,,
64,40,,,1681082374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10597963200052618,,8.0,800.0,7.2431640625,0.49725156299882656,0.0,0.0001,0.004481430999476288,0.0,24.0
65,40,,,1681082374,2.625,2.6110000000000007,3.356000000000023,6760.18176,0.008172175047800866,74210.0,1.0162147554150733,2368.765952,199.0,6157.979648,2187.0,0.0,0.0,12.5,54141.0,48.43249118171039,22586.351616,2.654208,2829.0,0.2429999999994834,4726.124544,0.0,310177.0,28.4,3.125,28145.381376,110.0,0.006609462000596977,0.0006861880001451937,0.025715708999996423,0.10601412399955734,0.35044079900035285,,,,,,,,,
66,41,,,1681082375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,832.0,7.089111328125,0.49386530600077094,0.0,0.0001,0.004399024000122154,0.0,25.0
67,41,,,1681082375,2.625,2.6110000000000007,3.3640000000000043,6803.64032,0.008172070090257999,76225.0,0.7933292416347688,2368.73728,201.0,6157.971456,2187.0,0.0,0.0,12.5,55815.0,36.838734297275806,22542.88896,2.654208,2845.0,0.24499999999989086,4726.124544,0.0,312821.0,28.6,3.125,28145.381376,114.0,0.006756747000508767,0.000767554000049131,0.02846778900038771,0.10529368600055022,0.3486367039995457,,,,,,,,,
68,42,,,1681082376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,864.0,7.0948486328125,0.4945103840009324,0.0,0.0001,0.004587903999890841,0.0,26.0
