03_hivemind/global_epoch,04_peers/peer_1_epoch_oos,03_hivemind/estimated_current_samples,03_hivemind/num_peers,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_accumulated,03_hivemind/epoch_based_sps,04_peers/peer_4_samples_per_second,04_peers/peer_5_samples_per_second,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/total_training_samples,04_peers/peer_3_samples_per_second,03_hivemind/epoch_s,03_hivemind/num_clients,03_hivemind/next_fetch_time_s,_runtime,_timestamp,04_peers/peer_2_epoch_oos,03_hivemind/overshot_TBS,04_peers/peer_4_epoch_oos,04_peers/peer_5_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_3_samples_accumulated,_step,04_peers/peer_3_epoch,04_peers/peer_4_epoch,03_hivemind/per_epoch_training_samples
0,0.0,164698,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,127,1681396976.0,0.0,,0.0,0.0,249.68,3808.0,65,0.0,0.0,
0,0.0,167564,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,129,1681396978.0,0.0,,0.0,0.0,249.68,3808.0,66,0.0,0.0,
0,0.0,170435,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,130,1681396979.0,0.0,,0.0,0.0,249.68,3808.0,67,0.0,0.0,
0,0.0,173297,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,131,1681396980.0,0.0,,0.0,0.0,249.68,3808.0,68,0.0,0.0,
0,0.0,176158,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,132,1681396981.0,0.0,,0.0,0.0,249.68,3808.0,69,0.0,0.0,
0,0.0,179010,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,133,1681396982.0,0.0,,0.0,0.0,249.68,3808.0,70,0.0,0.0,
0,0.0,181889,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,135,1681396984.0,0.0,,0.0,0.0,249.68,3808.0,71,0.0,0.0,
0,0.0,184745,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,136,1681396985.0,0.0,,0.0,0.0,249.68,3808.0,72,0.0,0.0,
0,0.0,187615,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,137,1681396986.0,0.0,,0.0,0.0,249.68,3808.0,73,0.0,0.0,
0,0.0,190468,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,138,1681396987.0,0.0,,0.0,0.0,249.68,3808.0,74,0.0,0.0,
0,0.0,193322,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,139,1681396988.0,0.0,,0.0,0.0,249.68,3808.0,75,0.0,0.0,
0,0.0,196176,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,141,1681396990.0,0.0,,0.0,0.0,249.68,3808.0,76,0.0,0.0,
0,0.0,199049,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,142,1681396991.0,0.0,,0.0,0.0,249.68,3808.0,77,0.0,0.0,
0,0.0,201921,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,143,1681396992.0,0.0,,0.0,0.0,249.68,3808.0,78,0.0,0.0,
0,0.0,204806,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,144,1681396993.0,0.0,,0.0,0.0,249.68,3808.0,79,0.0,0.0,
0,0.0,207678,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,146,1681396995.0,0.0,,0.0,0.0,249.68,3808.0,80,0.0,0.0,
0,0.0,210547,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,147,1681396996.0,0.0,,0.0,0.0,249.68,3808.0,81,0.0,0.0,
0,0.0,213416,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,148,1681396997.0,0.0,,0.0,0.0,249.68,3808.0,82,0.0,0.0,
0,0.0,216281,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,149,1681396998.0,0.0,,0.0,0.0,249.68,3808.0,83,0.0,0.0,
0,0.0,219150,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,150,1681396999.0,0.0,,0.0,0.0,249.68,3808.0,84,0.0,0.0,
0,0.0,222019,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,152,1681397001.0,0.0,,0.0,0.0,249.68,3808.0,85,0.0,0.0,
