03_hivemind/num_peers,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/overshot_TBS,03_hivemind/eta_next_epoch_s,04_peers/peer_3_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,_step,_runtime,04_peers/peer_1_epoch,04_peers/peer_4_epoch,03_hivemind/global_epoch,04_peers/peer_4_epoch_oos,04_peers/peer_1_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_3_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_3_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_2_epoch,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/estimated_current_samples,04_peers/peer_4_samples_per_second,03_hivemind/per_epoch_training_samples,_timestamp,03_hivemind/num_clients,03_hivemind/reached_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_per_second
4,4.41,2720.0,2624.0,2419.5691118062246,,7.72,2656.0,13792,,755.42,52,106,2.0,2.0,2,0.0,3040.0,2419.5691118062246,,2.0,0.0,0.0,,2.0,,0.0,14083,612.98,,1680697874.0,0,,717.11,722.58
4,3.42,3232.0,3488.0,2588.677893204931,,5.98,3200.0,16928,,687.58,53,107,2.0,2.0,2,0.0,3872.0,2588.677893204931,,2.0,0.0,0.0,,2.0,,0.0,17293,695.76,,1680697875.0,0,,527.87,508.36
4,3.26,4000.0,4320.0,2271.564445068632,,5.7,3968.0,19232,,661.24,54,109,2.0,2.0,2,0.0,4640.0,2271.564445068632,,2.0,0.0,0.0,,2.0,,0.0,19824,681.4,,1680697877.0,0,,633.28,612.76
4,2.19,4448.0,4864.0,2629.55821392607,,3.83,4416.0,22400,,717.63,55,110,2.0,2.0,2,0.0,5504.0,2629.55821392607,,2.0,0.0,0.0,,2.0,,0.0,22703,721.5,,1680697878.0,0,,406.21,426.22
4,1.36,5312.0,5568.0,2799.154217162023,,2.38,5216.0,25760,,676.55,56,111,2.0,2.0,2,0.0,6304.0,2799.154217162023,,2.0,0.0,0.0,,2.0,,0.0,26111,595.77,,1680697879.0,0,,695.62,661.61
4,0.78,6176.0,6336.0,2646.7401338660475,,1.36,6080.0,28832,,728.1,57,112,2.0,2.0,2,0.0,7168.0,2646.7401338660475,,2.0,0.0,0.0,,2.0,,0.0,29162,632.76,,1680697880.0,0,,725.17,713.13
4,0.5,7040.0,6784.0,2749.5652564506595,,0.11,6976.0,32096,,689.21,58,113,2.0,2.0,2,0.0,8032.0,2749.5652564506595,,2.0,0.0,0.0,,2.0,,0.0,32479,507.58,,1680697881.0,0,,723.23,726.72
4,0.5,7872.0,7648.0,2456.3958473633115,,0.0,7744.0,32736,,689.78,59,115,2.0,2.0,2,0.0,8832.0,2456.3958473633115,,2.0,0.0,0.0,,2.0,,0.0,35295,761.9,,1680697883.0,0,,695.82,602.06
4,0.5,8032.0,7840.0,2456.3958473633115,,0.0,7936.0,32736,,347.51,60,116,2.0,2.0,2,0.0,8928.0,2456.3958473633115,,2.0,0.0,0.0,,2.0,,0.0,38267,727.34,,1680697884.0,0,,685.63,695.92
4,0.5,8032.0,7840.0,2456.3958473633115,,0.0,7936.0,32736,,347.51,61,117,2.0,2.0,2,0.0,8928.0,2456.3958473633115,,2.0,0.0,0.0,,2.0,,0.0,41219,727.34,,1680697885.0,0,,685.63,695.92
4,0.5,8032.0,7840.0,2456.3958473633115,,0.0,7936.0,32736,,347.51,62,118,2.0,2.0,2,0.0,8928.0,2456.3958473633115,,2.0,0.0,0.0,,2.0,,0.0,44178,727.34,,1680697886.0,0,,685.63,695.92
4,0.5,8032.0,7840.0,2456.3958473633115,,0.0,7936.0,32736,,347.51,63,119,2.0,2.0,2,0.0,8928.0,2456.3958473633115,,2.0,0.0,0.0,,2.0,,0.0,47116,727.34,,1680697887.0,0,,685.63,695.92
4,0.5,8032.0,7840.0,2456.3958473633115,,0.0,7936.0,32736,,347.51,64,121,2.0,2.0,2,0.0,8928.0,2456.3958473633115,,2.0,0.0,0.0,,2.0,,0.0,50078,727.34,,1680697889.0,0,,685.63,695.92
4,0.5,8032.0,7840.0,2456.3958473633115,,0.0,7936.0,32736,,347.51,65,122,2.0,2.0,2,0.0,8928.0,2456.3958473633115,,2.0,0.0,0.0,,2.0,,0.0,53042,727.34,,1680697890.0,0,,685.63,695.92
4,0.5,8032.0,7840.0,2456.3958473633115,,0.0,7936.0,32736,,347.51,66,123,2.0,2.0,2,0.0,8928.0,2456.3958473633115,,2.0,0.0,0.0,,2.0,,0.0,55996,727.34,,1680697891.0,0,,685.63,695.92
4,0.5,8032.0,7840.0,2456.3958473633115,,0.0,7936.0,32736,,347.51,67,124,2.0,2.0,2,0.0,8928.0,2456.3958473633115,,2.0,0.0,0.0,,2.0,,0.0,58944,727.34,,1680697892.0,0,,685.63,695.92
4,7.05,8032.0,7840.0,2456.3958473633115,,12.34,7936.0,0,,347.51,68,126,2.0,2.0,3,0.0,8928.0,2456.3958473633115,,2.0,0.0,0.0,,2.0,,0.0,2464,727.34,,1680697894.0,0,,685.63,695.92
4,6.36,0.0,0.0,2456.3958473633115,2.0,11.13,0.0,0,1361.117842317508,347.51,69,127,3.0,3.0,3,0.0,0.0,2456.3958473633115,24.050819835159928,3.0,0.0,0.0,98400.0,3.0,1.0,0.0,5428,727.34,32736.0,1680697895.0,0,0.0,685.63,695.92
4,5.67,0.0,0.0,2456.3958473633115,,9.93,0.0,0,,347.51,70,128,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,8376,727.34,,1680697896.0,0,,685.63,695.92
4,4.99,0.0,0.0,2456.3958473633115,,8.73,0.0,0,,347.51,71,129,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,11325,727.34,,1680697897.0,0,,685.63,695.92
4,2.68,0.0,0.0,2456.3958473633115,,4.7,0.0,0,,347.51,72,133,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,21226,727.34,,1680697901.0,0,,685.63,695.92
4,2.1,0.0,0.0,2456.3958473633115,,3.68,0.0,0,,347.51,73,134,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,23740,727.34,,1680697902.0,0,,685.63,695.92
4,1.51,0.0,0.0,2456.3958473633115,,2.65,0.0,0,,347.51,74,135,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,26258,727.34,,1680697903.0,0,,685.63,695.92
4,0.93,0.0,0.0,2456.3958473633115,,1.63,0.0,0,,347.51,75,136,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,28770,727.34,,1680697904.0,0,,685.63,695.92
4,0.5,0.0,0.0,2456.3958473633115,,0.6,0.0,0,,347.51,76,137,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,31293,727.34,,1680697905.0,0,,685.63,695.92
4,0.5,0.0,0.0,2456.3958473633115,,0.0,0.0,0,,347.51,77,138,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,33809,727.34,,1680697906.0,0,,685.63,695.92
4,0.5,0.0,0.0,2456.3958473633115,,0.0,0.0,0,,347.51,78,139,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,36335,727.34,,1680697907.0,0,,685.63,695.92
4,0.5,0.0,0.0,2456.3958473633115,,0.0,0.0,0,,347.51,79,140,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,38864,727.34,,1680697908.0,0,,685.63,695.92
4,0.5,0.0,0.0,2456.3958473633115,,0.0,0.0,0,,347.51,80,141,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,41385,727.34,,1680697909.0,0,,685.63,695.92
4,0.5,0.0,0.0,2456.3958473633115,,0.0,0.0,0,,347.51,81,142,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,43912,727.34,,1680697910.0,0,,685.63,695.92
4,0.5,0.0,0.0,2456.3958473633115,,0.0,0.0,0,,347.51,82,143,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,46453,727.34,,1680697911.0,0,,685.63,695.92
4,0.5,0.0,0.0,2456.3958473633115,,0.0,0.0,0,,347.51,83,144,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,48971,727.34,,1680697912.0,0,,685.63,695.92
4,0.5,0.0,0.0,2456.3958473633115,,0.0,0.0,0,,347.51,84,145,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,51491,727.34,,1680697913.0,0,,685.63,695.92
4,0.5,0.0,0.0,2456.3958473633115,,0.0,0.0,0,,347.51,85,146,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,54008,727.34,,1680697914.0,0,,685.63,695.92
4,0.5,0.0,0.0,2456.3958473633115,,0.0,0.0,0,,347.51,86,148,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,56525,727.34,,1680697916.0,0,,685.63,695.92
4,0.5,0.0,0.0,2456.3958473633115,,0.0,0.0,0,,347.51,87,149,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,59037,727.34,,1680697917.0,0,,685.63,695.92
4,0.5,0.0,0.0,2456.3958473633115,,0.0,0.0,0,,347.51,88,150,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,61559,727.34,,1680697918.0,0,,685.63,695.92
4,0.5,0.0,0.0,2456.3958473633115,,0.0,0.0,0,,347.51,89,151,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,64077,727.34,,1680697919.0,0,,685.63,695.92
4,0.5,0.0,0.0,2456.3958473633115,,0.0,0.0,0,,347.51,90,152,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,66595,727.34,,1680697920.0,0,,685.63,695.92
4,0.5,0.0,0.0,2456.3958473633115,,0.0,0.0,0,,347.51,91,153,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,69114,727.34,,1680697921.0,0,,685.63,695.92
4,0.5,0.0,0.0,2456.3958473633115,,0.0,0.0,0,,347.51,92,154,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,71630,727.34,,1680697922.0,0,,685.63,695.92
4,0.5,0.0,0.0,2456.3958473633115,,0.0,0.0,0,,347.51,93,155,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,74149,727.34,,1680697923.0,0,,685.63,695.92
4,0.5,0.0,0.0,2456.3958473633115,,0.0,0.0,0,,347.51,94,156,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,76671,727.34,,1680697924.0,0,,685.63,695.92
4,0.5,0.0,0.0,2456.3958473633115,,0.0,0.0,0,,347.51,95,157,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,79210,727.34,,1680697925.0,0,,685.63,695.92
4,0.5,0.0,0.0,2456.3958473633115,,0.0,0.0,0,,347.51,96,158,3.0,3.0,3,0.0,0.0,2456.3958473633115,,3.0,0.0,0.0,,3.0,,0.0,81770,727.34,,1680697926.0,0,,685.63,695.92
