process/memory/resident_set_size_proc_MB,02_timing/step_time_s,02_timing/opt_step_time_s,disk/time/disk_write_time_sys_s,disk/counter/disk_write_sys_count,process/memory/lib_memory_proc_MB,cpu/load/avg_sys_load_five_min_percent,process/involuntary_proc_ctx_switches,03_hivemind/num_peers,03_hivemind/global_epoch,01_general/minibatch_loss,cpu/interrupts/ctx_switches_count,01_general/locally_processed_samples,cpu/load/avg_sys_load_one_min_percent,_runtime,disk/time/disk_busy_time_sys_s,disk/counter/disk_read_sys_count,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/dirty_pages_proc_count,process/memory/virtual_memory_size_proc_MB,02_timing/backward_time_s,memory/total_memory_sys_MB,memory/available_memory_sys_MB,memory/used_memory_sys_percent,cpu/interrupts/interrupts_count,process/memory/shared_memory_proc_MB,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/data_resident_set_proc_MB,_step,01_general/lr,01_general/step,cpu/logical_core_count,disk/time/disk_read_time_sys_s,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/dataload_time_s,memory/used_memory_sys_MB,01_general/dataset_iteration_count,process/voluntary_proc_ctx_switches,_timestamp,02_timing/forward_time_s,cpu/interrupts/soft_interrupts_count,bandwidth/disk_write_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/text_resident_set_proc_MB
6728.134656,,0.038974468000105844,0.3650000000000091,351.0,6915.4816,0.8,132.0,,,,80630.0,,0.9000000000000001,21,0.3199999999999932,61.0,0.0,0.0,32283.774976,0.1393592729998545,,199519.674368,5.5,1072550.0,2449.887232,2.0720698682562655,0.0,51,,,,0.0129999999999999,0.003098204000025362,0.000388186999998652,0.5666666666666667,,8116.9408,,1470.0,1681394187.0,0.01697824899997613,77705.0,0.0776572175693476,103.82043549182703,2.719744
,0.20139080400008424,,,,,,,6.0,0.0,7.1494140625,,960.0,,21,,,,,,,,,,,,,,52,0.0001,29.0,,,,,,0.0025924230001237447,,0.0,,1681394187.0,,,,,
,0.20243108099998608,0.03916994399992291,,,,,,6.0,0.0,7.177978515625,,992.0,,22,,,,,,0.1406395670001075,,,,,,,,53,0.0001,30.0,,,0.003044117999934315,0.0003992169999946782,,0.0024795320000521315,,0.0,,1681394188.0,0.016698702999974557,,,,
,0.20305587299981198,0.039054266999983156,,,,,,6.0,0.0,7.30322265625,,1024.0,,22,,,,,,0.14079970600005254,,,,,,,,54,0.0001,31.0,,,0.0031107889999475447,0.0003862020000724442,,0.0027586229998632916,,0.0,,1681394188.0,0.016946285999893007,,,,
6728.146944,,0.039100679000057426,0.3660000000000423,355.0,6915.489792,0.9000000000000001,137.0,,,,84799.0,,1.3666666666666665,22,0.3359999999999985,61.0,0.0,0.0,32283.774976,0.14163278699993498,,199508.791296,5.5,1076969.0,2449.891328,1.8871483254643062,0.0,55,,,,0.0129999999999999,0.0030545269999038283,0.0003861490001781931,0.6,,8127.827968,,1511.0,1681394188.0,0.016744972999958918,82721.0,0.01634855341204613,96.10072446976459,2.719744
,0.20366893899995375,,,,,,,6.0,0.0,7.3575439453125,,1056.0,,22,,,,,,,,,,,,,,56,0.0001,32.0,,,,,,0.002749823999920409,,0.0,,1681394188.0,,,,,
,0.20292585900051563,0.039121405000059895,,,,,,6.0,0.0,7.06396484375,,1088.0,,23,,,,,,0.14067062899994198,,,,,,,,57,0.0001,33.0,,,0.0030801820000760927,0.0004296850001992425,,0.0028493720001279144,,0.0,,1681394189.0,0.016774586000110503,,,,
,0.20196286500004135,0.039116571000022304,,,,,,6.0,0.0,7.3204345703125,,1120.0,,23,,,,,,0.1398057260000769,,,,,,,,58,0.0001,34.0,,,0.0030799999999544525,0.0003880799999933515,,0.0027346440001565497,,0.0,,1681394189.0,0.016837843999837787,,,,
6728.142848,,0.03920166399984737,0.37000000000000455,363.0,6915.497984,0.9000000000000001,140.0,,,,89148.0,,1.3666666666666665,23,0.35999999999999943,61.0,0.0,0.0,32283.774976,0.14018124099993656,,199507.279872,5.5,1081729.0,2449.887232,2.092065408577408,0.0,59,,,,0.0129999999999999,0.0030296800000542135,0.0003881469999669207,0.6,,8129.318912,,1545.0,1681394189.0,0.016712751999875763,87939.0,0.0817446923708044,83.54742626836497,2.719744
,0.20205499699977736,,,,,,,6.0,0.0,7.063232421875,,1152.0,,23,,,,,,,,,,,,,,60,0.0001,35.0,,,,,,0.002541513000096529,,0.0,,1681394189.0,,,,,
,0.20197580399985782,0.03926038500003415,,,,,,6.0,0.0,7.091552734375,,1184.0,,24,,,,,,0.13970577500003856,,,,,,,,61,0.0001,36.0,,,0.0030928179999136773,0.00037444600002345396,,0.002590258999816797,,0.0,,1681394190.0,0.016952121000031184,,,,
,0.2027247210000951,0.039033305999964796,,,,,,6.0,0.0,7.349609375,,1216.0,,24,,,,,,0.14060377500004506,,,,,,,,62,0.0001,37.0,,,0.0031853220000357396,0.0003998580000370566,,0.0026946059999772842,,0.0,,1681394190.0,0.01680785400003515,,,,
6728.15104,,0.039411450999978115,0.37100000000003774,367.0,6915.50208,0.9000000000000001,146.0,,,,93647.0,,1.3666666666666665,24,0.3760000000000048,61.0,0.0,0.0,32283.774976,0.14288942899997892,,199466.733568,5.5,1087044.0,2449.891328,2.019047673750675,0.0,63,,,,0.0129999999999999,0.003011911999919903,0.00040133800007424725,0.6,,8169.889792,,1581.0,1681394190.0,0.017025004000061017,94179.0,0.016348693437682853,111.16998979148075,2.719744
,0.20560616300008405,,,,,,,6.0,0.0,7.1668701171875,,1248.0,,24,,,,,,,,,,,,,,64,0.0001,38.0,,,,,,0.0028670290000718524,,0.0,,1681394190.0,,,,,
,0.20319603600000846,0.03917172799992841,,,,,,6.0,0.0,7.2569580078125,,1280.0,,25,,,,,,0.1408266939999976,,,,,,,,65,0.0001,39.0,,,0.003068405000021812,0.00039200199989863904,,0.0027882260001206305,,0.0,,1681394191.0,0.016948981000041385,,,,
,0.2020931650001785,0.03928394300010041,,,,,,6.0,0.0,7.382568359375,,1312.0,,25,,,,,,0.13985657199987145,,,,,,,,66,0.0001,40.0,,,0.0030430020001404046,0.0004153150000547612,,0.002737734999982422,,0.0,,1681394191.0,0.016756598000029044,,,,
6728.159232,,0.03906632100006391,0.3720000000000141,371.0,6915.510272,0.9000000000000001,149.0,,,,97828.0,,1.3666666666666665,25,0.3960000000000008,61.0,0.0,0.0,32283.774976,0.1406284869999581,,199463.91552,5.5,1092359.0,2449.883136,2.12517363159012,0.0,67,,,,0.0129999999999999,0.0030718600000909646,0.00037527800009229395,0.6,,8172.642304,,1618.0,1681394191.0,0.016865681999888693,100522.0,0.016348778998388873,101.18956223818167,2.719744
,0.20278335900025013,,,,,,,6.0,0.0,7.0662841796875,,1344.0,,25,,,,,,,,,,,,,,68,0.0001,41.0,,,,,,0.0027757310001561564,,0.0,,1681394191.0,,,,,
,0.20277741199993216,0.03925314899993282,,,,,,6.0,0.0,7.3431396484375,,1376.0,,26,,,,,,0.14034764999996696,,,,,,,,69,0.0001,42.0,,,0.0030547399999250047,0.00037754000004497357,,0.002973449000137407,,0.0,,1681394192.0,0.01677088399992499,,,,
