03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,04_peers/peer_2_epoch_oos,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,04_peers/peer_2_samples_per_second,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
1001,31.54642441887968,2,0,120,0.0,187,5,0.5,31.54642441887968,1696171515,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
1033,31.54642441887968,2,0,121,0.0,188,5,0.5,31.54642441887968,1696171516,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
1065,31.54642441887968,2,0,122,0.0,189,5,0.5,31.54642441887968,1696171517,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
1098,31.54642441887968,2,0,123,0.0,190,5,0.5,31.54642441887968,1696171518,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
1130,31.54642441887968,2,0,124,0.0,191,5,0.5,31.54642441887968,1696171519,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
1162,31.54642441887968,2,0,125,0.0,192,5,0.5,31.54642441887968,1696171520,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
1194,31.54642441887968,2,0,126,0.0,193,5,0.5,31.54642441887968,1696171521,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
1226,31.54642441887968,2,0,127,0.0,194,5,0.5,31.54642441887968,1696171522,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
1258,31.54642441887968,2,0,128,0.0,195,5,0.5,31.54642441887968,1696171523,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
1291,31.54642441887968,2,0,129,0.0,196,5,0.5,31.54642441887968,1696171524,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
1323,31.54642441887968,2,0,130,0.0,198,5,0.5,31.54642441887968,1696171526,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
1355,31.54642441887968,2,0,131,0.0,199,5,0.5,31.54642441887968,1696171527,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
1388,31.54642441887968,2,0,132,0.0,200,5,0.5,31.54642441887968,1696171528,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
1420,31.54642441887968,2,0,133,0.0,201,5,0.5,31.54642441887968,1696171529,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
