03_hivemind/epoch_s,04_peers/peer_5_epoch_oos,04_peers/peer_3_samples_accumulated,04_peers/peer_4_samples_accumulated,04_peers/peer_6_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,_step,04_peers/peer_6_epoch_oos,04_peers/peer_3_samples_per_second,_timestamp,04_peers/peer_5_epoch,03_hivemind/num_clients,04_peers/peer_4_samples_per_second,04_peers/peer_6_samples_per_second,03_hivemind/actual_total_samples_per_second,03_hivemind/num_peers,04_peers/peer_3_epoch,04_peers/peer_1_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/reached_TBS,04_peers/peer_2_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_6_epoch,03_hivemind/undershot_TBS,03_hivemind/global_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/epoch_based_sps,_runtime,04_peers/peer_1_epoch,04_peers/peer_4_epoch,03_hivemind/global_epoch,03_hivemind/overshot_TBS,04_peers/peer_3_epoch_oos,04_peers/peer_4_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_accumulated
79.1246947417967,0.0,64.0,96.0,5056.0,667.7706775488236,59,1.0,117.94,1681315447.0,1.0,0,110.34,121.9,667.7706775488236,6,1.0,1.0,10.0,113.61,64.0,1520,0.0,0.0,32832.0,117.62,115.18,64.0,1.0,0.0,0.0,1376,32832.0,414.9399894323621,134,0.0,1.0,1,1.0,0.0,0.0,46.79,7424.0
,0.0,224.0,256.0,224.0,630.4834080188822,60,0.0,109.27,1681315449.0,1.0,0,111.33,111.56,630.4834080188822,6,1.0,0.0,10.0,110.37,224.0,2295,,0.0,,112.97,112.27,224.0,1.0,1.0,,1920,,,136,1.0,1.0,1,,0.0,0.0,48.33,224.0
,0.0,288.0,352.0,320.0,620.8783044338188,61,0.0,107.92,1681315450.0,1.0,0,96.75,109.97,620.8783044338188,6,1.0,0.0,10.0,111.28,320.0,3072,,0.0,,110.69,93.89,320.0,1.0,1.0,,2912,,,137,1.0,1.0,1,,0.0,0.0,47.83,320.0
,0.0,480.0,512.0,480.0,657.5187260798886,62,0.0,102.89,1681315451.0,1.0,0,104.96,103.59,657.5187260798886,6,1.0,0.0,10.0,102.69,480.0,4065,,0.0,,102.01,104.74,480.0,1.0,1.0,,3872,,,138,1.0,1.0,1,,0.0,0.0,43.65,480.0
,0.0,640.0,672.0,640.0,650.9575729493386,63,0.0,109.14,1681315453.0,1.0,0,110.5,110.32,650.9575729493386,6,1.0,0.0,10.0,108.48,640.0,4920,,0.0,,107.18,111.9,672.0,1.0,1.0,,4736,,,140,1.0,1.0,1,,0.0,0.0,42.78,608.0
,0.0,800.0,832.0,800.0,674.7273491285592,64,0.0,113.23,1681315454.0,1.0,0,114.05,114.47,674.7273491285592,6,1.0,0.0,10.0,112.2,800.0,5903,,0.0,,81.51,115.5,832.0,1.0,1.0,,5696,,,141,1.0,1.0,1,,0.0,0.0,39.82,672.0
,0.0,960.0,992.0,960.0,690.8564508036677,65,0.0,115.85,1681315456.0,1.0,0,116.21,117.06,690.8564508036677,6,1.0,0.0,10.0,114.49,960.0,6888,,0.0,,93.36,117.75,992.0,1.0,1.0,,6688,,,143,1.0,1.0,1,,0.0,0.0,37.46,832.0
,0.0,1120.0,1152.0,1152.0,700.7247507143799,66,0.0,117.41,1681315457.0,1.0,0,117.46,118.92,700.7247507143799,6,1.0,0.0,10.0,115.89,1120.0,7869,,0.0,,102.1,119.08,1152.0,1.0,1.0,,7648,,,144,1.0,1.0,1,,0.0,0.0,35.53,992.0
,0.0,1280.0,1312.0,1312.0,707.3731858609419,67,0.0,118.24,1681315458.0,1.0,0,118.2,119.71,707.3731858609419,6,1.0,0.0,10.0,116.69,1280.0,8847,,0.0,,108.06,119.83,1312.0,1.0,1.0,,8640,,,145,1.0,1.0,1,,0.0,0.0,33.82,1152.0
,0.0,1472.0,1472.0,1472.0,711.2379547094939,68,0.0,119.0,1681315460.0,1.0,0,118.72,120.33,711.2379547094939,6,1.0,0.0,10.0,117.14,1440.0,9832,,0.0,,111.86,120.34,1472.0,1.0,1.0,,9664,,,147,1.0,1.0,1,,0.0,0.0,32.25,1312.0
,0.0,1632.0,1664.0,1632.0,713.0509274696717,69,0.0,119.29,1681315461.0,1.0,0,119.08,120.58,713.0509274696717,6,1.0,0.0,10.0,117.38,1600.0,10810,,0.0,,114.2,120.71,1664.0,1.0,1.0,,10624,,,148,1.0,1.0,1,,0.0,0.0,30.79,1472.0
,0.0,1792.0,1824.0,1792.0,714.4086502670345,70,0.0,119.29,1681315462.0,1.0,0,119.23,120.61,714.4086502670345,6,1.0,0.0,10.0,117.43,1760.0,11794,,0.0,,115.64,120.85,1824.0,1.0,1.0,,11616,,,149,1.0,1.0,1,,0.0,0.0,29.36,1632.0
,0.0,1952.0,1984.0,1952.0,715.2646159403529,71,0.0,119.41,1681315464.0,1.0,0,119.26,120.85,715.2646159403529,6,1.0,0.0,10.0,117.45,1920.0,12770,,0.0,,116.54,120.91,1984.0,1.0,1.0,,12608,,,151,1.0,1.0,1,,0.0,0.0,27.96,1824.0
,0.0,2112.0,2144.0,2144.0,715.7131343352308,72,0.0,119.39,1681315465.0,1.0,0,119.41,120.98,715.7131343352308,6,1.0,0.0,10.0,117.42,2080.0,13750,,0.0,,117.04,121.04,2144.0,1.0,1.0,,13568,,,152,1.0,1.0,1,,0.0,0.0,26.57,1984.0
,0.0,2272.0,2304.0,2304.0,715.8784030063237,73,0.0,119.41,1681315466.0,1.0,0,119.58,120.93,715.8784030063237,6,1.0,0.0,10.0,117.38,2240.0,14726,,0.0,,117.32,121.08,2304.0,1.0,1.0,,14560,,,153,1.0,1.0,1,,0.0,0.0,25.2,2144.0
,0.0,2432.0,2464.0,2464.0,715.432080526704,74,0.0,119.32,1681315468.0,1.0,0,119.74,120.86,715.432080526704,6,1.0,0.0,10.0,117.42,2400.0,15700,,0.0,,117.46,121.08,2496.0,1.0,1.0,,15520,,,155,1.0,1.0,1,,0.0,0.0,23.86,2304.0
,0.0,2592.0,2624.0,2624.0,714.7099420240968,75,0.0,119.19,1681315469.0,1.0,0,119.65,120.8,714.7099420240968,6,1.0,0.0,10.0,117.25,2560.0,16670,,0.0,,117.52,121.02,2656.0,1.0,1.0,,16480,,,156,1.0,1.0,1,,0.0,0.0,22.52,2464.0
,0.0,2752.0,2784.0,2784.0,714.9591068976595,76,0.0,119.13,1681315471.0,1.0,0,119.65,120.44,714.9591068976595,6,1.0,0.0,10.0,117.07,2720.0,17644,,0.0,,117.4,121.02,2816.0,1.0,1.0,,17440,,,158,1.0,1.0,1,,0.0,0.0,21.15,2624.0
,0.0,2912.0,2944.0,2944.0,714.4311439939231,77,0.0,119.15,1681315472.0,1.0,0,119.85,120.53,714.4311439939231,6,1.0,0.0,10.0,117.02,2880.0,18625,,0.0,,117.39,121.01,2976.0,1.0,1.0,,18432,,,159,1.0,1.0,1,,0.0,0.0,19.8,2784.0
,0.0,3072.0,3136.0,3104.0,713.9554105427376,78,0.0,119.05,1681315473.0,1.0,0,119.73,120.42,713.9554105427376,6,1.0,0.0,10.0,116.95,3040.0,19600,,0.0,,117.35,120.92,3136.0,1.0,1.0,,19424,,,160,1.0,1.0,1,,0.0,0.0,18.44,2944.0
