03_hivemind/global_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_3_epoch,03_hivemind/actual_total_samples_per_second,_runtime,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,04_peers/peer_2_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_3_samples_per_second,_step,03_hivemind/reached_TBS,03_hivemind/overshot_TBS,03_hivemind/num_peers,03_hivemind/total_training_samples,04_peers/peer_2_samples_per_second,03_hivemind/num_clients,04_peers/peer_1_epoch_oos,04_peers/peer_3_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_accumulated,_timestamp,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_samples_accumulated,03_hivemind/undershot_TBS,03_hivemind/per_epoch_training_samples,03_hivemind/global_epoch,04_peers/peer_2_samples_accumulated,03_hivemind/estimated_current_samples
0,1962.190134139056,,3.0,1962.190134139056,142,,0.5,0.0,680.74,727.74,85,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695609.0,3.0,3.0,0.0,,,3,0.0,38546
0,1962.190134139056,,3.0,1962.190134139056,143,,0.5,0.0,680.74,727.74,86,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695610.0,3.0,3.0,0.0,,,3,0.0,40568
0,1962.190134139056,,3.0,1962.190134139056,144,,0.5,0.0,680.74,727.74,87,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695611.0,3.0,3.0,0.0,,,3,0.0,42572
0,1962.190134139056,,3.0,1962.190134139056,146,,0.5,0.0,680.74,727.74,88,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695613.0,3.0,3.0,0.0,,,3,0.0,44588
0,1962.190134139056,,3.0,1962.190134139056,147,,0.5,0.0,680.74,727.74,89,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695614.0,3.0,3.0,0.0,,,3,0.0,46603
0,1962.190134139056,,3.0,1962.190134139056,148,,0.5,0.0,680.74,727.74,90,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695615.0,3.0,3.0,0.0,,,3,0.0,48618
0,1962.190134139056,,3.0,1962.190134139056,149,,0.5,0.0,680.74,727.74,91,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695616.0,3.0,3.0,0.0,,,3,0.0,50629
0,1962.190134139056,,3.0,1962.190134139056,150,,0.5,0.0,680.74,727.74,92,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695617.0,3.0,3.0,0.0,,,3,0.0,52647
0,1962.190134139056,,3.0,1962.190134139056,151,,0.5,0.0,680.74,727.74,93,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695618.0,3.0,3.0,0.0,,,3,0.0,54670
0,1962.190134139056,,3.0,1962.190134139056,152,,0.5,0.0,680.74,727.74,94,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695619.0,3.0,3.0,0.0,,,3,0.0,56690
0,1962.190134139056,,3.0,1962.190134139056,153,,0.5,0.0,680.74,727.74,95,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695620.0,3.0,3.0,0.0,,,3,0.0,58708
0,1962.190134139056,,3.0,1962.190134139056,154,,0.5,0.0,680.74,727.74,96,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695621.0,3.0,3.0,0.0,,,3,0.0,60725
0,1962.190134139056,,3.0,1962.190134139056,155,,0.5,0.0,680.74,727.74,97,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695622.0,3.0,3.0,0.0,,,3,0.0,62745
0,1962.190134139056,,3.0,1962.190134139056,156,,0.5,0.0,680.74,727.74,98,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695623.0,3.0,3.0,0.0,,,3,0.0,64753
0,1962.190134139056,,3.0,1962.190134139056,157,,0.5,0.0,680.74,727.74,99,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695624.0,3.0,3.0,0.0,,,3,0.0,66766
0,1962.190134139056,,3.0,1962.190134139056,158,,0.5,0.0,680.74,727.74,100,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695625.0,3.0,3.0,0.0,,,3,0.0,68770
0,1962.190134139056,,3.0,1962.190134139056,159,,0.5,0.0,680.74,727.74,101,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695626.0,3.0,3.0,0.0,,,3,0.0,70778
0,1962.190134139056,,3.0,1962.190134139056,160,,0.5,0.0,680.74,727.74,102,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695627.0,3.0,3.0,0.0,,,3,0.0,72782
0,1962.190134139056,,3.0,1962.190134139056,161,,0.5,0.0,680.74,727.74,103,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695628.0,3.0,3.0,0.0,,,3,0.0,74787
0,1962.190134139056,,3.0,1962.190134139056,162,,0.5,0.0,680.74,727.74,104,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695629.0,3.0,3.0,0.0,,,3,0.0,76790
0,1962.190134139056,,3.0,1962.190134139056,163,,0.5,0.0,680.74,727.74,105,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695630.0,3.0,3.0,0.0,,,3,0.0,78808
0,1962.190134139056,,3.0,1962.190134139056,164,,0.5,0.0,680.74,727.74,106,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695631.0,3.0,3.0,0.0,,,3,0.0,80817
0,1962.190134139056,,3.0,1962.190134139056,165,,0.5,0.0,680.74,727.74,107,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695632.0,3.0,3.0,0.0,,,3,0.0,82834
0,1962.190134139056,,3.0,1962.190134139056,166,,0.5,0.0,680.74,727.74,108,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695633.0,3.0,3.0,0.0,,,3,0.0,84837
0,1962.190134139056,,3.0,1962.190134139056,167,,0.5,0.0,680.74,727.74,109,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695634.0,3.0,3.0,0.0,,,3,0.0,86839
0,1962.190134139056,,3.0,1962.190134139056,168,,0.5,0.0,680.74,727.74,110,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695635.0,3.0,3.0,0.0,,,3,0.0,88846
0,1962.190134139056,,3.0,1962.190134139056,169,,0.5,0.0,680.74,727.74,111,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695636.0,3.0,3.0,0.0,,,3,0.0,90869
0,1962.190134139056,,3.0,1962.190134139056,170,,0.5,0.0,680.74,727.74,112,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695637.0,3.0,3.0,0.0,,,3,0.0,92888
0,1962.190134139056,,3.0,1962.190134139056,171,,0.5,0.0,680.74,727.74,113,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695638.0,3.0,3.0,0.0,,,3,0.0,94899
0,1962.190134139056,,3.0,1962.190134139056,172,,0.5,0.0,680.74,727.74,114,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695639.0,3.0,3.0,0.0,,,3,0.0,96920
0,1962.190134139056,,3.0,1962.190134139056,173,,0.5,0.0,680.74,727.74,115,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695640.0,3.0,3.0,0.0,,,3,0.0,98927
0,1962.190134139056,,3.0,1962.190134139056,174,,0.5,0.0,680.74,727.74,116,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695641.0,3.0,3.0,0.0,,,3,0.0,100944
0,1962.190134139056,,3.0,1962.190134139056,175,,0.5,0.0,680.74,727.74,117,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695642.0,3.0,3.0,0.0,,,3,0.0,102960
