03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
123676,2494.0214374011653,3,0,102,0.0,159,4,0.5,2494.0214374011653,1683045746,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
126232,2494.0214374011653,3,0,103,0.0,160,4,0.5,2494.0214374011653,1683045747,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
128792,2494.0214374011653,3,0,104,0.0,161,4,0.5,2494.0214374011653,1683045748,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
131345,2494.0214374011653,3,0,105,0.0,162,4,0.5,2494.0214374011653,1683045749,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
133891,2494.0214374011653,3,0,106,0.0,163,4,0.5,2494.0214374011653,1683045750,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
136453,2494.0214374011653,3,0,107,0.0,164,4,0.5,2494.0214374011653,1683045751,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
139003,2494.0214374011653,3,0,108,0.0,166,4,0.5,2494.0214374011653,1683045753,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
141555,2494.0214374011653,3,0,109,0.0,167,4,0.5,2494.0214374011653,1683045754,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
144117,2494.0214374011653,3,0,110,0.0,168,4,0.5,2494.0214374011653,1683045755,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
146679,2494.0214374011653,3,0,111,0.0,169,4,0.5,2494.0214374011653,1683045756,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
149242,2494.0214374011653,3,0,112,0.0,170,4,0.5,2494.0214374011653,1683045757,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
