03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
36185,3592.4829408061464,4,0,41,0.0,92,4,0.5,3592.4829408061464,1683047154,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
39899,3592.4829408061464,4,0,42,0.0,93,4,0.5,3592.4829408061464,1683047155,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
43591,3592.4829408061464,4,0,43,0.0,94,4,0.5,3592.4829408061464,1683047156,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
47278,3592.4829408061464,4,0,44,0.0,95,4,0.5,3592.4829408061464,1683047157,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
50961,3592.4829408061464,4,0,45,0.0,96,4,0.5,3592.4829408061464,1683047158,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
54642,3592.4829408061464,4,0,46,0.0,97,4,0.5,3592.4829408061464,1683047159,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
58360,3592.4829408061464,4,0,47,0.0,98,4,0.5,3592.4829408061464,1683047160,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
62071,3592.4829408061464,4,0,48,0.0,99,4,0.5,3592.4829408061464,1683047161,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
65750,3592.4829408061464,4,0,49,0.0,100,4,0.5,3592.4829408061464,1683047162,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
69428,3592.4829408061464,4,0,50,0.0,101,4,0.5,3592.4829408061464,1683047163,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
73126,3592.4829408061464,4,0,51,0.0,102,4,0.5,3592.4829408061464,1683047164,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
76803,3592.4829408061464,4,0,52,0.0,103,4,0.5,3592.4829408061464,1683047165,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
80478,3592.4829408061464,4,0,53,0.0,104,4,0.5,3592.4829408061464,1683047166,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
84154,3592.4829408061464,4,0,54,0.0,105,4,0.5,3592.4829408061464,1683047167,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
87851,3592.4829408061464,4,0,55,0.0,106,4,0.5,3592.4829408061464,1683047168,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
91529,3592.4829408061464,4,0,56,0.0,107,4,0.5,3592.4829408061464,1683047169,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
95203,3592.4829408061464,4,0,57,0.0,108,4,0.5,3592.4829408061464,1683047170,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
98943,3592.4829408061464,4,0,58,0.0,109,4,0.5,3592.4829408061464,1683047171,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
102631,3592.4829408061464,4,0,59,0.0,110,4,0.5,3592.4829408061464,1683047172,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
106314,3592.4829408061464,4,0,60,0.0,111,4,0.5,3592.4829408061464,1683047173,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
109994,3592.4829408061464,4,0,61,0.0,112,4,0.5,3592.4829408061464,1683047174,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
113707,3592.4829408061464,4,0,62,0.0,113,4,0.5,3592.4829408061464,1683047175,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
117398,3592.4829408061464,4,0,63,0.0,114,4,0.5,3592.4829408061464,1683047176,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
121101,3592.4829408061464,4,0,64,0.0,115,4,0.5,3592.4829408061464,1683047177,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
124823,3592.4829408061464,4,0,65,0.0,116,4,0.5,3592.4829408061464,1683047178,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
128516,3592.4829408061464,4,0,66,0.0,117,4,0.5,3592.4829408061464,1683047179,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
132201,3592.4829408061464,4,0,67,0.0,118,4,0.5,3592.4829408061464,1683047180,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
135894,3592.4829408061464,4,0,68,0.0,119,4,0.5,3592.4829408061464,1683047181,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
139566,3592.4829408061464,4,0,69,0.0,120,4,0.5,3592.4829408061464,1683047182,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
143277,3592.4829408061464,4,0,70,0.0,121,4,0.5,3592.4829408061464,1683047183,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
146960,3592.4829408061464,4,0,71,0.0,122,4,0.5,3592.4829408061464,1683047184,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
150635,3592.4829408061464,4,0,72,0.0,123,4,0.5,3592.4829408061464,1683047185,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
154312,3592.4829408061464,4,0,73,0.0,124,4,0.5,3592.4829408061464,1683047186,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
158006,3592.4829408061464,4,0,74,0.0,125,4,0.5,3592.4829408061464,1683047187,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
161681,3592.4829408061464,4,0,75,0.0,126,4,0.5,3592.4829408061464,1683047188,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
165356,3592.4829408061464,4,0,76,0.0,127,4,0.5,3592.4829408061464,1683047189,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
