process/memory/resident_set_size_proc_MB,process/memory/text_resident_set_proc_MB,cpu/interrupts/soft_interrupts_count,cpu/load/avg_sys_load_one_min_percent,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/virtual_memory_size_proc_MB,memory/used_memory_sys_MB,bandwidth/disk_read_sys_bandwidth_MBs,01_general/minibatch_loss,02_timing/dataload_time_s,02_timing/opt_step_time_s,disk/time/disk_read_time_sys_s,disk/counter/disk_write_sys_count,02_timing/dataload_cuda_move_time_s,_runtime,02_timing/step_time_s,disk/time/disk_busy_time_sys_s,memory/available_memory_sys_MB,01_general/dataset_iteration_count,process/memory/dirty_pages_proc_count,process/memory/data_resident_set_proc_MB,02_timing/forward_time_s,memory/total_memory_sys_MB,03_hivemind/global_epoch,disk/counter/disk_read_sys_count,01_general/locally_processed_samples,cpu/load/avg_sys_load_fifteen_min_percent,_step,01_general/lr,cpu/interrupts/interrupts_count,disk/time/disk_write_time_sys_s,process/voluntary_proc_ctx_switches,_timestamp,01_general/step,02_timing/loss_calc_time_s,process/memory/lib_memory_proc_MB,process/memory/shared_memory_proc_MB,process/involuntary_proc_ctx_switches,cpu/logical_core_count,02_timing/backward_time_s,cpu/interrupts/ctx_switches_count,bandwidth/net_recv_sys_bandwidth_Mbits,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/load/avg_sys_load_five_min_percent,03_hivemind/num_peers,memory/used_memory_sys_percent
,,,,,,,,7.2099609375,0.004685578000135138,,,,,230,0.5039071369992598,,,0.0,,,,,1.0,,6976.0,,448,0.0001,,,,1681082555.0,217.0,,,,,,,,,,,8.0,
6601.498624,2.654208,428047.0,15.875,0.008172717371391164,28888.010752,9286.746112,0.0,,,0.1087949610009673,0.0,857.0,0.006811942999775056,231,,2.515999999999991,20105.875456,,0.0,0.0,0.025191935999828274,,,0.0,,5.0,449,,1383370.0,0.7449999999998909,4336.0,1681082556.0,,0.0007003339997027069,5197.770752,2364.940288,414.0,,0.3602629060005711,963106.0,31.826772223660825,0.8951360247767021,9.25,,36.3
,,,,,,,,7.234130859375,0.004604413001288776,,,,,231,0.5063664930021332,,,0.0,,,,,1.0,,7008.0,,450,0.0001,,,,1681082556.0,218.0,,,,,,,,,,,8.0,
,,,,,,,,7.150390625,0.004704664999735542,0.10889946399947803,,,0.0066800620006688405,232,0.5047143500014499,,,0.0,,,0.02438755000002857,,1.0,,7040.0,,451,0.0001,,,,1681082557.0,219.0,0.0005895120011700783,,,,,0.35945309700036887,,,,,8.0,
6601.498624,2.654208,429331.0,15.875,0.0735547187646234,28888.010752,9283.858432,0.0,,,,0.0,861.0,0.006730082999638398,232,,2.5360000000000014,20128.067584,,0.0,0.0,0.023684755000431323,,,0.0,,5.0,452,,1385661.0,0.7479999999995925,4360.0,1681082557.0,,0.0006710249999741791,5197.770752,2364.940288,418.0,,,965202.0,25.620722344014617,0.8670773270994594,9.25,,36.2
,,,,,,,,7.160888671875,0.0045257430010678945,0.10997287899954244,,,,233,0.5079703730007168,,,0.0,,,,,1.0,,7072.0,,453,0.0001,,,,1681082558.0,220.0,,,,,,0.36238588800006255,,,,,8.0,
6601.54368,2.654208,431212.0,15.625,0.008176418366622524,28888.010752,9284.52608,0.0,,,,0.0,863.0,0.006569854998815572,233,,2.5439999999999827,20122.17344,,0.0,0.0,0.026662049998776638,,,0.0,,5.0,454,,1388643.0,0.7489999999997963,4379.0,1681082558.0,,0.0007295989998965524,5197.770752,2364.985344,420.0,,,967399.0,64.396975989969,0.8976653374024057,9.25,,36.2
,,,,,,,,7.252685546875,0.004426554000019678,0.10941584800093551,,,,234,0.5036966669977119,,,0.0,,,,,1.0,,7104.0,,455,0.0001,,,,1681082559.0,221.0,,,,,,0.3558927609992679,,,,,8.0,
6601.498624,2.654208,432648.0,15.625,0.020430408460667134,28888.010752,9286.975488,0.0,,,,0.0,868.0,0.006584957000086433,234,,2.5600000000000023,20105.66656,,0.0,0.0,0.024273414001072524,,,0.0,,5.0,456,,1390934.0,0.7529999999997017,4394.0,1681082559.0,,0.0006593260004592594,5197.770752,2364.940288,422.0,,,969192.0,47.88244504721874,0.8267611698883287,9.25,,36.3
,,,,,,,,7.215576171875,0.004380411000965978,0.10877625400098623,,,,235,0.5037760610030091,,,0.0,,,,,1.0,,7136.0,,457,0.0001,,,,1681082560.0,222.0,,,,,,0.35910169899943867,,,,,8.0,
