04_peers/peer_4_epoch,03_hivemind/next_fetch_time_s,03_hivemind/estimated_current_samples,03_hivemind/epoch_s,03_hivemind/overshot_TBS,04_peers/peer_3_epoch_oos,04_peers/peer_6_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,04_peers/peer_2_epoch,04_peers/peer_2_samples_per_second,04_peers/peer_3_epoch,04_peers/peer_9_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_3_samples_accumulated,04_peers/peer_5_samples_accumulated,_runtime,03_hivemind/global_samples_accumulated,03_hivemind/eta_next_epoch_s,04_peers/peer_8_epoch,04_peers/peer_8_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_7_samples_accumulated,_timestamp,03_hivemind/num_clients,04_peers/peer_2_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_5_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_8_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_6_samples_accumulated,_step,04_peers/peer_9_epoch,03_hivemind/undershot_TBS,04_peers/peer_9_samples_accumulated,04_peers/peer_1_samples_per_second,04_peers/peer_7_samples_per_second,03_hivemind/global_epoch,03_hivemind/reached_TBS,04_peers/peer_6_epoch,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_6_samples_per_second,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_epoch_oos,03_hivemind/num_peers,04_peers/peer_5_samples_per_second,04_peers/peer_9_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/per_epoch_training_samples,04_peers/peer_1_epoch
1.0,0.5,65089,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,258,32960,0.0,1.0,117.83,3488.0,5696.0,1681382111.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,144,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,66789,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,259,32960,0.0,1.0,117.83,3488.0,5696.0,1681382112.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,145,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,68478,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,260,32960,0.0,1.0,117.83,3488.0,5696.0,1681382113.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,146,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,70178,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,262,32960,0.0,1.0,117.83,3488.0,5696.0,1681382115.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,147,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,71869,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,263,32960,0.0,1.0,117.83,3488.0,5696.0,1681382116.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,148,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,73564,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,264,32960,0.0,1.0,117.83,3488.0,5696.0,1681382117.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,149,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,75250,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,266,32960,0.0,1.0,117.83,3488.0,5696.0,1681382119.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,150,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,76939,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,267,32960,0.0,1.0,117.83,3488.0,5696.0,1681382120.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,151,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,78634,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,269,32960,0.0,1.0,117.83,3488.0,5696.0,1681382122.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,152,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,80331,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,270,32960,0.0,1.0,117.83,3488.0,5696.0,1681382123.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,153,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
