disk/counter/disk_write_sys_count,02_timing/dataload_cuda_move_time_s,_timestamp,03_hivemind/global_epoch,02_timing/opt_step_time_s,disk/time/disk_busy_time_sys_s,disk/time/disk_read_time_sys_s,memory/available_memory_sys_MB,process/memory/dirty_pages_proc_count,bandwidth/disk_write_sys_bandwidth_MBs,cpu/load/avg_sys_load_five_min_percent,02_timing/dataload_time_s,01_general/locally_processed_samples,01_general/step,cpu/logical_core_count,memory/total_memory_sys_MB,cpu/interrupts/interrupts_count,process/memory/virtual_memory_size_proc_MB,02_timing/step_time_s,memory/used_memory_sys_MB,process/memory/shared_memory_proc_MB,cpu/load/avg_sys_load_one_min_percent,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/text_resident_set_proc_MB,02_timing/forward_time_s,disk/counter/disk_read_sys_count,cpu/interrupts/ctx_switches_count,process/memory/resident_set_size_proc_MB,bandwidth/net_sent_sys_bandwidth_Mbits,_runtime,01_general/minibatch_loss,memory/used_memory_sys_percent,disk/time/disk_write_time_sys_s,01_general/dataset_iteration_count,bandwidth/disk_read_sys_bandwidth_MBs,03_hivemind/num_peers,02_timing/backward_time_s,process/memory/lib_memory_proc_MB,process/voluntary_proc_ctx_switches,process/involuntary_proc_ctx_switches,_step,01_general/lr,02_timing/loss_calc_time_s,cpu/interrupts/soft_interrupts_count,process/memory/data_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent
,0.0030895800000507734,1681395464.0,0.0,0.039992716000142536,,,,,,,0.002697170999908849,3584.0,111.0,,,,,0.20613774099956572,,,,,,0.01691614399987884,,,,,47,7.188720703125,,,0.0,,9.0,0.1430521519996546,,,,158,0.0001,0.0003899779999301245,,,
413.0,0.0030691520000800665,1681395464.0,,0.04023710799992841,0.7800000000000011,0.0009999999999998899,199788.220416,0.0,0.08582708768728337,1.1666666666666665,,,,,,1192456.0,31890.702336,,7841.931264,2453.446656,2.666666666666667,107.84947065238926,2.719744,0.01680939199968634,2.0,251553.0,6340.960256,2.4680396464973784,47,,5.3,0.21700000000004138,,0.0,,0.1446893209999871,6525.591552,2610.0,4976.0,159,,0.00041189600005964166,229755.0,0.0,1.2666666666666666
,,1681395464.0,0.0,,,,,,,,0.0028956179999113374,3616.0,112.0,,,,,0.2081124869996529,,,,,,,,,,,47,7.193115234375,,,0.0,,9.0,,,,,160,0.0001,,,,
,0.0030765510000492213,1681395465.0,0.0,0.0401422189997902,,,,,,,0.0025644180000199412,3648.0,113.0,,,,,0.20833389500012345,,,,,,0.016800916000192956,,,,,48,7.3009033203125,,,0.0,,9.0,0.1453607789999296,,,,161,0.0001,0.0003890120001415198,,,
,0.0027448410000943113,1681395465.0,0.0,0.03981260499995187,,,,,,,0.00279396199994153,3680.0,114.0,,,,,0.20553751500028739,,,,,,0.016850516999966203,,,,,48,7.1326904296875,,,0.0,,9.0,0.14295214399999168,,,,162,0.0001,0.00038344600034179166,,,
417.0,0.002999615000135236,1681395465.0,,,0.7960000000000065,0.0009999999999998899,199784.103936,0.0,0.016348440621209288,1.1666666666666665,,,,,,1197247.0,31890.702336,,7846.887424,2453.44256,2.666666666666667,87.86784728704976,2.719744,0.016732853000121395,2.0,257981.0,6340.960256,2.2689448346678134,48,,5.3,0.21800000000001774,,0.0,,0.14440852300003826,6525.591552,2646.0,4993.0,163,,0.00038742199967600754,235804.0,0.0,1.2666666666666666
,,1681395465.0,0.0,0.03982906500004901,,,,,,,0.0029179520001889614,3712.0,115.0,,,,,0.20727543000020887,,,,,,,,,,,48,7.3118896484375,,,0.0,,9.0,,,,,164,0.0001,,,,
,0.003095164999649569,1681395466.0,0.0,0.04009211399988999,,,,,,,0.0028690929998447245,3744.0,116.0,,,,,0.20725925999977335,,,,,,0.016822204000163765,,,,,49,7.347900390625,,,0.0,,9.0,0.14399828600016917,,,,165,0.0001,0.0003823980000561278,,,
,0.003119247000086034,1681395466.0,0.0,0.04006708599990816,,,,,,,0.0028316369998719892,3776.0,117.0,,,,,0.2072604400000273,,,,,,0.016891986999780784,,,,,49,7.1070556640625,,,0.0,,9.0,0.14395403700018505,,,,166,0.0001,0.000396446000195283,,,
421.0,0.0031172690000857983,1681395466.0,,,0.8119999999999976,0.0009999999999998899,199777.71008,0.0,0.016347246696771362,1.1666666666666665,,,,,,1202351.0,31890.702336,,7852.965888,2453.44256,2.666666666666667,89.13462376622685,2.719744,0.016883326999959536,2.0,263834.0,6340.960256,2.5530998981741173,49,,5.4,0.22000000000002728,,0.0,,,6525.591552,2698.0,5014.0,167,,0.0003857010001411254,240971.0,0.0,1.2666666666666666
,,1681395466.0,0.0,0.0398213619996568,,,,,,,0.0027740830000766437,3808.0,118.0,,,,,0.2064221699997688,,,,,,,,,,,49,7.0531005859375,,,0.0,,9.0,0.1434404279998489,,,,168,0.0001,,,,
,0.003079017999880307,1681395467.0,0.0,0.03973671899984765,,,,,,,0.0028613399999812827,3840.0,119.0,,,,,0.20849063299965565,,,,,,0.016858455000146932,,,,,50,7.13427734375,,,0.0,,9.0,0.14556300699996427,,,,169,0.0001,0.0003920939998351969,,,
,0.0031060410001373384,1681395467.0,0.0,0.03984367600014593,,,,,,,0.0029669549999198352,3872.0,120.0,,,,,0.20795761199997287,,,,,,0.01702301700015596,,,,,50,7.2119140625,,,0.0,,9.0,0.14461637499971403,,,,170,0.0001,0.0004015479998997762,,,
429.0,0.0030556370002159383,1681395467.0,,,0.8319999999999936,0.0009999999999998899,199795.290112,0.0,0.06129801928826776,1.2,,,,,,1207119.0,31890.702336,,7849.562112,2453.458944,2.733333333333333,91.18087552836892,2.719744,0.016791061000276386,2.0,269773.0,6340.988928,2.307638962419498,50,,5.3,0.2230000000000132,,0.0,,,6525.591552,2734.0,5034.0,171,,0.00038259999973888625,246049.0,0.0,1.2666666666666666
