03_hivemind/actual_total_samples_per_second,03_hivemind/num_clients,03_hivemind/overshot_TBS,03_hivemind/eta_next_epoch_s,04_peers/peer_4_samples_per_second,03_hivemind/epoch_s,03_hivemind/num_peers,03_hivemind/epoch_based_sps,04_peers/peer_4_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/undershot_TBS,04_peers/peer_1_samples_per_second,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_3_samples_accumulated,03_hivemind/per_epoch_training_samples,04_peers/peer_2_epoch,04_peers/peer_4_epoch,04_peers/peer_1_epoch_oos,03_hivemind/reached_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,_step,_runtime,_timestamp,04_peers/peer_3_epoch,03_hivemind/global_epoch,04_peers/peer_3_epoch_oos,03_hivemind/global_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_4_epoch_oos,03_hivemind/next_fetch_time_s,03_hivemind/total_training_samples
1864.213391431461,0,,14.68,431.19,,4,,0.0,5397,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,67,120,1680696604.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,8.39,
1864.213391431461,0,,13.47,431.19,,4,,0.0,7650,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,68,121,1680696605.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,7.7,
1864.213391431461,0,,12.41,431.19,,4,,0.0,9632,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,69,122,1680696606.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,7.09,
1864.213391431461,0,,11.39,431.19,,4,,0.0,11539,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,70,123,1680696607.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,6.51,
1864.213391431461,0,,10.36,431.19,,4,,0.0,13456,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,71,125,1680696609.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,5.92,
1864.213391431461,0,,9.33,431.19,,4,,0.0,15366,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,72,126,1680696610.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,5.33,
1864.213391431461,0,,8.31,431.19,,4,,0.0,17277,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,73,127,1680696611.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,4.75,
1864.213391431461,0,,7.28,431.19,,4,,0.0,19204,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,74,128,1680696612.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,4.16,
1864.213391431461,0,,6.25,431.19,,4,,0.0,21118,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,75,129,1680696613.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,3.57,
1864.213391431461,0,,5.23,431.19,,4,,0.0,23027,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,76,130,1680696614.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,2.99,
1864.213391431461,0,,4.2,431.19,,4,,0.0,24938,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,77,131,1680696615.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,2.4,
1864.213391431461,0,,3.18,431.19,,4,,0.0,26849,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,78,132,1680696616.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,1.81,
1864.213391431461,0,,2.14,431.19,,4,,0.0,28785,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,79,133,1680696617.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,1.22,
1864.213391431461,0,,1.11,431.19,,4,,0.0,30704,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,80,134,1680696618.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,0.63,
1864.213391431461,0,,0.07,431.19,,4,,0.0,32629,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,81,135,1680696619.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,0.5,
1864.213391431461,0,,0.0,431.19,,4,,0.0,34553,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,82,136,1680696620.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,0.5,
1864.213391431461,0,,0.0,431.19,,4,,0.0,36460,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,83,137,1680696621.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,0.5,
1864.213391431461,0,,0.0,431.19,,4,,0.0,38382,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,84,138,1680696622.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,0.5,
1864.213391431461,0,,0.0,431.19,,4,,0.0,40299,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,85,139,1680696623.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,0.5,
1864.213391431461,0,,0.0,431.19,,4,,0.0,42214,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,86,140,1680696624.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,0.5,
1864.213391431461,0,,0.0,431.19,,4,,0.0,44135,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,87,141,1680696625.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,0.5,
1864.213391431461,0,,0.0,431.19,,4,,0.0,46060,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,88,142,1680696626.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,0.5,
1864.213391431461,0,,0.0,431.19,,4,,0.0,47982,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,89,143,1680696627.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,0.5,
1864.213391431461,0,,0.0,431.19,,4,,0.0,49903,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,90,144,1680696628.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,0.5,
1864.213391431461,0,,0.0,431.19,,4,,0.0,51824,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,91,145,1680696629.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,0.5,
1864.213391431461,0,,0.0,431.19,,4,,0.0,53741,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,92,146,1680696630.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,0.5,
1864.213391431461,0,,0.0,431.19,,4,,0.0,55655,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,93,147,1680696631.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,0.5,
1864.213391431461,0,,0.0,431.19,,4,,0.0,57571,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,94,148,1680696632.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,0.5,
1864.213391431461,0,,0.0,431.19,,4,,0.0,59492,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,95,149,1680696633.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,0.5,
1864.213391431461,0,,0.0,431.19,,4,,0.0,61408,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,96,150,1680696634.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,0.5,
1864.213391431461,0,,0.0,431.19,,4,,0.0,63319,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,97,151,1680696635.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,0.5,
1864.213391431461,0,,0.0,431.19,,4,,0.0,65233,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,98,152,1680696636.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,0.5,
1864.213391431461,0,,0.0,431.19,,4,,0.0,67150,,506.8,462.57,0.0,0.0,0.0,,3.0,3.0,0.0,,463.65,0.0,99,153,1680696637.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,0.5,
