03_hivemind/num_clients,03_hivemind/undershot_TBS,04_peers/peer_5_samples_per_second,04_peers/peer_9_samples_per_second,04_peers/peer_1_samples_accumulated,_timestamp,04_peers/peer_2_samples_accumulated,04_peers/peer_3_epoch,04_peers/peer_9_epoch_oos,04_peers/peer_4_samples_accumulated,04_peers/peer_9_samples_accumulated,04_peers/peer_1_epoch,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_per_second,04_peers/peer_6_samples_accumulated,04_peers/peer_4_epoch,04_peers/peer_4_epoch_oos,04_peers/peer_7_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_5_samples_accumulated,03_hivemind/reached_TBS,04_peers/peer_4_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_7_epoch,04_peers/peer_8_samples_per_second,04_peers/peer_3_samples_accumulated,_runtime,03_hivemind/global_epoch,04_peers/peer_8_epoch_oos,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_8_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_5_epoch_oos,03_hivemind/global_samples_accumulated,03_hivemind/epoch_s,03_hivemind/total_training_samples,04_peers/peer_3_epoch_oos,03_hivemind/num_peers,04_peers/peer_5_epoch,04_peers/peer_1_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_3_samples_per_second,_step,04_peers/peer_7_samples_accumulated,04_peers/peer_7_samples_per_second,04_peers/peer_6_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_2_epoch,04_peers/peer_9_epoch,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_6_epoch,04_peers/peer_8_samples_accumulated
0,,95.3,130.34,6048.0,1681394214.0,3296.0,0.0,0.0,3296.0,3072.0,0.0,,92.9,3296.0,0.0,0.0,0.0,0.5,3328.0,,93.73,94.65,0.0,93.37,3328.0,106,0,0.0,32945,903.847828546267,0.0,,0.0,0.0,32544,,,0.0,9,0.0,0.0,92.63,93.9,41,2656.0,94.05,0.0,0.0,0.0,0.0,,903.847828546267,0.0,2560.0
0,,95.21,154.04,6208.0,1681394215.0,3424.0,0.0,0.0,3424.0,3584.0,0.0,,92.85,3456.0,0.0,0.0,0.0,0.5,3488.0,,93.7,94.42,0.0,93.3,3456.0,107,0,0.0,34521,927.7252081556088,0.0,,0.0,0.0,33504,,,0.0,9,0.0,0.0,92.55,93.73,42,2784.0,94.05,0.0,0.0,0.0,0.0,,927.7252081556088,0.0,2720.0
0,,95.17,178.02,6272.0,1681394217.0,3488.0,0.0,0.0,3488.0,4096.0,0.0,,92.86,3488.0,0.0,0.0,0.0,0.5,3552.0,,93.64,94.42,0.0,93.39,3520.0,109,0,0.0,35827,927.7252081556088,0.0,,0.0,0.0,33504,,,0.0,9,0.0,0.0,92.44,93.76,43,2848.0,94.03,0.0,0.0,0.0,0.0,,927.7252081556088,0.0,2752.0
0,,95.17,178.02,6272.0,1681394218.0,3488.0,0.0,0.0,3488.0,4096.0,0.0,,92.86,3488.0,0.0,0.0,0.0,0.5,3552.0,,93.64,94.42,0.0,93.39,3520.0,110,0,0.0,37133,927.7252081556088,0.0,,0.0,0.0,33504,,,0.0,9,0.0,0.0,92.44,93.76,44,2848.0,94.03,0.0,0.0,0.0,0.0,,927.7252081556088,0.0,2752.0
0,,95.17,178.02,6272.0,1681394220.0,3488.0,0.0,0.0,3488.0,4096.0,0.0,,92.86,3488.0,0.0,0.0,0.0,0.5,3552.0,,93.64,94.42,0.0,93.39,3520.0,112,0,0.0,38436,927.7252081556088,0.0,,0.0,0.0,33504,,,0.0,9,0.0,0.0,92.44,93.76,45,2848.0,94.03,0.0,0.0,0.0,0.0,,927.7252081556088,0.0,2752.0
0,,95.17,178.02,6272.0,1681394221.0,3488.0,0.0,0.0,3488.0,4096.0,0.0,,92.86,3488.0,0.0,0.0,0.0,0.5,3552.0,,93.64,94.42,0.0,93.39,3520.0,113,0,0.0,39739,927.7252081556088,0.0,,0.0,0.0,33504,,,0.0,9,0.0,0.0,92.44,93.76,46,2848.0,94.03,0.0,0.0,0.0,0.0,,927.7252081556088,0.0,2752.0
0,,95.17,178.02,6272.0,1681394222.0,3488.0,0.0,0.0,3488.0,4096.0,0.0,,92.86,3488.0,0.0,0.0,0.0,0.5,3552.0,,93.64,94.42,0.0,93.39,3520.0,114,0,0.0,41049,927.7252081556088,0.0,,0.0,0.0,33504,,,0.0,9,0.0,0.0,92.44,93.76,47,2848.0,94.03,0.0,0.0,0.0,0.0,,927.7252081556088,0.0,2752.0
0,,95.17,178.02,6272.0,1681394224.0,3488.0,0.0,0.0,3488.0,4096.0,0.0,,92.86,3488.0,0.0,0.0,0.0,0.5,3552.0,,93.64,94.42,0.0,93.39,3520.0,116,0,0.0,42356,927.7252081556088,0.0,,0.0,0.0,33504,,,0.0,9,0.0,0.0,92.44,93.76,48,2848.0,94.03,0.0,0.0,0.0,0.0,,927.7252081556088,0.0,2752.0
0,,95.17,178.02,6272.0,1681394225.0,3488.0,0.0,0.0,3488.0,4096.0,0.0,,92.86,3488.0,0.0,0.0,0.0,0.5,3552.0,,93.64,94.42,0.0,93.39,3520.0,117,0,0.0,43651,927.7252081556088,0.0,,0.0,0.0,33504,,,0.0,9,0.0,0.0,92.44,93.76,49,2848.0,94.03,0.0,0.0,0.0,0.0,,927.7252081556088,0.0,2752.0
0,,95.17,178.02,6272.0,1681394227.0,3488.0,0.0,0.0,3488.0,4096.0,0.0,,92.86,3488.0,0.0,0.0,0.0,0.5,3552.0,,93.64,94.42,0.0,93.39,3520.0,119,0,0.0,44957,927.7252081556088,0.0,,0.0,0.0,33504,,,0.0,9,0.0,0.0,92.44,93.76,50,2848.0,94.03,0.0,0.0,0.0,0.0,,927.7252081556088,0.0,2752.0
