03_hivemind/global_epoch,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,03_hivemind/next_fetch_time_s,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,03_hivemind/per_epoch_training_samples,03_hivemind/estimated_current_samples,03_hivemind/actual_total_samples_per_second,_runtime,03_hivemind/num_clients,04_peers/peer_2_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,03_hivemind/overshot_TBS,_step,03_hivemind/epoch_s,03_hivemind/global_samples_accumulated,_timestamp,03_hivemind/total_training_samples,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch_oos,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_per_second
1,,5.22,2.09,1.0,234.75,1.0,0.0,,30308,470.8578445954354,180,0,14816.0,470.8578445954354,,117,,30240,1680691594.0,,14848.0,0.0,2,,,235.02
1,,4.11,1.64,1.0,235.5,1.0,0.0,,30859,465.0246799822776,181,0,15104.0,465.0246799822776,,118,,30784,1680691595.0,,15136.0,0.0,2,,,235.36
1,,2.88,1.15,1.0,229.36,1.0,0.0,,31421,468.14879271094196,183,0,15392.0,468.14879271094196,,119,,31328,1680691597.0,,15392.0,0.0,2,,,235.66
1,,1.7,0.68,1.0,233.36,1.0,0.0,,31975,467.7647688483909,184,0,15648.0,467.7647688483909,,120,,31904,1680691598.0,,15680.0,0.0,2,,,234.78
1,,0.51,0.5,1.0,233.48,1.0,0.0,,32532,467.8605432507593,185,0,15936.0,467.8605432507593,,121,,32448,1680691599.0,,15968.0,0.0,2,,,234.29
1,,0.0,0.5,1.0,233.3,1.0,0.0,,33090,467.96543208653657,186,0,16224.0,467.96543208653657,,122,,32800,1680691600.0,,16224.0,0.0,2,,,234.56
1,,0.0,0.5,1.0,233.27,1.0,0.0,,33647,467.96543208653657,187,0,16384.0,467.96543208653657,,123,,32800,1680691601.0,,16416.0,0.0,2,,,234.69
1,,0.0,0.5,1.0,233.27,1.0,0.0,,34204,467.96543208653657,189,0,16384.0,467.96543208653657,,124,,32800,1680691603.0,,16416.0,0.0,2,,,234.69
2,,69.9,10.0,1.0,233.27,1.0,0.0,,59,234.6948381130011,190,0,16384.0,467.96543208653657,,125,,0,1680691604.0,,16416.0,0.0,2,,,234.69
2,0.0,68.97,10.0,1.0,233.27,2.0,0.0,32800.0,649,465.71037661165104,191,0,0.0,465.71037661165104,2.0,126,73.73195831105113,576,1680691605.0,65632.0,16416.0,1.0,2,0.0,444.85458885585916,234.69
2,,73.52,10.0,2.0,232.74,2.0,0.0,,1111,430.61707711778485,192,0,288.0,430.61707711778485,,127,,1056,1680691606.0,,288.0,0.0,2,,,232.97
2,,69.7,10.0,2.0,197.69,2.0,0.0,,1657,446.3826152099314,193,0,576.0,446.3826152099314,,128,,1600,1680691607.0,,480.0,0.0,2,,,232.92
2,,66.43,10.0,2.0,213.15,2.0,0.0,,2216,459.90950297721724,194,0,864.0,459.90950297721724,,129,,2144,1680691608.0,,736.0,0.0,2,,,233.23
2,,64.54,10.0,2.0,226.31,2.0,0.0,,2773,464.73808775087633,196,0,1120.0,464.73808775087633,,130,,2688,1680691610.0,,1024.0,0.0,2,,,233.6
2,,62.86,10.0,2.0,231.77,2.0,0.0,,3334,468.2481459082095,197,0,1408.0,468.2481459082095,,131,,3264,1680691611.0,,1280.0,0.0,2,,,232.97
2,,61.74,10.0,2.0,235.49,2.0,0.0,,3889,467.79287178976625,198,0,1696.0,467.79287178976625,,132,,3808,1680691612.0,,1568.0,0.0,2,,,232.76
2,,60.58,10.0,2.0,235.13,2.0,0.0,,4445,467.52441588479434,199,0,1952.0,467.52441588479434,,133,,4384,1680691613.0,,1856.0,0.0,2,,,232.66
2,,63.64,10.0,2.0,234.9,2.0,0.0,,4924,437.5442666160356,200,0,2240.0,437.5442666160356,,134,,4864,1680691614.0,,2144.0,0.0,2,,,232.63
2,,59.78,10.0,2.0,235.06,2.0,0.0,,5487,456.38902197303287,202,0,2432.0,456.38902197303287,,135,,5408,1680691616.0,,2432.0,0.0,2,,,202.48
2,,57.51,10.0,2.0,234.96,2.0,0.0,,6046,464.6514764645931,203,0,2720.0,464.6514764645931,,136,,5984,1680691617.0,,2688.0,0.0,2,,,221.43
2,,55.73,10.0,2.0,234.5,2.0,0.0,,6609,469.39102552849545,204,0,3008.0,469.39102552849545,,137,,6528,1680691618.0,,2976.0,0.0,2,,,230.15
2,,54.48,10.0,2.0,235.92,2.0,0.0,,7171,469.8427646739965,205,0,3264.0,469.8427646739965,,138,,7072,1680691619.0,,3264.0,0.0,2,,,233.47
2,,53.28,10.0,2.0,234.46,2.0,0.0,,7729,469.92240158949795,206,0,3552.0,469.92240158949795,,139,,7648,1680691620.0,,3520.0,0.0,2,,,235.38
2,,52.12,10.0,2.0,234.74,2.0,0.0,,8285,469.77275159949465,208,0,3840.0,469.77275159949465,,140,,8224,1680691622.0,,3808.0,0.0,2,,,235.18
2,,51.03,10.0,2.0,234.7,2.0,0.0,,8844,468.8400291889975,209,0,4128.0,468.8400291889975,,141,,8800,1680691623.0,,4096.0,0.0,2,,,235.08
