04_peers/peer_2_samples_accumulated,03_hivemind/epoch_s,04_peers/peer_1_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/total_training_samples,04_peers/peer_2_samples_per_second,04_peers/peer_2_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/actual_total_samples_per_second,_timestamp,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/num_clients,03_hivemind/global_epoch,_runtime,03_hivemind/num_peers,04_peers/peer_1_samples_per_second,03_hivemind/global_samples_accumulated,_step,03_hivemind/next_fetch_time_s,03_hivemind/per_epoch_training_samples,04_peers/peer_1_epoch_oos,03_hivemind/reached_TBS,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,03_hivemind/epoch_based_sps
6656.0,,7040.0,13989,177.7298890606516,,92.04,0.0,105.66,177.7298890606516,1681402583.0,0.0,0.0,0,0,113,2,85.69,13888,68,10.0,,0.0,,,,
6752.0,,7136.0,14201,177.65777018209934,,92.05,0.0,104.51,177.65777018209934,1681402584.0,0.0,0.0,0,0,114,2,85.68,14144,69,10.0,,0.0,,,,
6880.0,,7264.0,14412,177.59404599742615,,91.99,0.0,103.36,177.59404599742615,1681402585.0,0.0,0.0,0,0,115,2,85.66,14336,70,10.0,,0.0,,,,
6976.0,,7360.0,14622,177.55442218382004,,91.94,0.0,102.2,177.55442218382004,1681402586.0,0.0,0.0,0,0,116,2,85.66,14528,71,10.0,,0.0,,,,
7072.0,,7456.0,14833,177.5458888976542,,91.93,0.0,101.02,177.5458888976542,1681402587.0,0.0,0.0,0,0,117,2,85.62,14752,72,10.0,,0.0,,,,
7200.0,,7552.0,15043,177.5584589670152,,91.91,0.0,99.83,177.5584589670152,1681402589.0,0.0,0.0,0,0,119,2,85.63,14944,73,10.0,,0.0,,,,
7296.0,,7648.0,15254,177.48322372721313,,91.94,0.0,98.68,177.48322372721313,1681402590.0,0.0,0.0,0,0,120,2,85.62,15168,74,10.0,,0.0,,,,
7424.0,,7744.0,15464,177.45407395866349,,91.9,0.0,97.51,177.45407395866349,1681402591.0,0.0,0.0,0,0,121,2,85.59,15392,75,10.0,,0.0,,,,
7520.0,,7872.0,15674,177.35688227411552,,91.85,0.0,96.38,177.35688227411552,1681402592.0,0.0,0.0,0,0,122,2,85.6,15584,76,10.0,,0.0,,,,
7616.0,,7968.0,15884,177.3018993847997,,91.76,0.0,95.23,177.3018993847997,1681402593.0,0.0,0.0,0,0,123,2,85.6,15808,77,10.0,,0.0,,,,
7744.0,,8064.0,16095,177.3095428398314,,91.73,0.0,94.03,177.3095428398314,1681402595.0,0.0,0.0,0,0,125,2,85.57,16000,78,10.0,,0.0,,,,
7840.0,,8160.0,16305,177.2136816946971,,91.73,0.0,92.9,177.2136816946971,1681402596.0,0.0,0.0,0,0,126,2,85.58,16224,79,10.0,,0.0,,,,
7968.0,,8256.0,16515,177.1743375960683,,91.67,0.0,91.73,177.1743375960683,1681402597.0,0.0,0.0,0,0,127,2,85.54,16416,80,10.0,,0.0,,,,
8064.0,,8352.0,16725,177.16066995843534,,91.63,0.0,90.55,177.16066995843534,1681402598.0,0.0,0.0,0,0,128,2,85.54,16640,81,10.0,,0.0,,,,
8160.0,,8480.0,16936,177.07156385508154,,91.63,0.0,89.41,177.07156385508154,1681402599.0,0.0,0.0,0,0,129,2,85.53,16864,82,10.0,,0.0,,,,
8288.0,,8576.0,17146,176.99443751756388,,91.55,0.0,88.26,176.99443751756388,1681402601.0,0.0,0.0,0,0,131,2,85.52,17056,83,10.0,,0.0,,,,
8384.0,,8672.0,17356,177.00890718613869,,91.49,0.0,87.07,177.00890718613869,1681402602.0,0.0,0.0,0,0,132,2,85.5,17280,84,10.0,,0.0,,,,
8512.0,,8768.0,17565,176.91259351721953,,91.51,0.0,85.93,176.91259351721953,1681402603.0,0.0,0.0,0,0,133,2,85.49,17472,85,10.0,,0.0,,,,
8608.0,,8864.0,17775,176.90494905912908,,91.48,0.0,84.75,176.90494905912908,1681402604.0,0.0,0.0,0,0,134,2,85.43,17664,86,10.0,,0.0,,,,
8704.0,,8960.0,17985,176.88954693385963,,91.47,0.0,83.57,176.88954693385963,1681402605.0,0.0,0.0,0,0,135,2,85.43,17920,87,10.0,,0.0,,,,
