cpu/load/avg_sys_load_five_min_percent,disk/counter/disk_write_sys_count,_runtime,cpu/interrupts/interrupts_count,01_general/step_based_sps,disk/time/disk_read_time_sys_s,process/memory/text_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,cpu/interrupts/soft_interrupts_count,cpu/load/avg_sys_load_one_min_percent,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/dirty_pages_proc_count,process/memory/data_resident_set_proc_MB,01_general/locally_processed_samples,disk/time/disk_write_time_sys_s,process/voluntary_proc_ctx_switches,process/memory/virtual_memory_size_proc_MB,02_timing/dataload_time_s,02_timing/loss_calc_time_s,01_general/dataset_iteration_count,memory/total_memory_sys_MB,01_general/step,memory/used_memory_sys_MB,02_timing/step_time_s,bandwidth/disk_write_sys_bandwidth_MBs,02_timing/forward_time_s,process/memory/lib_memory_proc_MB,_timestamp,cpu/logical_core_count,process/involuntary_proc_ctx_switches,memory/used_memory_sys_percent,disk/time/disk_busy_time_sys_s,process/memory/shared_memory_proc_MB,02_timing/backward_time_s,cpu/interrupts/ctx_switches_count,disk/counter/disk_read_sys_count,_step,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/opt_step_time_s,bandwidth/net_recv_sys_bandwidth_Mbits,01_general/minibatch_loss,memory/available_memory_sys_MB,process/memory/resident_set_size_proc_MB,02_timing/dataload_cuda_move_time_s,01_general/lr
18.0,53.0,20,41563.0,,0.0019999999999988916,2.654208,11.625,22497.0,20.375,0.0,0.0,0.0,,0.0500000000001819,6215.0,25403.748352,,0.0010156040000310895,,,,4220.055552,,0.012253931630808793,0.13607074700007615,3600.175104,1696164826.0,,54.0,15.0,0.20400000000000773,972.36992,0.03475560399988353,26655.0,1.0,35,0.06892836542388049,2.322000000276603e-06,0.010698256717935216,,26838.032384,3701.190656,0.002461431000028824,
,,20,,20.01985814773713,,,,,,,,,128.0,,,,0.2252975230001084,,0.0,,15.0,,0.3996032310001283,,,,1696164826.0,,,,,,,,,36,,,,2.177732467651367,,,,0.0001
,,20,,45.11172327096931,,,,,,,,,136.0,,,,0.0034561709999252344,0.0009993319999921368,0.0,,16.0,,0.17733749499984697,,0.1368710839999494,,1696164826.0,,,,,,0.03345196700001907,,,37,,2.2419999368139543e-06,,2.1125545501708984,,,0.0025566990000243095,0.0001
18.0,56.0,21,43788.0,,0.0019999999999988916,2.654208,11.625,23293.0,20.375,0.0,0.0,0.0,,0.052000000000134605,6233.0,25403.748352,,0.0010020520001035038,,,,4218.208256,,0.012258364614102294,0.13469014800011792,3600.175104,1696164827.0,,55.0,14.9,0.22800000000000864,972.36992,0.029640489999792408,27926.0,1.0,38,0.0,2.5659999209892703e-06,0.0,,26839.871488,3701.190656,0.0023761019999710697,
,,21,,21.0950000538651,,,,,,,,,144.0,,,,0.21152542699996957,,0.0,,17.0,,0.37923678499987545,,,,1696164827.0,,,,,,,,,39,,,,2.663125514984131,,,,0.0001
,,21,,47.13844146617284,,,,,,,,,152.0,,,,0.0032593290000022535,0.0011501100000259612,0.0,,18.0,,0.16971286600005442,,0.13587434500004747,,1696164827.0,,,,,,0.027026084999988598,,,40,,2.3669999791309237e-06,,2.4500067234039307,,,0.002400630000011006,0.0001
18.0,59.0,22,46012.0,,0.0019999999999988916,2.654208,11.625,24281.0,20.375,0.0,0.0,0.0,,0.05500000000029104,6256.0,25411.44064,,0.0007921169999463018,,,,4217.483264,,0.012247307081244108,0.1372352299999875,3600.175104,1696164828.0,,56.0,14.9,0.2400000000000091,972.36992,0.027310526000064783,29102.0,1.0,41,0.131387451879165,2.79200003205915e-06,0.08392913693917413,,26840.82176,3701.321728,0.0025115670000559476,
,,22,,21.130188266804026,,,,,,,,,160.0,,,,0.2107530079999833,,0.0,,19.0,,0.3786052400000699,,,,1696164828.0,,,,,,,,,42,,,,2.525024175643921,,,,0.0001
,,22,,44.27320576896596,,,,,,,,,168.0,,,,0.0021123819999502302,0.000989215000117838,0.0,,20.0,,0.18069619900006728,,0.13778092300003664,,1696164828.0,,,,,,0.03737451200004216,,,43,,3.5820000903186155e-06,,2.2004191875457764,,,0.0024355849998300982,0.0001
18.0,65.0,23,48434.0,,0.0019999999999988916,2.654208,11.625,25105.0,20.375,0.0,0.0,0.0,,0.06000000000040018,6272.0,25403.748352,,0.0009147770001618483,,,,4214.321152,,0.06125323061921924,0.13674719200002983,3600.175104,1696164829.0,,57.0,14.9,0.2600000000000051,972.345344,0.03013746400006312,30345.0,1.0,44,0.0,3.3930000427062623e-06,0.0,,26843.762688,3701.608448,0.002560463999998319,
