04_peers/peer_1_epoch_oos,03_hivemind/total_training_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_samples_per_second,03_hivemind/epoch_s,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/global_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_1_epoch,03_hivemind/num_clients,03_hivemind/epoch_based_sps,03_hivemind/global_samples_accumulated,_step,03_hivemind/undershot_TBS,03_hivemind/per_epoch_training_samples,_runtime,03_hivemind/optimistic_total_samples_per_second,_timestamp,04_peers/peer_2_epoch_oos,04_peers/peer_1_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/next_fetch_time_s,03_hivemind/eta_next_epoch_s,03_hivemind/estimated_current_samples
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,76,,,131,2149.19591513779,1683032380.0,0.0,0.0,4.0,0.5,0.0,51506
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,77,,,132,2149.19591513779,1683032381.0,0.0,0.0,4.0,0.5,0.0,53696
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,78,,,133,2149.19591513779,1683032382.0,0.0,0.0,4.0,0.5,0.0,55892
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,79,,,134,2149.19591513779,1683032383.0,0.0,0.0,4.0,0.5,0.0,58080
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,80,,,135,2149.19591513779,1683032384.0,0.0,0.0,4.0,0.5,0.0,60270
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,81,,,136,2149.19591513779,1683032385.0,0.0,0.0,4.0,0.5,0.0,62459
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,82,,,137,2149.19591513779,1683032386.0,0.0,0.0,4.0,0.5,0.0,64649
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,83,,,138,2149.19591513779,1683032387.0,0.0,0.0,4.0,0.5,0.0,66835
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,84,,,139,2149.19591513779,1683032388.0,0.0,0.0,4.0,0.5,0.0,69035
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,85,,,140,2149.19591513779,1683032389.0,0.0,0.0,4.0,0.5,0.0,71225
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,86,,,141,2149.19591513779,1683032390.0,0.0,0.0,4.0,0.5,0.0,73415
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,87,,,142,2149.19591513779,1683032391.0,0.0,0.0,4.0,0.5,0.0,75603
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,88,,,143,2149.19591513779,1683032392.0,0.0,0.0,4.0,0.5,0.0,77798
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,89,,,144,2149.19591513779,1683032393.0,0.0,0.0,4.0,0.5,0.0,79989
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,90,,,145,2149.19591513779,1683032394.0,0.0,0.0,4.0,0.5,0.0,82181
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,91,,,146,2149.19591513779,1683032395.0,0.0,0.0,4.0,0.5,0.0,84369
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,92,,,147,2149.19591513779,1683032396.0,0.0,0.0,4.0,0.5,0.0,86564
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,93,,,148,2149.19591513779,1683032397.0,0.0,0.0,4.0,0.5,0.0,88762
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,94,,,149,2149.19591513779,1683032398.0,0.0,0.0,4.0,0.5,0.0,90953
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,95,,,150,2149.19591513779,1683032399.0,0.0,0.0,4.0,0.5,0.0,93152
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,96,,,151,2149.19591513779,1683032400.0,0.0,0.0,4.0,0.5,0.0,95342
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,97,,,152,2149.19591513779,1683032401.0,0.0,0.0,4.0,0.5,0.0,97538
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,98,,,153,2149.19591513779,1683032402.0,0.0,0.0,4.0,0.5,0.0,99726
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,99,,,154,2149.19591513779,1683032403.0,0.0,0.0,4.0,0.5,0.0,101914
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,100,,,155,2149.19591513779,1683032404.0,0.0,0.0,4.0,0.5,0.0,104101
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,101,,,156,2149.19591513779,1683032405.0,0.0,0.0,4.0,0.5,0.0,106292
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,102,,,157,2149.19591513779,1683032406.0,0.0,0.0,4.0,0.5,0.0,108489
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,103,,,158,2149.19591513779,1683032407.0,0.0,0.0,4.0,0.5,0.0,110680
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,104,,,159,2149.19591513779,1683032408.0,0.0,0.0,4.0,0.5,0.0,112883
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,105,,,160,2149.19591513779,1683032409.0,0.0,0.0,4.0,0.5,0.0,115084
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,106,,,161,2149.19591513779,1683032410.0,0.0,0.0,4.0,0.5,0.0,117282
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,107,,,162,2149.19591513779,1683032411.0,0.0,0.0,4.0,0.5,0.0,119471
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,108,,,163,2149.19591513779,1683032412.0,0.0,0.0,4.0,0.5,0.0,121669
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,109,,,165,2149.19591513779,1683032414.0,0.0,0.0,4.0,0.5,0.0,123865
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,110,,,166,2149.19591513779,1683032415.0,0.0,0.0,4.0,0.5,0.0,126064
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,111,,,167,2149.19591513779,1683032416.0,0.0,0.0,4.0,0.5,0.0,128249
