04_peers/peer_1_epoch,03_hivemind/overshot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,03_hivemind/actual_total_samples_per_second,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,03_hivemind/estimated_current_samples,_timestamp,03_hivemind/epoch_s,03_hivemind/num_clients,04_peers/peer_2_epoch_oos,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/per_epoch_training_samples,_step,03_hivemind/global_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,_runtime,03_hivemind/total_training_samples,04_peers/peer_2_samples_per_second
1.0,,0.0,,92.32,185.06243316851362,1,9.02,2,,,22.56,4017,1680687846.0,,0,0.0,1856.0,1888.0,1.0,,60,3968,185.06243316851362,114,,92.88
1.0,,0.0,,92.25,184.98943729154206,1,8.55,2,,,21.38,4237,1680687847.0,,0,0.0,1984.0,1984.0,1.0,,61,4192,184.98943729154206,115,,92.82
1.0,,0.0,,92.19,184.8640458168273,1,8.08,2,,,20.21,4456,1680687848.0,,0,0.0,2080.0,2112.0,1.0,,62,4416,184.8640458168273,116,,92.8
1.0,,0.0,,92.1,184.7922703055454,1,7.61,2,,,19.03,4675,1680687849.0,,0,0.0,2208.0,2208.0,1.0,,63,4640,184.7922703055454,117,,92.76
1.0,,0.0,,92.04,184.68117198807084,1,7.14,2,,,17.86,4894,1680687851.0,,0,0.0,2304.0,2336.0,1.0,,64,4832,184.68117198807084,119,,92.75
1.0,,0.0,,92.01,184.68215580452153,1,6.67,2,,,16.67,5113,1680687852.0,,0,0.0,2400.0,2432.0,1.0,,65,5056,184.68215580452153,120,,92.67
1.0,,0.0,,92.01,184.59749517399916,1,6.2,2,,,15.49,5332,1680687853.0,,0,0.0,2528.0,2528.0,1.0,,66,5280,184.59749517399916,121,,92.67
1.0,,0.0,,91.99,184.42745779329886,1,5.73,2,,,14.32,5550,1680687854.0,,0,0.0,2624.0,2656.0,1.0,,67,5504,184.42745779329886,122,,92.6
1.0,,0.0,,91.92,184.36138635956837,1,5.26,2,,,13.14,5769,1680687855.0,,0,0.0,2752.0,2752.0,1.0,,68,5728,184.36138635956837,123,,92.51
1.0,,0.0,,91.9,184.26543630655328,1,4.79,2,,,11.96,5988,1680687857.0,,0,0.0,2848.0,2880.0,1.0,,69,5920,184.26543630655328,125,,92.47
1.0,,0.0,,91.82,184.08442260778975,1,4.32,2,,,10.79,6206,1680687858.0,,0,0.0,2944.0,2976.0,1.0,,70,6176,184.08442260778975,126,,92.45
1.0,,0.0,,91.73,183.97669029235064,1,3.84,2,,,9.61,6424,1680687859.0,,0,0.0,3072.0,3104.0,1.0,,71,6368,183.97669029235064,127,,92.35
1.0,,0.0,,91.69,183.84148824041827,1,3.37,2,,,8.44,6641,1680687860.0,,0,0.0,3168.0,3200.0,1.0,,72,6592,183.84148824041827,128,,92.29
1.0,,0.0,,91.64,183.86019779007324,1,2.9,2,,,7.25,6859,1680687861.0,,0,0.0,3296.0,3296.0,1.0,,73,6816,183.86019779007324,129,,92.2
1.0,,0.0,,91.68,183.81745594007867,1,2.43,2,,,6.07,7077,1680687862.0,,0,0.0,3392.0,3424.0,1.0,,74,7008,183.81745594007867,130,,92.19
1.0,,0.0,,91.65,183.7095853699909,1,1.95,2,,,4.89,7294,1680687864.0,,0,0.0,3488.0,3520.0,1.0,,75,7264,183.7095853699909,132,,92.17
