memory/total_memory_sys_MB,cpu/logical_core_count,01_general/dataset_iteration_count,process/memory/shared_memory_proc_MB,cpu/load/avg_sys_load_one_min_percent,process/involuntary_proc_ctx_switches,cpu/load/avg_sys_load_five_min_percent,cpu/interrupts/soft_interrupts_count,02_timing/backward_time_s,disk/time/disk_busy_time_sys_s,01_general/step,process/memory/lib_memory_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/dataload_time_s,memory/used_memory_sys_percent,memory/available_memory_sys_MB,process/voluntary_proc_ctx_switches,cpu/interrupts/ctx_switches_count,02_timing/dataload_cuda_move_time_s,memory/used_memory_sys_MB,01_general/lr,process/memory/text_resident_set_proc_MB,01_general/step_based_sps,process/memory/virtual_memory_size_proc_MB,disk/time/disk_read_time_sys_s,02_timing/loss_calc_time_s,bandwidth/net_recv_sys_bandwidth_Mbits,_runtime,02_timing/forward_time_s,_step,disk/time/disk_write_time_sys_s,cpu/interrupts/interrupts_count,01_general/minibatch_loss,02_timing/opt_step_time_s,process/memory/dirty_pages_proc_count,disk/counter/disk_write_sys_count,_timestamp,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/step_time_s,01_general/locally_processed_samples,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/data_resident_set_proc_MB,disk/counter/disk_read_sys_count,process/memory/resident_set_size_proc_MB,bandwidth/disk_write_sys_bandwidth_MBs
,,0.0,,,,,,0.0627127930001734,,33.0,,,0.0016257999996014405,,,,,0.001097876000130782,,0.0001,,12.815860389339786,,,0.0014227520005078986,,25,0.16722388000016508,59,,,2.4616308212280273,1.845999577199109e-06,,,1696189982.0,,0.2340849470001558,102.0,,,,,
,,,968.564736,10.625,75.0,5.875,12551.0,,0.3240000000000123,,3594.571776,9.25,,15.3,26729.775104,532.0,12754.0,0.0012572579998959554,4339.625984,,2.654208,,28178.796544,0.0,0.0012655410000661504,0.009858963531873781,25,0.16752407799958746,60,0.08699999999998909,29585.0,,,0.0,105.0,1696189982.0,0.0730089750755655,,,0.0,0.0,0.0,3695.935488,0.0612595792235672
,,0.0,,,,,,0.05599471899950004,,34.0,,,0.0017481899994891137,,,,,,,0.0001,,13.169911067805394,,,,,26,,61,,,2.767732620239258,2.1849991753697395e-06,,,1696189983.0,,0.2277919709977141,105.0,,,,,
,,0.0,,,,,,0.05961574600041786,,35.0,,,0.0020110639998165425,,,,,0.0011138059999211691,,0.0001,,12.900767835640867,,,0.0014566630006811465,,26,0.16834485399976984,62,,,2.432921886444092,2.164999386877753e-06,,,1696189983.0,,0.23254429799999343,108.0,,,,,
,,,968.564736,10.625,80.0,5.875,14350.0,0.05526242599989928,0.3440000000000225,,3594.571776,9.25,,15.2,26761.244672,556.0,14522.0,0.0011673440003505675,4308.365312,,2.654208,,28178.796544,0.0,0.0012067099996784236,0.0657630362266672,26,0.16869269299968437,63,0.09200000000009823,32183.0,,2.5200006348313764e-06,0.0,112.0,1696189983.0,0.020798358289387288,,,0.0,0.0,0.0,3695.935488,0.10215617279072296
,,0.0,,,,,,,,36.0,,,0.0016242559995589545,,,,,,,0.0001,,13.1604374141714,,,,,27,,64,,,2.252122640609741,,,,1696189984.0,,0.22795594899980642,111.0,,,,,
,,0.0,,,,,,0.06857636099994124,,37.0,,,0.001654689999668335,,,,,0.0010728360002758563,,0.0001,,12.37320353458148,,,0.0011782809997384902,,27,0.1699753660004717,65,,,2.00380802154541,1.9059998521697707e-06,,,1696189984.0,,0.2424594399999478,114.0,,,,,
,,,968.564736,10.625,87.0,5.875,15460.0,0.06985464900026273,0.3800000000000239,,3594.571776,9.25,,15.2,26757.013504,578.0,15511.0,0.0011015629997928045,4312.788992,,2.654208,,28178.796544,0.0,0.0011972669999522623,0.08115675516319837,27,0.16931097299948306,66,0.10300000000006548,34158.0,,1.8499995348975062e-06,0.0,131.0,1696189984.0,0.10537610151479047,,,0.0,0.0,0.0,3695.935488,0.2696606756223525
,,0.0,,,,,,,,38.0,,,0.0016496539992658654,,,,,,,0.0001,,12.339790647147327,,,,,28,,67,,,2.047351121902466,,,,1696189985.0,,0.2431159559982916,117.0,,,,,
,,0.0,,,,,,0.05725196900039009,,39.0,,,0.0015825270002096659,,,,,0.0010883559998546843,,0.0001,,13.011304247082634,,,0.0012641309995160555,,28,0.16937955700086604,68,,,2.3334057331085205,2.1980004021315835e-06,,,1696189985.0,,0.23056873800123867,120.0,,,,,
