_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
34,29,,,1681400465,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012787808664143085,0.027617535088211298,0.005613969173282385,0.04544981708750129,0.0018358360975980759,2.0,224.0,12.71875,0.08302379865199327,0.0,0.0001,0.00122786033898592,0.0,6.0
35,29,,,1681400465,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001314012799412012,0.028632781002670527,0.00629422627389431,0.04160073213279247,0.0018368163146078587,2.0,256.0,12.504523277282715,0.08089998969808221,0.0,0.0001,0.0012214211747050285,0.0,7.0
36,29,,,1681400465,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011872104369103909,0.02724249567836523,0.005162007641047239,0.047070787753909826,0.0018949569202959538,2.0,288.0,12.611979484558105,0.08372758748009801,0.0,0.0001,0.0011701290495693684,0.0,8.0
37,29,,,1681400465,2.59375,0.0,0.2039999999999509,11957.092352,0.0366476165130047,56674.0,0.9132080215556738,5095.071744,259.0,12707.053568,0.0,0.0,0.0,9.46875,107068.0,53.215059082791726,229818.425344,2.854912,1090.0,0.31900000000041473,12822.667264,0.0,1354985.0,10.0,4.34375,46062.542848,428.0,,,,,,,,,,,,,,
38,29,,,1681400465,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012292605824768543,0.028094426728785038,0.005018764175474644,0.044370691291987896,0.00023780576884746552,2.0,320.0,12.574424743652344,0.08042120467871428,0.0,0.0001,0.0014702561311423779,0.0,9.0
39,29,,,1681400465,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012151100672781467,0.02722204616293311,0.0052857110276818275,0.04507161909714341,0.0019450383260846138,2.0,352.0,12.776269912719727,0.08201567688956857,0.0,0.0001,0.0012761522084474564,0.0,10.0
40,29,,,1681400465,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011957287788391113,0.027988275047391653,0.006284055765718222,0.04178445693105459,0.001956139225512743,2.0,384.0,12.689040184020996,0.08057616977021098,0.0,0.0001,0.0013675140216946602,0.0,11.0
41,29,,,1681400465,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012341011315584183,0.026909546926617622,0.008541592862457037,0.046724549029022455,0.0019305581226944923,2.0,416.0,12.519486427307129,0.08643746515735984,0.0,0.0001,0.0010971170850098133,0.0,12.0
42,29,,,1681400465,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001223740167915821,0.02752761309966445,0.0075401682406663895,0.04389435891062021,0.0007288479246199131,2.0,448.0,12.507291793823242,0.0841978695243597,0.0,0.0001,0.003283141180872917,0.0,13.0
43,30,,,1681400466,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011811400763690472,0.027522593270987272,0.00528881186619401,0.04438836174085736,0.001820995006710291,2.0,480.0,12.619043350219727,0.08189466409385204,0.0,0.0001,0.0016927621327340603,0.0,14.0
44,30,,,1681400466,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012638908810913563,0.027658377308398485,0.005294002126902342,0.04311306029558182,0.0018031150102615356,2.0,512.0,12.602898597717285,0.08038865681737661,0.0,0.0001,0.001256211195141077,0.0,15.0
45,30,,,1681400466,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001227369997650385,0.027923412155359983,0.005345853045582771,0.044613507110625505,0.001943238079547882,2.0,544.0,12.767724990844727,0.08231196133419871,0.0,0.0001,0.0012585809454321861,0.0,16.0
46,30,,,1681400466,2.59375,0.0,0.2400000000000091,11958.571008,0.04072685228450963,65402.0,0.9264563446097553,5095.071744,269.0,12707.06176,0.0,0.0,0.0,9.46875,111171.0,59.2804789103069,229816.930304,2.854912,1314.0,0.32300000000032014,12822.667264,0.0,1362051.0,10.0,4.34375,46062.542848,429.0,,,,,0.0018069050274789333,,,,,,,,,
47,30,,,1681400466,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014243051409721375,0.044839002192020416,0.005302261095494032,0.04200503183528781,,2.0,576.0,12.726019859313965,0.0966648873873055,0.0,0.0001,0.0012873820960521698,0.0,17.0
48,30,,,1681400466,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001515258103609085,0.028861936181783676,0.005436665378510952,0.04526168294250965,0.0018956069834530354,2.0,608.0,12.679301261901855,0.08532895892858505,0.0,0.0001,0.0023578093387186527,0.0,18.0
49,30,,,1681400466,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012634219601750374,0.029262125957757235,0.006422128994017839,0.041275974828749895,0.0017674239352345467,2.0,640.0,12.707377433776855,0.08118148567155004,0.0,0.0001,0.0011904099956154823,0.0,19.0
50,30,,,1681400466,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001329353079199791,0.027876101899892092,0.005217450205236673,0.04320088215172291,0.0019396282732486725,2.0,672.0,12.711793899536133,0.08077220525592566,0.0,0.0001,0.0012087896466255188,0.0,20.0
