03_hivemind/global_epoch,04_peers/peer_2_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/overshot_TBS,03_hivemind/total_training_samples,03_hivemind/num_peers,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/undershot_TBS,03_hivemind/actual_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_2_samples_accumulated,_runtime,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,03_hivemind/optimistic_total_samples_per_second,_step,_timestamp,03_hivemind/num_clients,03_hivemind/eta_next_epoch_s,03_hivemind/per_epoch_training_samples,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_per_second,03_hivemind/estimated_current_samples
0,353.33,25408,,,2,0.0,,3616.0,0.0,0.0,,393.95576492034866,,21248.0,135,,0.0,393.95576492034866,74,1681390467.0,0,17.89,,7.16,37.02,25721
0,356.96,25984,,,2,0.0,,3648.0,0.0,0.0,,392.9632226323545,,21760.0,136,,0.0,392.9632226323545,75,1681390468.0,0,16.78,,6.71,37.0,26176
0,356.0,26272,,,2,0.0,,3712.0,0.0,0.0,,394.50430433798266,,22272.0,138,,0.0,394.50430433798266,76,1681390470.0,0,15.51,,6.2,36.97,26651
0,357.54,26816,,,2,0.0,,3744.0,0.0,0.0,,397.4765037181387,,22528.0,139,,0.0,397.4765037181387,77,1681390471.0,0,14.16,,5.66,36.96,27141
0,360.53,27392,,,2,0.0,,3776.0,0.0,0.0,,394.70709367337867,,23040.0,140,,0.0,394.70709367337867,78,1681390472.0,0,13.13,,5.25,36.95,27587
0,357.78,27680,,,2,0.0,,3840.0,0.0,0.0,,394.99155836570145,,23552.0,141,,0.0,394.99155836570145,79,1681390473.0,0,11.94,,4.78,36.93,28053
0,358.08,28224,,,2,0.0,,3872.0,0.0,0.0,,392.40052795616486,,23808.0,142,,0.0,392.40052795616486,80,1681390474.0,0,10.89,,4.36,36.91,28495
0,355.51,28800,,,2,0.0,,3904.0,0.0,0.0,,394.5555638894728,,24320.0,144,,0.0,394.5555638894728,81,1681390476.0,0,9.61,,3.84,36.9,28976
0,357.67,29088,,,2,0.0,,3968.0,0.0,0.0,,392.26934094667445,,24832.0,145,,0.0,392.26934094667445,82,1681390477.0,0,8.53,,3.41,36.89,29423
0,355.39,29664,,,2,0.0,,4000.0,0.0,0.0,,395.00839315215313,,25088.0,146,,0.0,395.00839315215313,83,1681390478.0,0,7.24,,2.9,36.88,29907
0,358.14,30208,,,2,0.0,,4064.0,0.0,0.0,,392.14004614399124,,25600.0,147,,0.0,392.14004614399124,84,1681390479.0,0,6.16,,2.46,36.87,30351
0,355.27,30496,,,2,0.0,,4096.0,0.0,0.0,,393.7747455700725,,26112.0,148,,0.0,393.7747455700725,85,1681390480.0,0,4.93,,1.97,36.87,30826
0,356.91,31072,,,2,0.0,,4128.0,0.0,0.0,,394.9890195226917,,26368.0,149,,0.0,394.9890195226917,86,1681390481.0,0,3.72,,1.49,36.87,31299
0,358.14,31616,,,2,0.0,,4192.0,0.0,0.0,,399.3409362294104,,26880.0,151,,0.0,399.3409362294104,87,1681390483.0,0,2.43,,0.97,36.85,31798
0,362.5,31904,,,2,0.0,,4224.0,0.0,0.0,,401.2335738356295,,27392.0,152,,0.0,401.2335738356295,88,1681390484.0,0,1.21,,0.5,36.84,32281
0,364.4,32480,,,2,0.0,,4256.0,0.0,0.0,,402.9851373282414,,27648.0,153,,0.0,402.9851373282414,89,1681390485.0,0,0.0,,0.5,36.84,32766
0,366.17,32768,,,2,0.0,,4320.0,0.0,0.0,,377.3482831808796,,28160.0,154,,0.0,377.3482831808796,90,1681390486.0,0,0.0,,0.5,36.81,33031
