01_general/dataset_iteration_count,process/involuntary_proc_ctx_switches,process/memory/dirty_pages_proc_count,02_timing/dataload_time_s,disk/time/disk_write_time_sys_s,cpu/interrupts/ctx_switches_count,cpu/load/avg_sys_load_one_min_percent,01_general/minibatch_loss,disk/counter/disk_read_sys_count,_step,01_general/lr,_runtime,cpu/logical_core_count,02_timing/forward_time_s,disk/time/disk_read_time_sys_s,cpu/interrupts/soft_interrupts_count,02_timing/loss_calc_time_s,03_hivemind/num_peers,memory/available_memory_sys_MB,01_general/step,memory/used_memory_sys_percent,_timestamp,memory/total_memory_sys_MB,02_timing/opt_step_time_s,process/memory/shared_memory_proc_MB,02_timing/step_time_s,cpu/interrupts/interrupts_count,bandwidth/disk_read_sys_bandwidth_MBs,02_timing/dataload_cuda_move_time_s,process/memory/text_resident_set_proc_MB,process/memory/data_resident_set_proc_MB,process/memory/virtual_memory_size_proc_MB,02_timing/backward_time_s,process/voluntary_proc_ctx_switches,disk/time/disk_busy_time_sys_s,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/lib_memory_proc_MB,03_hivemind/global_epoch,cpu/load/avg_sys_load_fifteen_min_percent,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/resident_set_size_proc_MB,01_general/locally_processed_samples,bandwidth/net_sent_sys_bandwidth_Mbits,disk/counter/disk_write_sys_count,memory/used_memory_sys_MB,cpu/load/avg_sys_load_five_min_percent
,224.0,0.0,,35.327999999999975,287665.0,9.0,,4592.0,52,,46,,,3.9570000000000007,105015.0,,,25200.390144,,20.1,1696169627.0,,,1286.950912,,271447.0,0.0,,2.654208,0.0,31119.138816,,7681.0,5.9879999999999995,187.87232855203052,3937.456128,,4.5,0.04088682043079175,4238.97088,,108.47867596827388,1032.0,5481.467904,5.25
0.0,,,2.0222208159998445,,,,2.7763617038726807,,53,0.0001,47,,,,,,8.0,,5.0,,1696169628.0,,17.780213947999982,,20.053615047999983,,,,,,,,,,,,3.0,,,,120.0,,,,
,242.0,0.0,,35.32999999999993,328486.0,9.0,,4592.0,54,,47,,,3.9570000000000007,122062.0,,,25215.83616,,20.1,1696169628.0,,,1287.0656,,307445.0,0.0,0.006308989999979531,2.654208,0.0,31119.138816,,7732.0,6.0,57.46809394249915,3937.456128,,4.5,0.01225150519506159,4239.085568,,18.54163215411256,1035.0,5485.154304,5.25
0.0,,,0.006004508000160058,,,,2.575277090072632,,55,0.0001,48,,0.23595807800006696,,,0.0004733760001727205,8.0,,6.0,,1696169629.0,,0.3518363880000379,,0.6224865480003245,,,,,,,0.02190520799990736,,,,,3.0,,,,140.0,,,,
0.0,,,0.0058728960000280495,,,,2.8454978466033936,,56,0.0001,48,,0.15962706100003743,,,0.0006029879998550314,8.0,,7.0,,1696169629.0,,0.023112969000067096,,0.21736459600015223,,,0.005447792000040863,,,,0.022700890000123763,,,,,3.0,,,,160.0,,,,
,246.0,0.0,,35.33199999999988,350533.0,9.0,,4592.0,57,,48,,,3.9570000000000007,132142.0,,,25160.531968,,20.3,1696169629.0,,,1287.077888,,327372.0,0.0,0.005606223000086175,2.654208,0.0,31119.13472,,7796.0,6.0120000000000005,9.959879077609795,3937.456128,,4.5,0.012219324449616408,4239.118336,,9.770622743845609,1038.0,5578.919936,5.25
,247.0,0.0,,35.335000000000036,355201.0,9.0,,4592.0,58,,49,,0.15815196100015783,3.9570000000000007,134120.0,0.00044599099987863156,,25017.491456,,20.7,1696169630.0,,,1287.077888,,332191.0,0.0,,2.654208,0.0,31119.13472,0.018028969999932087,7809.0,6.016000000000005,1.5404557905764256,3937.456128,,4.5,0.07763047462776701,4239.384576,,1.6648177680228573,1042.0,5722.03008,5.25
,247.0,0.0,,35.335999999999785,359209.0,10.25,,4592.0,59,,50,,,3.9570000000000007,135745.0,,,25185.140736,,20.2,1696169631.0,,,1287.077888,,335966.0,0.0,,2.654208,0.0,31119.13472,,7809.0,6.02000000000001,0.5274167212800991,3937.456128,,4.625,0.004085841660960074,4239.384576,,1.3210276228898299,1043.0,5516.02176,5.625
,247.0,0.0,,35.335999999999785,361385.0,10.25,,4592.0,60,,51,,,3.9570000000000007,136476.0,,,25106.358272,,20.4,1696169632.0,,,1287.077888,,337789.0,0.0,,2.654208,0.0,31119.13472,,7809.0,6.024000000000001,0.20681552306869713,3937.456128,,4.625,0.004086033101496685,4239.384576,,0.6439492400658192,1044.0,5594.730496,5.625
,247.0,0.0,,35.353999999999814,362245.0,10.25,,4592.0,61,,52,,,3.9570000000000007,136854.0,,,25210.83904,,20.1,1696169633.0,,,1287.077888,,338603.0,0.0,,2.654208,0.0,31119.13472,,7809.0,6.032000000000011,0.08903287941773035,3937.456128,,4.625,0.10213486794396047,4239.384576,,0.3764786983858971,1061.0,5471.133696,5.625
,247.0,0.0,,35.35500000000002,362464.0,10.25,,4592.0,62,,53,,,3.9570000000000007,136990.0,,,25210.69568,,20.1,1696169634.0,,,1287.077888,,338767.0,0.0,,2.654208,0.0,31119.13472,,7809.0,6.036000000000001,0.0648234214244953,3937.456128,,4.625,0.0040858785886443505,4239.384576,,0.012409260165372268,1062.0,5471.174656,5.625
,247.0,0.0,,35.35699999999997,362760.0,10.25,,4592.0,63,,55,,,3.9570000000000007,137121.0,,,25210.761216,,20.1,1696169636.0,,,1287.077888,,338971.0,0.0,,2.654208,0.0,31119.13472,,7809.0,6.044000000000011,0.01595178115001942,3937.456128,,4.625,0.032685590588533646,4239.384576,,0.11346592104242449,1065.0,5471.100928,5.625
,247.0,0.0,,35.35799999999972,362968.0,9.5,,4592.0,64,,56,,,3.9570000000000007,137240.0,,,25210.761216,,20.1,1696169637.0,,,1287.077888,,339121.0,0.0,,2.654208,0.0,31119.13472,,7809.0,6.052000000000007,0.006663683581111931,3937.456128,,4.625,0.00408599520103615,4239.384576,,0.06741094034821433,1066.0,5471.100928,5.5
,247.0,0.0,,35.35799999999972,363245.0,9.5,,4592.0,65,,57,,,3.9570000000000007,137386.0,,,25210.793984,,20.1,1696169638.0,,,1287.077888,,339316.0,0.0,,2.654208,0.0,31119.13472,,7809.0,6.056000000000012,0.01647988377945508,3937.456128,,4.625,0.004086053509728203,4239.384576,,0.11395460558047563,1067.0,5471.06816,5.5
,247.0,0.0,,35.358999999999924,363411.0,9.5,,4592.0,66,,58,,,3.9570000000000007,137516.0,,,25210.793984,,20.1,1696169639.0,,,1287.077888,,339443.0,0.0,,2.654208,0.0,31119.13472,,7809.0,6.060000000000002,0.0,3937.456128,,4.625,0.004086119593109764,4239.384576,,0.0,1068.0,5471.06816,5.5
,247.0,0.0,,35.36000000000013,363648.0,9.5,,4592.0,67,,59,,,3.9570000000000007,137620.0,,,25210.793984,,20.1,1696169640.0,,,1287.077888,,339610.0,0.0,,2.654208,0.0,31119.13472,,7809.0,6.064000000000007,0.012615981071726946,3937.456128,,4.625,0.004085630809410856,4239.384576,,0.11339221444103571,1069.0,5471.06816,5.5
,247.0,0.0,,35.36200000000008,364018.0,9.5,,4592.0,68,,60,,,3.9570000000000007,137794.0,,,25210.793984,,20.1,1696169641.0,,,1287.077888,,339861.0,0.0,,2.654208,0.0,31119.13472,,7809.0,6.072000000000003,0.005609243704380943,3937.456128,,4.625,0.02859677017389584,4239.384576,,0.0673986935422677,1072.0,5471.06816,5.5
,247.0,0.0,,35.36299999999983,364455.0,8.75,,4592.0,69,,61,,,3.9570000000000007,138116.0,,,25200.345088,,20.1,1696169642.0,,,1287.077888,,340261.0,0.0,,2.654208,0.0,31119.13472,,7809.0,6.076000000000008,0.03832771248416966,3937.456128,,4.5,0.004085735747535131,4239.384576,,0.07276120808754206,1073.0,5481.529344,5.375
