02_timing/forward_time_s,02_timing/opt_step_time_s,memory/used_memory_sys_MB,memory/used_memory_sys_percent,disk/counter/disk_read_sys_count,cpu/interrupts/ctx_switches_count,cpu/load/avg_sys_load_fifteen_min_percent,_step,disk/time/disk_write_time_sys_s,02_timing/dataload_cuda_move_time_s,process/memory/shared_memory_proc_MB,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/virtual_memory_size_proc_MB,cpu/logical_core_count,02_timing/backward_time_s,disk/time/disk_busy_time_sys_s,process/memory/lib_memory_proc_MB,process/voluntary_proc_ctx_switches,01_general/locally_processed_samples,process/memory/dirty_pages_proc_count,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/loss_calc_time_s,disk/time/disk_read_time_sys_s,cpu/load/avg_sys_load_five_min_percent,_runtime,01_general/lr,03_hivemind/global_epoch,01_general/dataset_iteration_count,process/involuntary_proc_ctx_switches,bandwidth/disk_write_sys_bandwidth_MBs,03_hivemind/num_peers,cpu/interrupts/interrupts_count,_timestamp,01_general/minibatch_loss,memory/available_memory_sys_MB,process/memory/data_resident_set_proc_MB,process/memory/resident_set_size_proc_MB,process/memory/text_resident_set_proc_MB,01_general/step,02_timing/step_time_s,02_timing/dataload_time_s,memory/total_memory_sys_MB,disk/counter/disk_write_sys_count,cpu/interrupts/soft_interrupts_count,cpu/load/avg_sys_load_one_min_percent
,,,,,,,39,,,,,,,,,,,,448.0,,,,,,25,0.0001,0.0,0.0,,,4.0,,1681079719.0,7.1131591796875,,,,,13.0,0.47341550000055577,0.004429280999829643,,,,
0.025400085999535804,0.10294653100027062,,,,,,40,,0.006679821000034281,,,,,,0.33690650900007313,,,,480.0,,,0.0007295599998542457,,,25,0.0001,0.0,0.0,,,4.0,,1681079719.0,7.4512939453125,,,,,14.0,0.47701140200024383,0.00434889500047575,,,,
0.026029120999737643,,6735.368192,28.1,0.0,39235.0,1.625,41,0.16700000000037107,0.006816066000283172,2394.341376,0.0,23.530563240567904,28125.745152,,,0.2680000000000007,4704.669696,1150.0,,0.0,0.5013952147016965,0.0007290410003406578,0.0,1.25,26,,,,73.0,0.049000639423652834,,270536.0,1681079720.0,,22676.41856,0.0,6166.736896,2.654208,,,,,146.0,27846.0,4.875
,0.10387251100019057,,,,,,42,,,,,,,,0.3333948079998663,,,,512.0,,,,,,26,0.0001,0.0,0.0,,,4.0,,1681079720.0,7.239013671875,,,,,15.0,0.47509001800062833,0.004248471000209975,,,,
0.025973689000238664,,6735.48288,28.2,0.0,40900.0,1.625,43,0.1679999999996653,0.006703417999233352,2394.329088,0.0,45.78815689308832,28125.745152,,,0.28000000000000114,4704.677888,1159.0,,0.0,0.49458559685625375,0.0006964719996176427,0.0,1.375,27,,,,75.0,0.00816126806491059,,272732.0,1681079721.0,,22657.16736,0.0,6166.966272,2.654208,,,,,148.0,29229.0,5.5
,0.10341071200036822,,,,,,44,,,,,,,,0.331728430000112,,,,544.0,,,,,,27,0.0001,0.0,0.0,,,4.0,,1681079721.0,7.1322021484375,,,,,16.0,0.47273550199952297,0.004222780999953102,,,,
0.02742224299981899,,6737.63328,28.2,0.0,42984.0,1.625,45,0.17000000000007276,0.006236752999939199,2394.341376,0.0,33.84021049060154,28125.745152,,0.33864991900009045,0.2880000000000109,4704.681984,1204.0,,0.0,0.7102750345442972,0.0007160180002756533,0.0,1.375,28,,,,76.0,0.008166922706429155,,275115.0,1681079722.0,,22654.881792,0.0,6166.97856,2.654208,,,,,150.0,30601.0,5.5
,0.10338757800036547,,,,,,46,,,,,,,,,,,,576.0,,,,,,28,0.0001,0.0,0.0,,,6.0,,1681079722.0,7.00604248046875,,,,,17.0,0.480915535999884,0.004503024999394256,,,,
0.028850433000116027,0.10344828799952666,6740.307968,28.2,0.0,44698.0,1.625,47,0.17299999999977445,0.006764955999642552,2394.329088,0.0,30.9060759442678,28125.745152,,0.3313615380002375,0.30000000000001137,4704.735232,1221.0,,0.0,0.614088188807512,0.0006875979997857939,0.0,1.375,29,,,,78.0,0.057197226246122015,,277264.0,1681079723.0,,22652.338176,0.0,6167.154688,2.654208,,,,,154.0,31899.0,5.5
,,,,,,,48,,,,,,,,,,,,608.0,,,,,,29,0.0001,0.0,0.0,,,6.0,,1681079723.0,7.2960205078125,,,,,18.0,0.47650736599916854,0.005394552999860025,,,,
