_runtime,03_hivemind/epoch_s,04_peers/peer_3_epoch,04_peers/peer_1_epoch_oos,04_peers/peer_1_epoch,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,04_peers/peer_3_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/num_peers,03_hivemind/epoch_based_sps,03_hivemind/estimated_current_samples,03_hivemind/total_training_samples,04_peers/peer_3_samples_per_second,_step,_timestamp,04_peers/peer_2_epoch,03_hivemind/reached_TBS,03_hivemind/global_epoch,04_peers/peer_3_epoch_oos,03_hivemind/per_epoch_training_samples,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s
95,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,79950,,77.29,48,1681407131.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
96,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,81573,,77.29,49,1681407132.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
97,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,83193,,77.29,50,1681407133.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
98,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,84811,,77.29,51,1681407134.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
100,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,86439,,77.29,52,1681407136.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
101,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,88067,,77.29,53,1681407137.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
102,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,89700,,77.29,54,1681407138.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
103,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,91352,,77.29,55,1681407139.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
104,,0.0,0.0,0.0,10.0,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1353.663423589003,3,,699,,77.29,56,1681407140.0,0.0,,1,0.0,,,0.0,1353.66,0,,20.69
105,61.87560836179182,0.0,1.0,0.0,10.0,119.3,1305.4237943155347,0,2880.0,0.0,1120.0,1305.4237943155347,3,532.1644646702664,1527,32928.0,77.29,57,1681407141.0,1.0,0.0,1,1.0,32928.0,1.0,0.0,1353.66,928,0.0,23.93
109,,1.0,0.0,1.0,9.01,109.91,1412.3025750295144,0,64.0,768.0,96.0,1412.3025750295144,3,,7331,,83.43,58,1681407145.0,1.0,,1,0.0,,,0.0,1112.08,2944,,18.01
110,,1.0,0.0,1.0,9.19,106.54,1317.7716403734744,0,192.0,2560.0,192.0,1317.7716403734744,3,,8557,,89.2,59,1681407146.0,1.0,,1,0.0,,,0.0,1216.57,8352,,18.37
111,,1.0,0.0,1.0,7.61,108.17,1475.55892975141,0,608.0,7168.0,576.0,1475.55892975141,3,,10299,,101.74,60,1681407147.0,1.0,,1,0.0,,,0.0,1107.86,9984,,15.23
112,,1.0,0.0,1.0,7.19,85.31,1462.3946658603995,0,640.0,8704.0,640.0,1462.3946658603995,3,,11725,,81.01,61,1681407148.0,1.0,,1,0.0,,,0.0,1309.24,11488,,14.39
113,,1.0,0.0,1.0,6.31,92.0,1530.036199914776,0,736.0,9984.0,768.0,1530.036199914776,3,,13466,,91.46,62,1681407149.0,1.0,,1,0.0,,,0.0,1278.93,13280,,12.62
