_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
40,26,,,1683543531,1.875,0.004000000000000448,0.27199999999999136,7311.48288,0.3307021238739451,26561.0,0.19778175102400905,2398.982144,330.0,6690.127872,6.0,0.0,0.0,4.875,22407.0,42.774061456396595,22089.58464,2.654208,1135.0,0.8600000000005821,5224.61184,0.0,268213.0,30.0,1.25,28644.048896,92.0,0.006899372000134463,0.0008221719999710331,0.02613242600000376,,,,,,,,,,,
41,27,,,1683543532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.10422027300000991,480.0,7.4512939453125,0.33982369700015624,0.4824082909999561,0.0,0.0001,0.004510350999680668,0.0,14.0
42,27,,,1683543532,1.875,0.004000000000000448,0.2839999999999918,7314.108416,0.00816670723689477,27647.0,0.09037610003579062,2398.98624,332.0,6690.131968,6.0,0.0,0.0,4.875,23358.0,36.13471272264159,22086.955008,2.654208,1149.0,0.8620000000009895,5224.63232,0.0,269747.0,30.0,1.25,28644.048896,93.0,0.006759418999990885,0.0008773910003583296,0.02600752199987255,,,,,0.3395107910000661,,,,,,
43,28,,,1683543533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.10389081100038311,512.0,7.239013671875,,0.4815126030007377,0.0,0.0001,0.004466669000066759,0.0,15.0
44,28,,,1683543533,1.875,0.004000000000000448,0.2920000000000016,7312.46592,0.008172429678229,28566.0,0.15890746806687156,2398.982144,334.0,6690.127872,6.0,0.0,0.0,4.875,24154.0,27.093384117643705,22088.597504,2.654208,1164.0,0.8630000000011933,5224.63232,0.0,271069.0,30.0,1.25,28644.048896,93.0,0.006834125999830576,0.0006664819998150051,0.029138603000319563,,0.10409152200008975,,,0.3373760989998118,,,,,,
45,29,,,1683543534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,544.0,7.1322021484375,,0.48281902799999443,0.0,0.0001,0.004712196000127733,0.0,16.0
46,29,,,1683543534,2.0,0.004000000000000448,0.3079999999999927,7314.661376,0.04902884062325768,29422.0,0.09045278458159767,2398.98624,338.0,6690.131968,6.0,0.0,0.0,5.5,24884.0,27.856672646995936,22086.53312,2.654208,1181.0,0.8670000000001892,5224.636416,0.0,272326.0,30.0,1.5,28644.048896,94.0,0.006837008999809768,0.0006996649999564397,0.025208669000221562,,0.10425990099975024,,,0.34350640000002386,,,,,,
47,29,,,1683543534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,576.0,7.00604248046875,,0.4849542269998892,0.0,0.0001,0.0044425830001273425,0.0,17.0
48,30,,,1683543535,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007037764999950014,0.0009385939997628157,0.030228164000163815,2.0,0.10475260700013678,608.0,7.2960205078125,0.33799983100016107,0.48565426600043793,0.0,0.0001,0.004697305000263441,0.0,18.0
49,30,,,1683543535,2.0,0.004000000000000448,0.3199999999999932,7325.622272,0.008174333105849791,30393.0,0.14364155262313044,2381.76256,340.0,6672.908288,6.0,0.0,0.0,5.5,25829.0,29.360695772892242,22077.526016,2.654208,1200.0,0.8680000000003929,5224.640512,0.0,273783.0,30.0,1.5,28644.048896,98.0,,,,,,,,,,,,,,
