02_timing/step_time_s,memory/used_memory_sys_percent,process/memory/lib_memory_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,01_general/lr,02_timing/loss_calc_time_s,bandwidth/net_recv_sys_bandwidth_Mbits,cpu/load/avg_sys_load_five_min_percent,process/memory/text_resident_set_proc_MB,03_hivemind/num_peers,02_timing/backward_time_s,memory/total_memory_sys_MB,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,02_timing/forward_time_s,disk/time/disk_busy_time_sys_s,cpu/interrupts/ctx_switches_count,disk/counter/disk_write_sys_count,bandwidth/disk_write_sys_bandwidth_MBs,_runtime,disk/time/disk_read_time_sys_s,disk/time/disk_write_time_sys_s,cpu/interrupts/soft_interrupts_count,03_hivemind/global_epoch,process/involuntary_proc_ctx_switches,process/memory/virtual_memory_size_proc_MB,memory/available_memory_sys_MB,cpu/interrupts/interrupts_count,disk/counter/disk_read_sys_count,01_general/dataset_iteration_count,_step,01_general/step,cpu/logical_core_count,01_general/minibatch_loss,process/memory/resident_set_size_proc_MB,02_timing/dataload_cuda_move_time_s,process/voluntary_proc_ctx_switches,process/memory/shared_memory_proc_MB,process/memory/data_resident_set_proc_MB,01_general/locally_processed_samples,process/memory/dirty_pages_proc_count,bandwidth/net_sent_sys_bandwidth_Mbits,_timestamp,02_timing/dataload_time_s,02_timing/opt_step_time_s,memory/used_memory_sys_MB
0.2050704720002159,,,,0.0001,0.00038406900011977996,,,,1.0,0.14263829499986969,,,,0.016905924000184314,,,,,17,,,,0.0,,,,,,0.0,34,16.0,,7.1322021484375,,0.0030796730000020034,,,,544.0,,,1681394183.0,0.002811420999933034,0.03925109000010707,
0.2048392279998552,,,,0.0001,0.000384545999850161,,,,1.0,0.14229357699991851,,,,0.016995200000110344,,,,,17,,,,0.0,,,,,,0.0,35,17.0,,7.00604248046875,,0.003094158000067182,,,,576.0,,,1681394183.0,0.002762748999884934,0.039308998000024076,
,5.3,6739.202048,0.5666666666666667,,0.00038081799993960885,82.59891581491095,0.6666666666666667,2.719744,,,,0.0,0.6666666666666667,0.017188579000048776,0.24399999999999977,59011.0,352.0,0.08580110365741996,17,0.017000000000000348,0.2650000000000432,57652.0,,133.0,32102.612992,199807.639552,985358.0,61.0,,36,,,,6554.107904,0.003121749000001728,1275.0,2451.80416,0.0,,0.0,1.087372580581896,1681394183.0,,,7842.11968
0.20399012900020352,,,,0.0001,,,,,6.0,0.1411479959999724,,,,,,,,,18,,,,0.0,,,,,,0.0,37,18.0,,7.29638671875,,,,,,608.0,,,1681394184.0,0.0027213120001761126,0.03942967500006489,
0.2037821410003744,,,,0.0001,0.0003856480000195006,,,,6.0,0.1411402620001354,,,,0.017131051999967895,,,,,18,,,,0.0,,,,,,0.0,38,19.0,,7.40576171875,,0.0030596520000472083,,,,640.0,,,1681394184.0,0.0027747110000291286,0.039290816000175255,
0.2040886069996759,,,,0.0001,0.0003771340000184864,,,,6.0,0.14092262299982394,,,,0.017764871000053972,,,,,18,,,,0.0,,,,,,0.0,39,20.0,,7.2027587890625,,0.0030831530000341445,,,,672.0,,,1681394184.0,0.0027803839998341573,0.0391604419999112,
,5.3,6739.521536,0.5666666666666667,,0.0003810150001299917,87.58544860013131,0.6666666666666667,2.719744,,,,0.0,0.6666666666666667,0.017359635999810052,0.2600000000000051,62492.0,356.0,0.016348965702503056,18,0.017000000000000348,0.26600000000001955,62514.0,,134.0,32102.875136,199804.071936,989634.0,61.0,,40,,,,6554.423296,0.003091496000024563,1305.0,2451.832832,0.0,,0.0,1.2996070639793809,1681394184.0,,,7846.162432
0.20223567400012143,,,,0.0001,,,,,6.0,0.13983514800020203,,,,,,,,,19,,,,0.0,,,,,,0.0,41,21.0,,7.096435546875,,,,,,704.0,,,1681394185.0,0.0026809609998963424,0.03888741800005846,
0.20216637900011847,,,,0.0001,0.0003812390000348387,,,,6.0,0.13945115899991833,,,,0.017419101000086812,,,,,19,,,,0.0,,,,,,0.0,42,22.0,,7.066650390625,,0.0030557749998934014,,,,736.0,,,1681394185.0,0.002807770000117671,0.03905133500006741,
0.20239055900015046,,,,0.0001,0.00038500000005115,,,,6.0,0.14003370800014636,,,,0.017011743000011847,,,,,19,,,,0.0,,,,,,0.0,43,23.0,,7.116943359375,,0.0030701969999427092,,,,768.0,,,1681394185.0,0.00267336100000648,0.03921654999999191,
,5.3,6739.525632,0.6,,0.00038313999993988546,94.14575663154744,0.7000000000000001,2.719744,,,,0.0,0.8666666666666666,0.01715984199995546,0.27599999999999625,66056.0,360.0,0.01634881011423506,19,0.017000000000000348,0.26700000000005275,67558.0,,135.0,32102.875136,199799.963648,994055.0,61.0,,44,,,,6554.472448,0.003052656000136267,1335.0,2451.8656,0.0,,0.0,1.5145001249104237,1681394185.0,,,7849.869312
0.20214190500041695,,,,0.0001,,,,,6.0,0.13982743100018524,,,,,,,,,20,,,,0.0,,,,,,0.0,45,24.0,,7.2431640625,,,,,,800.0,,,1681394186.0,0.0027328570001827757,0.03898597900001732,
0.20336967499997627,,,,0.0001,0.00038307699992401467,,,,6.0,0.1408370780000041,,,,0.016992840000057186,,,,,20,,,,0.0,,,,,,0.0,46,25.0,,7.0892333984375,,0.0030545209999672807,,,,832.0,,,1681394186.0,0.002803621000111889,0.03929853799991179,
0.20357602299986866,,,,0.0001,0.00039276500001506065,,,,6.0,0.14129314999991038,,,,0.01708170400002018,,,,,20,,,,0.0,,,,,,0.0,47,26.0,,7.0948486328125,,0.0030471929999293934,,,,864.0,,,1681394186.0,0.0027211780000016006,0.039040032999992036,
,5.4,6739.533824,0.6,,0.00041362999991179095,95.07546088075524,0.7000000000000001,2.719744,,,,0.0,0.8666666666666666,0.01719223800000691,0.2920000000000016,69932.0,366.0,0.049046978781191096,20,0.017000000000000348,0.271000000000015,72382.0,,136.0,32102.875136,199756.218368,998518.0,61.0,,48,,,,6554.447872,0.0029948420001346676,1368.0,2451.828736,0.0,,0.0,1.5268825821251721,1681394186.0,,,7894.065152
0.20330814199996894,,,,0.0001,,,,,6.0,0.14110345299991423,,,,,,,,,21,,,,0.0,,,,,,0.0,49,27.0,,7.3531494140625,,,,,,896.0,,,1681394187.0,0.002518480999924577,0.03908549800007677,
