_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
34,22,,,1681377343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,384.0,7.3497314453125,,0.4415276659992742,0.0,0.0001,0.00328980699987369,0.0,11.0
35,23,,,1681377344,6.5,0.7590000000000146,1.0599999999999454,6876.516352,0.008171564775049173,33287.0,0.6531825390843085,2400.104448,173.0,6161.199104,44.0,0.0,0.0,12.25,27217.0,66.13410165883056,20421.206016,2.711552,826.0,5.663000000000466,4426.678272,0.0,21058.0,30.6,5.0,27851.825152,579.0,0.0035107939997942594,0.0006430960002035135,0.020121901000038633,,0.09688083499986533,,,0.3208110470000065,,,,,,
36,23,,,1681377344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,416.0,7.1239013671875,,0.4447185039998658,0.0,0.0001,0.002750830999957543,0.0,12.0
37,24,,,1681377345,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0036199760002091352,0.0006023279997862119,0.019888126999831002,4.0,0.09708226500015371,448.0,7.1131591796875,0.31743473300002734,0.441365806000249,0.0,0.0001,0.0027383770002415986,0.0,13.0
38,24,,,1681377345,6.5,0.7590000000000146,1.0879999999999654,6878.613504,0.049021612429151346,34804.0,0.6151478312327263,2400.104448,178.0,6161.199104,44.0,0.0,0.0,12.25,28758.0,81.55661191378506,20431.044608,2.711552,849.0,5.666999999999462,4426.682368,0.0,22280.0,30.6,5.0,27851.825152,584.0,0.0035553919997255434,0.0006402809999599413,0.019934917999762547,,,,,,,,,,,
39,24,,,1681377345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.09839927799976067,480.0,7.4512939453125,0.3206015599998864,0.44639528499919834,0.0,0.0001,0.00326385600010326,0.0,14.0
40,25,,,1681377346,6.5,0.7590000000000146,1.099999999999966,6880.350208,0.008170109434836873,36166.0,0.5644875414393699,2400.141312,180.0,6161.235968,44.0,0.0,0.0,12.25,30329.0,81.74135446605267,20417.37216,2.711552,862.0,5.666999999999462,4426.682368,0.0,23476.0,30.6,5.0,27851.825152,585.0,0.0036136539997642103,0.0006027979998179944,0.019559679999929358,,,,,,,,,,,
41,25,,,1681377346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.09649099899979774,512.0,7.239013671875,0.31576617800010354,0.438855627999601,0.0,0.0001,0.002822319000188145,0.0,15.0
42,26,,,1681377347,6.5,0.7590000000000146,1.1079999999999472,6885.056512,0.008171415136537715,37534.0,0.7053112288256225,2400.104448,182.0,6161.199104,44.0,0.0,0.0,12.25,32026.0,51.2206644513633,20412.665856,2.711552,885.0,5.667999999999665,4426.686464,0.0,24681.0,30.7,5.0,27851.825152,589.0,0.003511535999678017,0.0006361430000652035,0.020197586999984196,,0.09699504599984721,,,0.32084251800006314,,,,,,
43,26,,,1681377347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,544.0,7.1322021484375,,0.44497650499988595,0.0,0.0001,0.002793675000248186,0.0,16.0
