_runtime,04_peers/peer_1_epoch_oos,03_hivemind/num_peers,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,03_hivemind/per_epoch_training_samples,04_peers/peer_2_epoch,03_hivemind/epoch_s,04_peers/peer_1_epoch,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_1_samples_accumulated,_step,_timestamp,03_hivemind/reached_TBS,03_hivemind/estimated_current_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_clients,03_hivemind/global_epoch,03_hivemind/eta_next_epoch_s,03_hivemind/global_samples_accumulated,03_hivemind/total_training_samples
110,0.0,2,,,0.5,737.47,,2.0,,2.0,0.0,,697.85,4096.0,4096.0,54,1680688105.0,,15382,1435.3201983458412,1435.3201983458412,0,2,0.0,8192,
112,0.0,2,,,0.5,737.47,,2.0,,2.0,0.0,,697.85,4096.0,4096.0,55,1680688107.0,,17086,1435.3201983458412,1435.3201983458412,0,2,0.0,8192,
113,0.0,2,,,0.5,737.47,,2.0,,2.0,0.0,,697.85,4096.0,4096.0,56,1680688108.0,,18786,1435.3201983458412,1435.3201983458412,0,2,0.0,8192,
114,0.0,2,,,0.5,737.47,,2.0,,2.0,0.0,,697.85,4096.0,4096.0,57,1680688109.0,,20492,1435.3201983458412,1435.3201983458412,0,2,0.0,8192,
115,0.0,2,,,0.5,737.47,,2.0,,2.0,0.0,,697.85,4096.0,4096.0,58,1680688110.0,,22196,1435.3201983458412,1435.3201983458412,0,2,0.0,8192,
116,0.0,2,,,0.5,737.47,,2.0,,2.0,0.0,,697.85,4096.0,4096.0,59,1680688111.0,,23901,1435.3201983458412,1435.3201983458412,0,2,0.0,8192,
118,0.0,2,,,0.5,737.47,,2.0,,2.0,0.0,,697.85,4096.0,4096.0,60,1680688113.0,,25607,1435.3201983458412,1435.3201983458412,0,2,0.0,8192,
119,0.0,2,,,0.5,737.47,,2.0,,2.0,0.0,,697.85,4096.0,4096.0,61,1680688114.0,,27308,1435.3201983458412,1435.3201983458412,0,2,0.0,8192,
120,0.0,2,,,0.5,737.47,,2.0,,2.0,0.0,,697.85,4096.0,4096.0,62,1680688115.0,,29010,1435.3201983458412,1435.3201983458412,0,2,0.0,8192,
121,0.0,2,,,0.5,737.47,,2.0,,2.0,0.0,,697.85,4096.0,4096.0,63,1680688116.0,,30718,1435.3201983458412,1435.3201983458412,0,2,0.0,8192,
122,0.0,2,,,0.5,737.47,,2.0,,2.0,0.0,,697.85,4096.0,4096.0,64,1680688117.0,,32427,1435.3201983458412,1435.3201983458412,0,2,0.0,8192,
123,0.0,2,,,1.87,737.47,,2.0,,2.0,0.0,,697.85,4096.0,4096.0,65,1680688118.0,,1480,1435.3201983458412,1435.3201983458412,0,3,4.68,0,
125,0.0,2,2.0,0.0,1.4,737.47,8192.0,3.0,23.769631538074464,3.0,0.0,344.6414382519124,697.85,0.0,0.0,66,1680688120.0,1.0,3186,1435.3201983458412,1435.3201983458412,0,3,3.49,0,24736.0
126,0.0,2,,,0.92,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,67,1680688121.0,,4883,1435.3201983458412,1435.3201983458412,0,3,2.31,0,
127,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,68,1680688122.0,,6592,1435.3201983458412,1435.3201983458412,0,3,1.11,0,
131,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,69,1680688126.0,,12369,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
132,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,70,1680688127.0,,13834,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
133,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,71,1680688128.0,,15301,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
134,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,72,1680688129.0,,16770,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
135,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,73,1680688130.0,,18233,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
136,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,74,1680688131.0,,19692,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
137,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,75,1680688132.0,,21159,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
