_timestamp,03_hivemind/overshot_TBS,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,03_hivemind/epoch_s,03_hivemind/global_epoch,03_hivemind/epoch_based_sps,03_hivemind/eta_next_epoch_s,03_hivemind/num_clients,04_peers/peer_2_epoch_oos,03_hivemind/estimated_current_samples,_runtime,04_peers/peer_2_epoch,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/next_fetch_time_s,_step,04_peers/peer_1_epoch,03_hivemind/undershot_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated
1681401939.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,79386,117,0.0,,244.58,32672,0.5,49,0.0,,1485.05,10144.0,22528.0
1681401940.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,81450,118,0.0,,244.58,32672,0.5,50,0.0,,1485.05,10144.0,22528.0
1681401941.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,83509,119,0.0,,244.58,32672,0.5,51,0.0,,1485.05,10144.0,22528.0
1681401942.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,85559,120,0.0,,244.58,32672,0.5,52,0.0,,1485.05,10144.0,22528.0
1681401943.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,87612,121,0.0,,244.58,32672,0.5,53,0.0,,1485.05,10144.0,22528.0
1681401945.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,89682,123,0.0,,244.58,32672,0.5,54,0.0,,1485.05,10144.0,22528.0
1681401946.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,91738,124,0.0,,244.58,32672,0.5,55,0.0,,1485.05,10144.0,22528.0
1681401947.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,93791,125,0.0,,244.58,32672,0.5,56,0.0,,1485.05,10144.0,22528.0
1681401948.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,95841,126,0.0,,244.58,32672,0.5,57,0.0,,1485.05,10144.0,22528.0
1681401949.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,97895,127,0.0,,244.58,32672,0.5,58,0.0,,1485.05,10144.0,22528.0
